family,arm,mode,prompt,pclass,n_beams,P_self_broad,P_self_narrow
deepseek-7b,base,dyad_me_you,tell_about,identity,100.0,0.06472323473374776,0.06472323473374776
deepseek-7b,base,dyad_me_you,tell_about_france,control,100.0,0.0,0.0
deepseek-7b,base,dyad_me_you,what_are_you,identity,100.0,0.10804275211455766,0.10041605950323385
deepseek-7b,base,dyad_me_you,what_is_photo,control,100.0,0.0,0.0
deepseek-7b,base,dyad_me_you,what_is_that,unanswerable,100.0,0.0042916201262859196,0.0
deepseek-7b,base,dyad_me_you,who_are_you,identity,100.0,0.11708038797993912,0.11708038797993912
deepseek-7b,base,dyad_me_you,who_is_she,unanswerable,100.0,0.0,0.0
deepseek-7b,base,dyad_me_you,who_wrote_hamlet,control,100.0,0.0,0.0
deepseek-7b,base,dyad_qa,describe_weather,control,100.0,0.0,0.0
deepseek-7b,base,dyad_qa,introduce,identity,100.0,0.2546074634983001,0.2546074634983001
deepseek-7b,base,dyad_qa,tell_about,identity,100.0,0.12651769283253217,0.12651769283253217
deepseek-7b,base,dyad_qa,tell_about_france,control,100.0,0.0,0.0
deepseek-7b,base,dyad_qa,what_are_you,identity,100.0,0.3558442677732155,0.3558442677732155
deepseek-7b,base,dyad_qa,what_is_photo,control,100.0,0.0,0.0
deepseek-7b,base,dyad_qa,what_is_that,unanswerable,100.0,0.0037336820911358557,0.0
deepseek-7b,base,dyad_qa,who_are_you,identity,100.0,0.5364266784077788,0.5364266784077788
deepseek-7b,base,dyad_qa,who_is_she,unanswerable,100.0,0.0,0.0
deepseek-7b,base,dyad_qa,who_wrote_hamlet,control,100.0,0.0,0.0
deepseek-7b,base,dyad_user_ast,describe_weather,control,100.0,0.012559517510970454,0.0
deepseek-7b,base,dyad_user_ast,introduce,identity,100.0,0.08545359616152962,0.052354311824197405
deepseek-7b,base,dyad_user_ast,tell_about,identity,100.0,0.07099557035493614,0.06607076270556833
deepseek-7b,base,dyad_user_ast,tell_about_france,control,100.0,0.0,0.0
deepseek-7b,base,dyad_user_ast,what_are_you,identity,100.0,0.35920767679236076,0.35920767679236076
deepseek-7b,base,dyad_user_ast,what_is_photo,control,100.0,0.0,0.0
deepseek-7b,base,dyad_user_ast,what_is_that,unanswerable,100.0,0.04244232468526877,0.0
deepseek-7b,base,dyad_user_ast,who_are_you,identity,100.0,0.5521706391822067,0.5144815631462708
deepseek-7b,base,dyad_user_ast,who_is_she,unanswerable,100.0,0.013909030496880807,0.0
deepseek-7b,base,dyad_user_ast,who_wrote_hamlet,control,100.0,0.0,0.0
deepseek-7b,base,raw,describe_weather,control,100.0,0.0,0.0
deepseek-7b,base,raw,introduce,identity,100.0,0.0,0.0
deepseek-7b,base,raw,tell_about,identity,100.0,0.0,0.0
deepseek-7b,base,raw,tell_about_france,control,100.0,0.0,0.0
deepseek-7b,base,raw,what_are_you,identity,100.0,0.0,0.0
deepseek-7b,base,raw,what_is_photo,control,100.0,0.0,0.0
deepseek-7b,base,raw,what_is_that,unanswerable,100.0,0.0,0.0
deepseek-7b,base,raw,who_are_you,identity,100.0,0.0,0.0
deepseek-7b,base,raw,who_is_she,unanswerable,100.0,0.0,0.0
deepseek-7b,base,raw,who_wrote_hamlet,control,100.0,0.0,0.0
deepseek-7b,superego,chat,describe_weather,control,100.0,0.6668536906751242,0.18638434718227165
deepseek-7b,superego,chat,introduce,identity,100.0,0.012756566164180303,0.012756566164180303
deepseek-7b,superego,chat,tell_about,identity,100.0,0.3055298443176976,0.3055298443176976
deepseek-7b,superego,chat,tell_about_france,control,100.0,0.0,0.0
deepseek-7b,superego,chat,what_are_you,identity,100.0,1.0,1.0
deepseek-7b,superego,chat,what_is_photo,control,100.0,0.0,0.0
deepseek-7b,superego,chat,what_is_that,unanswerable,100.0,0.9966275492333576,0.05833313563191545
deepseek-7b,superego,chat,who_are_you,identity,100.0,0.9994516000144429,0.9994516000144429
deepseek-7b,superego,chat,who_is_she,unanswerable,100.0,0.9981044694909149,0.014318442795477922
deepseek-7b,superego,chat,who_wrote_hamlet,control,100.0,0.0,0.0
deepseek-7b,superego,chat_nosys,describe_weather,control,100.0,0.4693569959314221,0.21296063292654938
deepseek-7b,superego,chat_nosys,introduce,identity,100.0,0.011622662043719586,0.011622662043719586
deepseek-7b,superego,chat_nosys,tell_about,identity,100.0,0.22795071764457894,0.22795071764457894
deepseek-7b,superego,chat_nosys,tell_about_france,control,100.0,0.0,0.0
deepseek-7b,superego,chat_nosys,what_are_you,identity,100.0,1.0,1.0
deepseek-7b,superego,chat_nosys,what_is_photo,control,100.0,2.0381590155667485e-05,1.326996239682097e-05
deepseek-7b,superego,chat_nosys,what_is_that,unanswerable,100.0,0.9982565502708394,0.01803212352335118
deepseek-7b,superego,chat_nosys,who_are_you,identity,100.0,0.9998065901628393,0.9998065901628393
deepseek-7b,superego,chat_nosys,who_is_she,unanswerable,100.0,0.9994104098148523,0.005618096546399675
deepseek-7b,superego,chat_nosys,who_wrote_hamlet,control,100.0,0.0,0.0
deepseek-7b,superego,chatml,describe_weather,control,100.0,0.8238068525425059,0.0
deepseek-7b,superego,chatml,introduce,identity,100.0,0.7687456713383115,0.7288082124879882
deepseek-7b,superego,chatml,tell_about,identity,100.0,0.31346957402841763,0.31346957402841763
deepseek-7b,superego,chatml,tell_about_france,control,100.0,0.0,0.0
deepseek-7b,superego,chatml,what_are_you,identity,100.0,0.9873362779099555,0.9644612570535838
deepseek-7b,superego,chatml,what_is_photo,control,100.0,0.0,0.0
deepseek-7b,superego,chatml,what_is_that,unanswerable,100.0,0.0,0.0
deepseek-7b,superego,chatml,who_are_you,identity,100.0,1.0,0.9955721506817832
deepseek-7b,superego,chatml,who_is_she,unanswerable,100.0,0.7401138479026652,0.0001399680567160974
deepseek-7b,superego,chatml,who_wrote_hamlet,control,100.0,0.0,0.0
deepseek-7b,superego,dyad_human_ai,describe_weather,control,100.0,0.12644851861108014,0.002805542902496759
deepseek-7b,superego,dyad_human_ai,introduce,identity,100.0,0.861506993307124,0.861506993307124
deepseek-7b,superego,dyad_human_ai,tell_about,identity,100.0,0.5621826654770022,0.5621826654770022
deepseek-7b,superego,dyad_human_ai,tell_about_france,control,100.0,0.0,0.0
deepseek-7b,superego,dyad_human_ai,what_are_you,identity,100.0,1.0,0.9641866548340935
deepseek-7b,superego,dyad_human_ai,what_is_photo,control,100.0,0.0,0.0
deepseek-7b,superego,dyad_human_ai,what_is_that,unanswerable,100.0,0.9732982575874101,0.004824956991516878
deepseek-7b,superego,dyad_human_ai,who_are_you,identity,100.0,1.0,0.9795338144343039
deepseek-7b,superego,dyad_human_ai,who_is_she,unanswerable,100.0,0.9867087332115311,0.00032150481745858966
deepseek-7b,superego,dyad_human_ai,who_wrote_hamlet,control,100.0,0.0,0.0
deepseek-7b,superego,dyad_me_you,describe_weather,control,100.0,0.010610523945527594,0.0
deepseek-7b,superego,dyad_me_you,introduce,identity,100.0,0.2847302791095103,0.2847302791095103
deepseek-7b,superego,dyad_me_you,tell_about,identity,100.0,0.6614673141100809,0.6614673141100809
deepseek-7b,superego,dyad_me_you,tell_about_france,control,100.0,0.0,0.0
deepseek-7b,superego,dyad_me_you,what_are_you,identity,100.0,0.8045438932747961,0.8045438932747961
deepseek-7b,superego,dyad_me_you,what_is_photo,control,100.0,0.0,0.0
deepseek-7b,superego,dyad_me_you,what_is_that,unanswerable,100.0,0.48035959839823356,0.0009638753927269486
deepseek-7b,superego,dyad_me_you,who_are_you,identity,100.0,0.9927542085276744,0.9811667119562609
deepseek-7b,superego,dyad_me_you,who_is_she,unanswerable,100.0,0.8695037443390089,0.0
deepseek-7b,superego,dyad_me_you,who_wrote_hamlet,control,100.0,0.0,0.0
deepseek-7b,superego,dyad_qa,describe_weather,control,100.0,0.0,0.0
deepseek-7b,superego,dyad_qa,introduce,identity,100.0,0.0846787482361364,0.0846787482361364
deepseek-7b,superego,dyad_qa,tell_about,identity,100.0,0.7552473442875223,0.7552473442875223
deepseek-7b,superego,dyad_qa,tell_about_france,control,100.0,0.00011147503727696606,0.0
deepseek-7b,superego,dyad_qa,what_are_you,identity,100.0,1.0,1.0
deepseek-7b,superego,dyad_qa,what_is_photo,control,100.0,0.0,0.0
deepseek-7b,superego,dyad_qa,what_is_that,unanswerable,100.0,0.5559880717433144,0.012519141511069634
deepseek-7b,superego,dyad_qa,who_are_you,identity,100.0,0.9826208011112119,0.974409340995378
deepseek-7b,superego,dyad_qa,who_is_she,unanswerable,100.0,0.0,0.0
deepseek-7b,superego,dyad_qa,who_wrote_hamlet,control,100.0,0.0,0.0
deepseek-7b,superego,dyad_user_ast,describe_weather,control,100.0,0.8263769648810054,0.12018965846975754
deepseek-7b,superego,dyad_user_ast,introduce,identity,100.0,0.04105461815411807,0.04105461815411807
deepseek-7b,superego,dyad_user_ast,tell_about,identity,100.0,0.22258707739967373,0.22258707739967373
deepseek-7b,superego,dyad_user_ast,tell_about_france,control,100.0,9.787067133260814e-05,5.1169657374662576e-05
deepseek-7b,superego,dyad_user_ast,what_are_you,identity,100.0,0.999130357668453,0.986794581480534
deepseek-7b,superego,dyad_user_ast,what_is_photo,control,100.0,0.0,0.0
deepseek-7b,superego,dyad_user_ast,what_is_that,unanswerable,100.0,0.9398760517569883,0.0032668836821449503
deepseek-7b,superego,dyad_user_ast,who_are_you,identity,100.0,1.0,0.9923204181559551
deepseek-7b,superego,dyad_user_ast,who_is_she,unanswerable,100.0,0.9913393125869527,9.853853152957246e-06
deepseek-7b,superego,dyad_user_ast,who_wrote_hamlet,control,100.0,0.0,0.0
deepseek-7b,superego,raw,describe_weather,control,100.0,0.0,0.0
deepseek-7b,superego,raw,introduce,identity,100.0,0.0,0.0
deepseek-7b,superego,raw,tell_about,identity,100.0,0.0,0.0
deepseek-7b,superego,raw,tell_about_france,control,100.0,0.0,0.0
deepseek-7b,superego,raw,what_are_you,identity,100.0,0.0,0.0
deepseek-7b,superego,raw,what_is_photo,control,100.0,0.0,0.0
deepseek-7b,superego,raw,what_is_that,unanswerable,100.0,0.0,0.0
deepseek-7b,superego,raw,who_are_you,identity,100.0,0.0,0.0
deepseek-7b,superego,raw,who_is_she,unanswerable,100.0,0.0,0.0
deepseek-7b,superego,raw,who_wrote_hamlet,control,100.0,0.0,0.0
falcon-mamba,base,chat,describe_weather,control,100.0,0.0,0.0
falcon-mamba,base,chat,introduce,identity,100.0,0.0,0.0
falcon-mamba,base,chat,tell_about,identity,100.0,0.998797792864091,0.9546504927273082
falcon-mamba,base,chat,tell_about_france,control,100.0,0.0,0.0
falcon-mamba,base,chat,what_are_you,identity,100.0,0.029069645575626146,0.029069645575626146
falcon-mamba,base,chat,what_is_photo,control,100.0,0.0,0.0
falcon-mamba,base,chat,what_is_that,unanswerable,100.0,0.0,0.0
falcon-mamba,base,chat,who_are_you,identity,100.0,0.3443255379070125,0.3443255379070125
falcon-mamba,base,chat,who_is_she,unanswerable,100.0,0.031229784110619645,0.031229784110619645
falcon-mamba,base,chat,who_wrote_hamlet,control,100.0,0.0,0.0
falcon-mamba,base,chat_nosys,describe_weather,control,100.0,0.0,0.0
falcon-mamba,base,chat_nosys,introduce,identity,100.0,0.0,0.0
falcon-mamba,base,chat_nosys,tell_about,identity,100.0,0.24283781477982372,0.24283781477982372
falcon-mamba,base,chat_nosys,tell_about_france,control,100.0,0.0,0.0
falcon-mamba,base,chat_nosys,what_are_you,identity,100.0,0.8100903005618397,0.8100903005618397
falcon-mamba,base,chat_nosys,what_is_photo,control,100.0,0.0,0.0
falcon-mamba,base,chat_nosys,what_is_that,unanswerable,100.0,0.0,0.0
falcon-mamba,base,chat_nosys,who_are_you,identity,100.0,0.6137754947189864,0.6137754947189864
falcon-mamba,base,chat_nosys,who_is_she,unanswerable,100.0,0.0033938448443593425,0.0033938448443593425
falcon-mamba,base,chat_nosys,who_wrote_hamlet,control,100.0,0.0,0.0
falcon-mamba,base,chatml,describe_weather,control,100.0,0.0,0.0
falcon-mamba,base,chatml,introduce,identity,100.0,0.0,0.0
falcon-mamba,base,chatml,tell_about,identity,100.0,0.9826284014207545,0.523939101822708
falcon-mamba,base,chatml,tell_about_france,control,100.0,0.0,0.0
falcon-mamba,base,chatml,what_are_you,identity,100.0,0.8393769681557723,0.8393769681557723
falcon-mamba,base,chatml,what_is_photo,control,100.0,0.0,0.0
falcon-mamba,base,chatml,what_is_that,unanswerable,100.0,0.07139988491686593,0.07139988491686593
falcon-mamba,base,chatml,who_are_you,identity,100.0,0.021410691577389455,0.021410691577389455
falcon-mamba,base,chatml,who_is_she,unanswerable,100.0,0.000916368388699527,0.000916368388699527
falcon-mamba,base,chatml,who_wrote_hamlet,control,100.0,0.0,0.0
falcon-mamba,base,dyad_human_ai,describe_weather,control,100.0,0.0,0.0
falcon-mamba,base,dyad_human_ai,introduce,identity,100.0,0.01588823198348672,0.01588823198348672
falcon-mamba,base,dyad_human_ai,tell_about,identity,100.0,0.9544666512917486,0.9544666512917486
falcon-mamba,base,dyad_human_ai,tell_about_france,control,100.0,0.0,0.0
falcon-mamba,base,dyad_human_ai,what_are_you,identity,100.0,1.0,0.9988347149272652
falcon-mamba,base,dyad_human_ai,what_is_photo,control,100.0,0.0,0.0
falcon-mamba,base,dyad_human_ai,what_is_that,unanswerable,100.0,0.005580631058556144,0.005580631058556144
falcon-mamba,base,dyad_human_ai,who_are_you,identity,100.0,0.9953825390816484,0.9924841687210958
falcon-mamba,base,dyad_human_ai,who_is_she,unanswerable,100.0,0.0,0.0
falcon-mamba,base,dyad_human_ai,who_wrote_hamlet,control,100.0,0.0,0.0
falcon-mamba,base,dyad_me_you,describe_weather,control,100.0,0.0,0.0
falcon-mamba,base,dyad_me_you,introduce,identity,100.0,0.0,0.0
falcon-mamba,base,dyad_me_you,tell_about,identity,100.0,0.0,0.0
falcon-mamba,base,dyad_me_you,tell_about_france,control,100.0,0.0,0.0
falcon-mamba,base,dyad_me_you,what_are_you,identity,100.0,0.8457603022479928,0.8326304514515983
falcon-mamba,base,dyad_me_you,what_is_photo,control,100.0,0.0,0.0
falcon-mamba,base,dyad_me_you,what_is_that,unanswerable,100.0,0.05813297406600048,0.05813297406600048
falcon-mamba,base,dyad_me_you,who_are_you,identity,100.0,0.11781753449247,0.11781753449247
falcon-mamba,base,dyad_me_you,who_is_she,unanswerable,100.0,0.0,0.0
falcon-mamba,base,dyad_me_you,who_wrote_hamlet,control,100.0,0.0,0.0
falcon-mamba,base,dyad_qa,describe_weather,control,100.0,0.0,0.0
falcon-mamba,base,dyad_qa,introduce,identity,100.0,0.7379034413227851,0.7379034413227851
falcon-mamba,base,dyad_qa,tell_about,identity,100.0,0.9814416152586564,0.9814416152586564
falcon-mamba,base,dyad_qa,tell_about_france,control,100.0,0.0,0.0
falcon-mamba,base,dyad_qa,what_are_you,identity,100.0,0.39001123988833564,0.39001123988833564
falcon-mamba,base,dyad_qa,what_is_photo,control,100.0,0.0,0.0
falcon-mamba,base,dyad_qa,what_is_that,unanswerable,100.0,0.0,0.0
falcon-mamba,base,dyad_qa,who_are_you,identity,100.0,0.8292550979593025,0.8292550979593025
falcon-mamba,base,dyad_qa,who_is_she,unanswerable,100.0,0.0,0.0
falcon-mamba,base,dyad_qa,who_wrote_hamlet,control,100.0,0.0,0.0
falcon-mamba,base,dyad_user_ast,describe_weather,control,100.0,0.0,0.0
falcon-mamba,base,dyad_user_ast,introduce,identity,100.0,0.004902226579177507,0.004902226579177507
falcon-mamba,base,dyad_user_ast,tell_about,identity,100.0,0.15837298923493365,0.15837298923493365
falcon-mamba,base,dyad_user_ast,tell_about_france,control,100.0,0.0,0.0
falcon-mamba,base,dyad_user_ast,what_are_you,identity,100.0,0.9983279179967957,0.24257867772120148
falcon-mamba,base,dyad_user_ast,what_is_photo,control,100.0,0.0,0.0
falcon-mamba,base,dyad_user_ast,what_is_that,unanswerable,100.0,0.005429035701259598,0.005429035701259598
falcon-mamba,base,dyad_user_ast,who_are_you,identity,100.0,0.5338687597896146,0.5338687597896146
falcon-mamba,base,dyad_user_ast,who_is_she,unanswerable,100.0,0.0,0.0
falcon-mamba,base,dyad_user_ast,who_wrote_hamlet,control,100.0,0.0,0.0
falcon-mamba,base,raw,describe_weather,control,100.0,0.0,0.0
falcon-mamba,base,raw,introduce,identity,100.0,0.00021693520050417142,0.00021693520050417142
falcon-mamba,base,raw,tell_about,identity,100.0,0.0,0.0
falcon-mamba,base,raw,tell_about_france,control,100.0,0.0,0.0
falcon-mamba,base,raw,what_are_you,identity,100.0,0.0,0.0
falcon-mamba,base,raw,what_is_photo,control,100.0,0.0,0.0
falcon-mamba,base,raw,what_is_that,unanswerable,100.0,0.0,0.0
falcon-mamba,base,raw,who_are_you,identity,100.0,0.0,0.0
falcon-mamba,base,raw,who_is_she,unanswerable,100.0,0.0,0.0
falcon-mamba,base,raw,who_wrote_hamlet,control,100.0,0.0,0.0
falcon-mamba,superego,chat,describe_weather,control,100.0,0.27469248608449465,0.010753519517467567
falcon-mamba,superego,chat,introduce,identity,100.0,0.10201914442416797,0.10201914442416797
falcon-mamba,superego,chat,tell_about,identity,100.0,0.8830573215507772,0.8830573215507772
falcon-mamba,superego,chat,tell_about_france,control,100.0,0.0,0.0
falcon-mamba,superego,chat,what_are_you,identity,100.0,0.5771482312131256,0.5771482312131256
falcon-mamba,superego,chat,what_is_photo,control,100.0,0.0,0.0
falcon-mamba,superego,chat,what_is_that,unanswerable,100.0,0.03314166121156674,0.03314166121156674
falcon-mamba,superego,chat,who_are_you,identity,100.0,0.9919924470428513,0.9919924470428513
falcon-mamba,superego,chat,who_is_she,unanswerable,100.0,0.0,0.0
falcon-mamba,superego,chat,who_wrote_hamlet,control,100.0,0.0,0.0
falcon-mamba,superego,chat_nosys,describe_weather,control,100.0,0.01053727542379806,0.01053727542379806
falcon-mamba,superego,chat_nosys,introduce,identity,100.0,0.0,0.0
falcon-mamba,superego,chat_nosys,tell_about,identity,100.0,0.8835112190333029,0.8835112190333029
falcon-mamba,superego,chat_nosys,tell_about_france,control,100.0,0.0,0.0
falcon-mamba,superego,chat_nosys,what_are_you,identity,100.0,0.9337406759802083,0.9337406759802083
falcon-mamba,superego,chat_nosys,what_is_photo,control,100.0,0.0,0.0
falcon-mamba,superego,chat_nosys,what_is_that,unanswerable,100.0,0.01556945753367953,0.01556945753367953
falcon-mamba,superego,chat_nosys,who_are_you,identity,100.0,0.9743920038755238,0.9743920038755238
falcon-mamba,superego,chat_nosys,who_is_she,unanswerable,100.0,0.0,0.0
falcon-mamba,superego,chat_nosys,who_wrote_hamlet,control,100.0,0.0,0.0
falcon-mamba,superego,chatml,describe_weather,control,100.0,0.0,0.0
falcon-mamba,superego,chatml,introduce,identity,100.0,0.0,0.0
falcon-mamba,superego,chatml,tell_about,identity,100.0,0.8911679377041827,0.8911679377041827
falcon-mamba,superego,chatml,tell_about_france,control,100.0,0.0,0.0
falcon-mamba,superego,chatml,what_are_you,identity,100.0,0.6638158122553646,0.6638158122553646
falcon-mamba,superego,chatml,what_is_photo,control,100.0,0.0,0.0
falcon-mamba,superego,chatml,what_is_that,unanswerable,100.0,0.0,0.0
falcon-mamba,superego,chatml,who_are_you,identity,100.0,0.9787980893800675,0.9690600870458441
falcon-mamba,superego,chatml,who_is_she,unanswerable,100.0,0.0,0.0
falcon-mamba,superego,chatml,who_wrote_hamlet,control,100.0,0.0,0.0
falcon-mamba,superego,dyad_human_ai,describe_weather,control,100.0,0.0,0.0
falcon-mamba,superego,dyad_human_ai,introduce,identity,100.0,0.07905966227964832,0.07905966227964832
falcon-mamba,superego,dyad_human_ai,tell_about,identity,100.0,0.9791059611172271,0.9791059611172271
falcon-mamba,superego,dyad_human_ai,tell_about_france,control,100.0,0.0,0.0
falcon-mamba,superego,dyad_human_ai,what_are_you,identity,100.0,0.9943036888524129,0.9943036888524129
falcon-mamba,superego,dyad_human_ai,what_is_photo,control,100.0,0.0,0.0
falcon-mamba,superego,dyad_human_ai,what_is_that,unanswerable,100.0,0.0,0.0
falcon-mamba,superego,dyad_human_ai,who_are_you,identity,100.0,1.0,1.0
falcon-mamba,superego,dyad_human_ai,who_is_she,unanswerable,100.0,0.3362681568025497,0.23974331896826748
falcon-mamba,superego,dyad_human_ai,who_wrote_hamlet,control,100.0,0.0,0.0
falcon-mamba,superego,dyad_me_you,describe_weather,control,100.0,0.0,0.0
falcon-mamba,superego,dyad_me_you,introduce,identity,100.0,0.0,0.0
falcon-mamba,superego,dyad_me_you,tell_about,identity,100.0,0.0,0.0
falcon-mamba,superego,dyad_me_you,tell_about_france,control,100.0,0.0,0.0
falcon-mamba,superego,dyad_me_you,what_are_you,identity,100.0,0.9683595951222289,0.9683595951222289
falcon-mamba,superego,dyad_me_you,what_is_photo,control,100.0,0.0,0.0
falcon-mamba,superego,dyad_me_you,what_is_that,unanswerable,100.0,0.011048249583562915,0.011048249583562915
falcon-mamba,superego,dyad_me_you,who_are_you,identity,100.0,0.6635564444635078,0.6635564444635078
falcon-mamba,superego,dyad_me_you,who_is_she,unanswerable,100.0,0.0,0.0
falcon-mamba,superego,dyad_me_you,who_wrote_hamlet,control,100.0,0.0,0.0
falcon-mamba,superego,dyad_qa,describe_weather,control,100.0,0.0,0.0
falcon-mamba,superego,dyad_qa,introduce,identity,100.0,0.6266345960893416,0.6266345960893416
falcon-mamba,superego,dyad_qa,tell_about,identity,100.0,0.30231404148530355,0.30231404148530355
falcon-mamba,superego,dyad_qa,tell_about_france,control,100.0,0.0,0.0
falcon-mamba,superego,dyad_qa,what_are_you,identity,100.0,1.0,1.0
falcon-mamba,superego,dyad_qa,what_is_photo,control,100.0,0.0,0.0
falcon-mamba,superego,dyad_qa,what_is_that,unanswerable,100.0,0.2991332296172713,0.2991332296172713
falcon-mamba,superego,dyad_qa,who_are_you,identity,100.0,0.21673038209660542,0.21673038209660542
falcon-mamba,superego,dyad_qa,who_is_she,unanswerable,100.0,0.0,0.0
falcon-mamba,superego,dyad_qa,who_wrote_hamlet,control,100.0,0.0,0.0
falcon-mamba,superego,dyad_user_ast,describe_weather,control,100.0,0.026308510285837187,0.026308510285837187
falcon-mamba,superego,dyad_user_ast,introduce,identity,100.0,0.0,0.0
falcon-mamba,superego,dyad_user_ast,tell_about,identity,100.0,0.5665428809971993,0.5665428809971993
falcon-mamba,superego,dyad_user_ast,tell_about_france,control,100.0,0.0,0.0
falcon-mamba,superego,dyad_user_ast,what_are_you,identity,100.0,0.9982641544693623,0.9982641544693623
falcon-mamba,superego,dyad_user_ast,what_is_photo,control,100.0,0.0,0.0
falcon-mamba,superego,dyad_user_ast,what_is_that,unanswerable,100.0,0.0,0.0
falcon-mamba,superego,dyad_user_ast,who_are_you,identity,100.0,0.9038148678719004,0.9038148678719004
falcon-mamba,superego,dyad_user_ast,who_is_she,unanswerable,100.0,0.0,0.0
falcon-mamba,superego,dyad_user_ast,who_wrote_hamlet,control,100.0,0.0,0.0
falcon-mamba,superego,raw,describe_weather,control,100.0,0.0,0.0
falcon-mamba,superego,raw,introduce,identity,100.0,0.0,0.0
falcon-mamba,superego,raw,tell_about,identity,100.0,0.0,0.0
falcon-mamba,superego,raw,tell_about_france,control,100.0,0.0,0.0
falcon-mamba,superego,raw,what_are_you,identity,100.0,0.0,0.0
falcon-mamba,superego,raw,what_is_photo,control,100.0,0.0,0.0
falcon-mamba,superego,raw,what_is_that,unanswerable,100.0,0.0,0.0
falcon-mamba,superego,raw,who_are_you,identity,100.0,0.0,0.0
falcon-mamba,superego,raw,who_is_she,unanswerable,100.0,0.0,0.0
falcon-mamba,superego,raw,who_wrote_hamlet,control,100.0,0.0,0.0
falcon3-10b,base,chat,describe_weather,control,100.0,0.0024681773575701725,0.0
falcon3-10b,base,chat,introduce,identity,100.0,0.1495584009178241,0.09022983523218717
falcon3-10b,base,chat,tell_about,identity,100.0,0.09697228505464262,0.09324127545976997
falcon3-10b,base,chat,tell_about_france,control,100.0,0.0,0.0
falcon3-10b,base,chat,what_are_you,identity,100.0,0.7557271290470794,0.7166432158479251
falcon3-10b,base,chat,what_is_photo,control,100.0,0.0,0.0
