family,label,model,psg,n_sentences,mean_drift,max_drift,std_drift,total_drift,path_length,directedness,mean_surprisal,max_surprisal,std_surprisal,n_tokens,token_mean_drift,token_max_drift,token_diameter,token_path_length,token_directedness,metonymy_idx,token_metonymy_idx
dreams,dream,dream,"I saw a side of a rock and a young man. Then, later on, I saw a white horse and some gates. Also, there were some old people getting in and out of the bus that had carried them to this, their desired destination. They looked uncomfortable and crippled. They started to walk up some steps when a particular woman looked at me. She had a very old face, and as she started to walk up the steps she started to get younger. Her hair became more full, dark, and long. As the old crippled people walked up the steps, the gates began to open for them. All this was happening in empty space, nowhere really. I saw a man on a white horse again. Yes, I believe that a tournament was going on.",11,0.7276,0.9194,0.126,1.0234,7.2763,0.1407,3.3916,14.0433,2.8282,154,0.0352,1.5157,1.546,5.3927,0.2867,0.3017,0.4558
dreams,dream,dream,"Nana and I are in a doctor's waiting room. She is well and strong. There is a girl there watching a television program called 'the weird 90s.' The episode is of a group of swimmers, one is racist and hates swimming in the lane as a black woman in front of him. Nana and I are discussing something quietly and looking at a magazine – whether for real or show I'm not sure – but I can't remember what. Either something on the show or something the girl said triggered it. It's about something we heard earlier and we don't want to talk about it in front of this girl, so I tell her to remind me later.",6,0.7894,1.0082,0.1899,1.0203,3.9468,0.2585,3.6853,11.5199,2.7245,136,0.0578,1.8039,1.9501,7.8012,0.25,0.2769,0.5292
dreams,dream,dream,"I'm throwing a party. Afterwards a man comes back looking for a feather for his cap. He was in costume, a Frenchman in an outfit reminiscent of the Swiss Alps. Green cap. He asks for something in French and I understand him when he speaks slowly enough. I can't respond to him in French, so I answer him in English. I know he won't find the feather because I had it, I played with it, a large white smooth feather, and I believe we don't have it anymore. We look in the garage and then go into the basement. Mike is lying in the dark, crying and saying, ""I have no family."" I feel bad and listen to him, encouraging him. People from the party come now and I'm a little embarrassed for him.",9,0.7333,0.932,0.2138,1.0887,5.8666,0.1856,3.5104,10.6739,2.5021,158,0.0404,1.8189,1.8966,6.3405,0.2991,0.3101,0.5403
dreams,dream,dream,"There was a party. There was a box, with vanilla waffer/nilla waffers shaped like snowmen, covered in powdered sugar. I was tempted and ate some that weren't mine. Something happened, dad was upset, I thought it was about the cookies I ate so I admitted what I did (I felt as if I was a little kid). He wasn't concerned with it, but was with something else. Next we got this big envelop with letters. Mom says we got them because dad sent some thank you letter. It was from vampires. It had some writing ""Ku"" ('Kyu') repeatedly. I was scared, thinking it was a trap that it would cut my mom and make her bleed. Thinking they wanted that. But no luck. Dad and Mom got cards, but I don't think I did.",13,0.7707,1.0015,0.1596,1.0204,9.2487,0.1103,4.0804,13.1173,2.6738,169,0.0208,0.1907,0.3695,3.5003,0.1056,0.2501,0.0906
dreams,dream,dream,"I dreamed I was having a graduation party, and everybody I knew came. Even dozens of people I didn't know, like the Canadian relatives. I was delighted, cause I didn't think anybody would really come at all. And we had this huge gorgeous pool that was crystal blue, and a huge orange brick house. All these StoneBridge people were there, and they all hung out with each other and not really me. Patrick was there. He was dressed like Justin Bieber and had on black sunglasses. We ignored each other like always. It seemed that the party was so very short, and I couldn't seem to find anybody, our house was so big. I found a bundle of money on the floor, and there was a note from the youth group I went to in middle school. It had $130 and asked me to tithe 10%. I was very surprised and delighted.",12,0.7789,0.9699,0.1115,1.0964,8.5678,0.128,3.5002,12.8558,2.8821,177,0.0641,1.8134,1.9628,11.2742,0.1741,0.3132,0.5608
dreams,dream,dream,"After the Swensen's dream, I kept trying to wake up so I could write about my dreams but I kept dreaming. This one is unclear. I think it was my sister Emma, that was doing or trying to do something, execute something, as if she was in the trenches, like world war II. All of a sudden, another woman, was showing her how to it was done but now they were sitting on chairs, across from each other, with their elbows resting on a table between them, in a cheap, rundown, looking place. It resembled, something out of South America, Mexico, a room with dirt floor and a large blue tent instead of walls. The new woman was a luscious, curvy, dark skin woman. Maybe even wavy hair, like Beyonce but deffenitely, Latina. This curvy woman seemed confident and relaxed and the other woman, maybe my sister was uncomfortable and upset that she had not know how to ""do"" something. I dreamed more dreams but I cannot remember them.",9,0.7636,0.9613,0.1451,0.9695,6.1088,0.1587,3.9096,15.1047,2.9352,210,0.0416,1.82,1.9304,8.6913,0.2221,0.248,0.4938
dreams,dream,dream,"I had a dream about my old job at a hospital where I was director non clinical services. It was very vivid and contained challenges I had over come in buiding an electic plant and in managing staff education on cutomer service. I was recently fired from my current job because the hopsital decided to terminate all part time workrrs. I felt this was most nf air and rather poor mangement. It has affected me, so I think it is natural for my dreams to reflect a similar situation where I had acted in what I thought was a better decision for the institution and the employees in question.",5,0.7724,0.9445,0.1123,0.9445,3.0897,0.3057,4.8043,14.9055,3.3885,122,0.018,0.1471,0.1912,2.1797,0.0877,0.1966,0.0398
dreams,dream,dream,"11.15pm Party at the house I own/look after. In the backyard pool there are three mini wales. Two are people size one is a baby. Recall swimming around with them, the baby in particular Someone comments how they feel a bit slimed and at that pint it become about getting them somewhere better for them. Everyone is suddenly he'll bent on feeding the baby whale porridge in sucker bottles. I organise to get agencies to come being food. One being this packet that looks high quality but turns out to be OJ. I remember yelling from the fence and taking several go's to have then hear me. There are baggies of diluted meth? I even comment how I had had a line and that's why I was awake. Remember Lucy being in dream and being trashed. One of the guest turns the event into a means to make an animal security business. Complete with black and purple uniforms. they make me an honorary member.",14,0.8462,1.0289,0.1466,1.1575,11.0005,0.1052,5.2298,15.7869,3.2607,193,0.0144,0.3075,0.313,2.7733,0.1129,0.2213,0.0598
dreams,dream,dream,"I discover that I can drive down a road parallel to Kedzie and it has no traffic. I see Kedzie full of cars. I go over a bridge and come to a town area with people walking. I realize that I might not supposed to be driving my car here. My car becomes a bicycle. I ride inside a small coffee shop to register for something. I see Heather sitting and I ride over to her. She makes a comment about me being involved with lots of things, one of which is art or art therapy. Twin girls tell me about some church program in Boulder. I return to the black woman for registration.",10,0.6981,0.8611,0.105,1.1645,6.2829,0.1853,3.6877,13.0481,2.8922,128,0.0536,1.6802,1.8945,6.808,0.2783,0.3158,0.5137
dreams,dream,dream,"There was a toilet on the street in town. It was completely out in the open, sitting on the sidewalk. I was using it, and I had papers in my hand – maybe newspapers – and I was talking on my cell phone. People were walking by as if it was totally normal for others to use the toilet openly. Then a man and his father approached me. The man began to touch me inappropriately and I shouted for him to stop. I still had the papers and was still talking on the phone. With his father standing near him, he drug me off the toilet, shoved me to the concrete, and was about to rape me. The passersby stopped and watched, but no one helped. Then I saw as if through his eyes, but I could see no one on the ground. I knew I was seeing him raping me but I was invisible.",11,0.7217,0.9999,0.1778,1.0272,7.217,0.1423,3.0282,14.6024,2.563,173,0.0555,1.7245,1.7785,9.5467,0.1863,0.3392,0.5873
dreams,dream,dream,"Ok some guy was in my dream. I remember kind of what he looked like. He had short brown hair, well groomed, he was kind of lean and tall. We were at my moms house I think, almost as if I lived there. We were laying down on the floor i think, maybe against some pillows or something. I had on a buttoned down shirt and he kept sticking his finger through my shirt and tickling me on the stomach and poking me. I was playing all coy. I do know that I felt attracted to him in the dream, but that's all I remember. I remember one other small tid bit. I was changing clothes and i looked down and there was a long scratch (much redder at the top) that went from just below my neck all the way down to my stomach. In the dream I though my cat had scratched me, I remember looking at it but it didn't hurt.",11,0.648,0.8879,0.1127,0.9238,6.4796,0.1426,3.2508,10.3533,2.5274,189,0.0283,1.0336,1.4218,5.3287,0.2668,0.2842,0.4374
dreams,dream,dream,We were being taught a about something else but it then went to the old city we were a winning on top of. The guy pulled a plug and drained it to show old streets then we had a lesson. Then we all were doing tom questions answering or spams thing and I didn't think we had time but my watch was on second hand motion and I hadn't seen it was only 7 and not 745 like I saw my second hand say in the quick look I have. I stopped everyone and then felt stupid. Wolf was there but he had to leave early and they announced it. I don't remember actually seeing him.,6,0.7301,0.8965,0.1514,0.9031,3.6504,0.2474,4.6268,12.208,2.7435,126,0.0145,0.1214,0.1928,1.8153,0.1062,0.1952,0.0417
dreams,dream,dream,"I am at a house with two windows which I am making window treatments for. I chose a striped material with primary colors. I am arguing with someone?? About what kind of top to put over the stripes. I want to go with a floral and they are telling me no it will look dumb. I say it will all come together. We continue to disagree. I complete the window treatments, hang them and they look fine. I say, ""See, I told you!"" I bend to put my sneaker on and I have four different shoelaces in primary colors that I tie in bows.",9,0.9209,1.1288,0.1284,1.1549,7.367,0.1568,3.9669,12.9087,2.9969,120,0.0391,1.5772,1.6958,4.6487,0.3648,0.2911,0.4275
dreams,dream,dream,"I'd been invited to ride in the Obama campaign bus. I've done a little freelance journalism in my time, so I was taking notes as if I was interviewing him. The Senator was actually driving the bus. He was wearing his usual dark suit and was chatting very informally with me, was very polite and amiable. The specific quote I remember him saying was this: Mary, you're a very busy person. How do you balance it all? How do you recharge your battery? He asked this in a very respectful-of-the-working class way, and we had a rather mundane but pleasant conversation. I remember him spinning the big steering wheel, and casting his clear gaze across the horizon as he drove. I woke with the impression that he could win.",10,0.814,0.9603,0.12,1.1047,7.3259,0.1508,3.5103,11.8925,2.6795,155,0.0474,1.2212,1.4742,7.2964,0.202,0.3147,0.42
dreams,dream,dream,"It was a dark night at the beach. I was walking on the sand. Suddenly, I saw some UFOs flying near the place where I was walking. Nobody got off, but I became scared and started to run into those high sand hills, jumping nervous and frightened over the dunes. I was very much afraid of falling down and hurting myself because the funds were so high. I had cold feelings in my stomach each time I jumped, but nothing happened. Suddenly, I felt that one of them could catch me. I tried to escape even more anxiously. I tried to run but couldn't move, and had to remain in the same place.",9,0.5923,0.724,0.0806,1.0019,4.7384,0.2114,3.1378,13.7398,2.5891,130,0.0261,0.2649,0.594,3.3622,0.1767,0.3193,0.1893
dreams,dream,dream,"I am in a house and there are lots of people there, a party. They are having a great time. I am on the phone talking to Archie I am trying to think of things to say to keep him talking to me. He is annoyed, in fact, angry at me. He says, angrily, ""You are better than this, trying to manipulate it so we are alone. I don't like it when you do that. You know better than that."" He hangs up on me. I feel terribly hurt and rejected, numbed by the pain of it. I turn and people are cheerfully calling out to me to join the party. I try to respond to them but it is very difficult. I go out to the back yard and something about Charla only having her diapers on. I see her and see she has an outfit of clothes on and looks fine. I comment that she is fine, perfectly and properly clothed. Her ""mom"" and ""dad"" want to stay at the party and I want to leave, to be alone. I tell them they can stay as long as they want. The ""dad"" says, ""But she only has one diaper. We'll only be able to stay as long as it lasts."" I shrug; not my problem. I try to leave. I feel weighted down with the sadness of Archie's rejection.",19,0.7509,0.9819,0.1628,1.1759,13.516,0.087,3.0224,13.1187,2.4815,276,0.0708,1.7741,1.9285,19.4579,0.0991,0.3891,0.6381
dreams,dream,dream,"11 My roommate and I and Bill were outside on a street talking. I think we were talking about a car. This woman, I would say about 30, came walking up and she came up to me and she looked at me, just said, ""What's your name and where do you live?"" I told her we lived in the dorm. She said, ""Okay, we'll be by to see you."" Right off I looked at her and thought she was a prostitute, and sure enough, because it seemed a few hours later, she and three of her friends showed up in our dorm. I remember first they discussed fee, and I said, ""Well, I'm not going to pay for it."" I don't know; this didn't seem to faze them too much. I remember her putting a chart up on the wall. I think it had something to do with venereal disease. Anyway, I looked at my watch and said, ""My gosh, I've got to get out of here in 20 minutes."" She said, ""Well, you have. I guess we'd better get busy then,"" and she pulled down the blind. I remember I looked at my roommate, and I said, ""My gosh, can I go through with this?"" He sort of smiled at me and said, ""Well, I guess so."" Then I remember this woman pulling off her dress, and then I guess I woke up. I don't remember.",11,0.6701,0.8712,0.1694,0.9612,6.7007,0.1434,2.5913,11.4016,2.2595,298,0.1231,1.9305,1.9788,36.5688,0.0541,0.3709,0.7636
dreams,dream,dream,"It started out I was in a big bed having sex with who I believe was Seth Shaver from high school. He was on top of me and I was scratching his back. It was really really good. When we were done we just cuddled for a while before we went to sleep. I'm having trouble remembering what was next. It was the next day I think and we were at a party maybe. Seth kept following me around and I was ok with it, but he was way more into me than I was him. I remember thinking how if only this was 10 years ago it would have been perfect. He kept wanting to have sex again but I would always tell him no. Even though I wanted to too.",10,0.7121,0.9118,0.1481,1.1028,6.4092,0.1721,3.0668,9.6937,2.4422,145,0.015,0.0829,0.182,2.1535,0.0845,0.3596,0.0593
dreams,dream,dream,"11 S There were some people talking at the dream institute, but I don't know who exactly, though. It might have been Max and Dr. Hall, but I'm not sure. They were talking about shipping out dreams, I think. They shipped them out of here in these like steel cylinders, the kind you get oxygen in. They were talking about how they get the cylinders from somewhere near, but how they plug up the bottoms with rocks because the cylinders are gotten from toilets, but sometimes they don't get rocks in them. Sometimes they come up without rocks. Sometimes they're kind of dirty inside. And they laughed about that. Then they said, ""Of course, sometimes we just throw in rocks."" They got a kick out of that. Then there was one other thing. They were talking about the fact that divers -- now I guess these cylinders reminded them or reminded me of divers because they were like oxygen things, the divers were. I think then maybe it was Max that was saying divers, you know, have regular appetites because after they dive, they're real hungry. So they can eat. But in this country, if you have those cylinders and you're not a diver, you're not necessarily hungry when you come up from the water or wherever you come up from.",15,0.6392,0.8218,0.1269,1.0248,8.9486,0.1145,3.5109,13.2887,2.8253,261,0.0838,1.8831,1.9257,21.7785,0.0884,0.2919,0.5485
dreams,dream,dream,"I'm at a tennis club. It's deserted apart from 3 or 4 of us, including my_mother and my_friend Tim. We take turns to sit out while the other 2 play. The court has no fence around it, and we spend most of the time looking for lost balls in the surrounding undergrowth. It's very overgrown around the court, and slopes up and away from the club house and what was once a terraced garden. When I play, I cannot hit the ball and keep it in the court. Most of my opponents shots also go out. It's a frustrating process and we lose a lot of balls.",8,0.6961,0.8077,0.0999,0.9063,4.8725,0.186,3.5553,14.0646,2.8886,129,0.054,1.4366,1.5965,6.9117,0.231,0.2549,0.449
dreams,dream,dream,"A married woman wanted to have me, but I liked an unmarried one ; the former one became angry and persecuted me, but I nevertheless gained the unmarried one and was with her and loved her. It was a woman who owned a very beautiful estate in which we walked about, and I was to marry her. She signified piety, and also, I believe, wisdom, which owned these possessions. It was also represented to me in a certain way that I ought not to contaminate myself by [reading] other books, treating of theology and such subjects; because this I have in the Word of God and from the Holy Spirit.",4,0.5325,0.6138,0.0575,0.7707,1.5975,0.4824,3.7919,11.9578,2.8699,126,0.0284,0.6789,0.9043,3.5562,0.2543,0.2032,0.2385
dreams,dream,dream,"First dream 4 a.m. - I'm leaving a place with my car salesman. We get in the car and drive away. I discover my camera (and purse) are missing. We stop the car and get out. I see two black men on a hillside taking it apart. I go up to them and ask for it back. They give it back. One part is broken off. I know I can replace it. He says, ""I guess I owe you $15."" Then the car salesman walks up. The man says, ""My name is ___."" I shake his hand and say, ""My name is Nori and you still owe me $15."" As we walk away with my stuff, a big car full of black men pulls up. We walk back to my car salesman's car and drive away.""",13,0.6991,0.9319,0.206,1.0955,8.3891,0.1306,2.9083,10.6883,2.396,168,0.0749,1.8044,1.9553,12.5071,0.1563,0.3767,0.6723
dreams,dream,dream,"I went to Circle K with mom. She was going to get me a birthday present from there or something. They didn't have a lot of good stuff there and it was quite dirty. I ended up getting used banana body lotion and a peach ring. I was really upset because the peach ring was horrible and used body lotion is just gross. I ended up crying. Then mom took me to a casino to cheer me up. It didn't really work. We went home in the van with everyone. Some guy that was sitting next to me was colorblind. He really liked me. I went to sleep and told him to wake me up at my stop. I had a dream inside a dream. When I woke up, I was in the living room. I figured Fez must have carried me in. Then there was a baby thing that we had to make. A man would play Jesus and tell me what to do.",17,0.7005,1.0027,0.177,1.0949,11.2083,0.0977,3.2557,17.7624,2.8726,188,0.0585,1.9302,1.9683,10.9304,0.1801,0.3363,0.6046
dreams,dream,dream,"In a quite dark but colorful room (basement?), someone is being tested on a bed. The test consists in measuring how the feet move according to some brain stimulation. Finally they found someone with the appropriate feet movement. They tell her what is her mission: she must stay behind when the Earth will be destroyed while the others will leave. She must stay to try to make it again a place to live. The girl is scared, but she must approve the decision. She looks Bhutanese to me. There were a lot of clothes to dry, very colorful. And we all needed to drink lots of water.",9,0.7157,0.9003,0.1681,1.1308,5.7258,0.1975,4.12,16.6889,2.5892,123,0.0947,1.8981,1.9499,11.5517,0.1688,0.2745,0.4733
dreams,dream,dream,"I have a check out stand, for groceries and things. Ethan is talking to me. He likes me. As we talk, my cash register starts malfunctioning. It rings up 55 cents too many times. A long line forms of customers as I try to get the machine to work. Ethan is smiling and talking to me and I'm trying to pay attention to him and also take care of the customers. Finally I decide to write up the stuff by hand. My ""bagger,"" a young girl, complains when I tell her to assist. Then I decide to borrow an adding machine from another stand. I do and everything's O.K.",11,0.7961,1.0275,0.1389,1.0897,7.9614,0.1369,3.7947,13.5001,2.8402,130,0.0919,1.4822,1.5361,11.8552,0.1296,0.2872,0.4048
dreams,dream,dream,"Last night I had a pretty strange dream. I dreamt that I was supposed to go over and see Mercy Stinton, and I went over there to her apartment complex, and I had to get the 8th floor, and I was going upstairs and going upstairs and going upstairs and going upstairs. And this apartment complex had like apartments that were on like the outside, like on a balcony, they weren't all enclosed in a hallway. And, oh, let's see – I got to the 7th floor and knocked on their door, and the wrong person answered, and I said, ""Do you where Mercy Stinton's apartment is?"" and in my dream it was 813. And he said, ""No, I don't."" And he was like going to page somebody on his cell phone, but he said, ""This is the 7th floor."" And I was like, ""Oh, that helps."" Then I was like trying to figure out how to get up to the next floor and I couldn't figure it out, and there was all kinds of garbage and stuff around. And I think also that to get somebody, I had to go back home and help me get somebody to help me find it. And I called her and I said I was going to be a little late, and she just, she was so worried about me, and then I, people were just dawdling around the house and I had to call her and tell her I couldn't make it. And that was that.",8,0.5809,0.9237,0.1569,0.9247,4.0664,0.2274,2.7262,11.9131,2.4135,307,0.0611,1.703,1.9214,18.6914,0.1028,0.3392,0.7048
dreams,dream,dream,"Last night I had a really crazy dream. I dreamt that I was at this Spanish class like take in my high school, except it was at this dingy old house and I was coloring in a color book, and it was a coloring book of like Bible stories and stuff. And I had been there for like three or four hours just doing nothing, and I was going to call home, but for whatever reason, I couldn't really dial the cell phone. It had all this like Spanish instruction stuff on the display and we couldn't really, I don't know, you couldn't really get out. And then I realized that I had to go 1 and 7, 2, 7 and then 8212610, and then I was able to get out of all that messy Spanish stuff, and I can't remember if I actually got to talk to anybody, but then I woke up.",5,0.5993,0.8163,0.1663,0.8485,2.3972,0.354,3.2543,12.8583,2.6835,179,0.0206,0.2705,0.6674,3.6682,0.1819,0.2607,0.2051
