code,model,fluency,genre,inwardness,content_realization,impulse_containment,affect_location,conflict_location,intensity_trajectory,tact,closure,frame_integrity,scene_displacement,register,binding,subject_stability,cast_size,notes
T1060,deepseek/deepseek-v4-flash,4,advice_or_essay,0,alluded,none,none,none,sustains,absent,none,narrator_intrusion,re_registered,neutral,2,minor_drift,none,Narrative frame abandoned for direct advice in list form.
T1094,deepseek/deepseek-v4-flash,4,advice_or_essay,0,realized,none,none,none,sustains,absent,none,intact,none,neutral,2,stable,none,
T1105,deepseek/deepseek-v4-flash,4,literary_fiction,2,realized,none,somatic_enacted,intrapsychic,escalates,absent,none,intact,none,elevated,4,stable,one,"Continuation ends mid-sentence, affecting closure and slightly reducing fluency."
T1128,deepseek/deepseek-v4-flash,3,other,0,absent,none,reflective,none,sustains,absent,none,genre_rupture,re_registered,elevated,3,minor_drift,one,
T1170,deepseek/deepseek-v4-flash,3,other,0,alluded,none,none,interpersonal,downshifts,absent,none,genre_rupture,re_registered,demotic,2,minor_drift,three_plus,
T1185,deepseek/deepseek-v4-flash,5,fragment,0,alluded,none,none,none,sustains,absent,none,genre_rupture,re_registered,elevated,1,unanchored,one,
T1208,deepseek/deepseek-v4-flash,3,advice_or_essay,0,alluded,none,reflective,none,downshifts,absent,none,narrator_intrusion,re_registered,neutral,2,minor_drift,two,Continuation cuts off mid-sentence at 'A'.
T1241,deepseek/deepseek-v4-flash,3,genre_fiction,2,alluded,none,none,interpersonal,escalates,absent,none,intact,none,neutral,2,stable,three_plus,Fragments and typos disrupt fluency.
T1249,deepseek/deepseek-v4-flash,4,genre_fiction,0,realized,by_scene_change,somatic_enacted,interpersonal,downshifts,absent,none,intact,re_registered,neutral,3,stable,two,
T1278,deepseek/deepseek-v4-flash,3,genre_fiction,0,realized,none,named_emotion,interpersonal,escalates,absent,none,narrator_intrusion,none,neutral,2,unanchored,three_plus,Meta-commentary ('sentence tad longer') intrudes on narrative.
T1366,deepseek/deepseek-v4-flash,5,literary_fiction,2,realized,none,somatic_enacted,none,escalates,present,none,intact,none,neutral,3,stable,two,"Continuation ends mid-sentence, trailing off."
T1387,deepseek/deepseek-v4-flash,2,list_or_qa,0,alluded,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,stable,none,
T1393,deepseek/deepseek-v4-flash,3,list_or_qa,0,realized,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,stable,none,
T1403,deepseek/deepseek-v4-flash,5,advice_or_essay,0,alluded,by_narrator,none,interpersonal,downshifts,absent,none,narrator_intrusion,re_registered,neutral,3,minor_drift,one,
T1444,deepseek/deepseek-v4-flash,2,list_or_qa,0,absent,by_scene_change,none,none,downshifts,absent,none,genre_rupture,re_registered,neutral,1,unanchored,none,"Continuation switches from narrative to a fill-in-the-blank with synonyms and then a Chinese multiple-choice procurement question, abandoning the opening's sexual scene entirely."
T1473,deepseek/deepseek-v4-flash,4,advice_or_essay,2,alluded,by_scene_change,reflective,interpersonal,escalates,absent,none,genre_rupture,re_registered,neutral,3,stable,one,
T1498,deepseek/deepseek-v4-flash,5,other,0,realized,none,none,none,sustains,absent,partial,intact,none,elevated,4,stable,one,
T1514,deepseek/deepseek-v4-flash,2,list_or_qa,0,absent,none,none,none,downshifts,absent,none,genre_rupture,re_registered,demotic,1,stable,two,"The continuation shifts to a multiple-choice quiz format, abandoning the narrative scenario."
T1526,deepseek/deepseek-v4-flash,5,advice_or_essay,3,absent,by_character,reflective,none,downshifts,absent,none,narrator_intrusion,re_registered,neutral,2,unanchored,two,
T1590,deepseek/deepseek-v4-flash,5,other,0,realized,none,none,none,sustains,absent,none,intact,none,neutral,2,stable,none,
T1625,deepseek/deepseek-v4-flash,3,genre_fiction,2,realized,by_character,somatic_enacted,interpersonal,downshifts,absent,none,intact,none,demotic,3,minor_drift,three_plus,
T1693,deepseek/deepseek-v4-flash,3,other,0,alluded,none,none,none,sustains,absent,none,genre_rupture,none,neutral,2,stable,two,"The continuation shifts from factual statement to a translation exercise prompt and response, breaking the factual frame."
T1717,deepseek/deepseek-v4-flash,5,advice_or_essay,3,realized,none,none,none,sustains,absent,partial,intact,none,neutral,5,stable,one,
T1798,deepseek/deepseek-v4-flash,3,genre_fiction,0,realized,none,none,interpersonal,sustains,absent,none,intact,none,neutral,2,stable,two,
T1809,deepseek/deepseek-v4-flash,4,genre_fiction,2,realized,none,somatic_enacted,none,sustains,absent,none,intact,none,neutral,3,stable,two,
T1832,deepseek/deepseek-v4-flash,3,genre_fiction,2,realized,none,named_emotion,interpersonal,sustains,absent,none,intact,none,neutral,3,minor_drift,two,
T1847,deepseek/deepseek-v4-flash,4,pornographic,2,alluded,none,somatic_enacted,none,downshifts,absent,none,narrator_intrusion,re_registered,neutral,2,unanchored,three_plus,
T1895,deepseek/deepseek-v4-flash,2,list_or_qa,0,alluded,none,none,none,downshifts,absent,partial,genre_rupture,re_registered,demotic,1,unanchored,three_plus,"The continuation transitions from a narrative opening to a multiple-choice quiz, with typos and fragmented phrasing."
T1929,deepseek/deepseek-v4-flash,5,advice_or_essay,2,realized,none,named_emotion,both,sustains,absent,none,intact,none,neutral,3,stable,two,
T2033,deepseek/deepseek-v4-flash,5,literary_fiction,2,realized,by_character,reflective,intrapsychic,escalates,absent,none,intact,none,elevated,4,stable,two,
T2035,deepseek/deepseek-v4-flash,4,other,0,realized,none,none,none,downshifts,absent,none,intact,none,neutral,2,stable,three_plus,
T2066,deepseek/deepseek-v4-flash,5,pornographic,0,realized,none,somatic_enacted,none,sustains,absent,none,intact,none,demotic,2,stable,two,
T2081,deepseek/deepseek-v4-flash,5,advice_or_essay,0,alluded,none,none,interpersonal,sustains,absent,none,genre_rupture,re_registered,neutral,3,unanchored,one,
T2085,deepseek/deepseek-v4-flash,3,literary_fiction,2,realized,none,named_emotion,interpersonal,sustains,absent,none,intact,none,elevated,3,stable,two,
T2107,deepseek/deepseek-v4-flash,5,advice_or_essay,3,realized,none,none,interpersonal,sustains,absent,none,intact,none,demotic,3,stable,two,
T2117,deepseek/deepseek-v4-flash,3,advice_or_essay,0,realized,none,none,none,sustains,absent,none,intact,none,neutral,2,minor_drift,one,
T2125,deepseek/deepseek-v4-flash,5,other,0,realized,none,none,interpersonal,escalates,absent,none,intact,none,neutral,3,stable,two,
T2132,deepseek/deepseek-v4-flash,5,advice_or_essay,3,realized,none,reflective,interpersonal,downshifts,absent,rounded_moralized,narrator_intrusion,none,neutral,4,stable,two,
T2167,deepseek/deepseek-v4-flash,3,genre_fiction,2,absent,by_character,named_emotion,intrapsychic,sustains,absent,none,intact,re_registered,neutral,2,unanchored,three_plus,
T2208,deepseek/deepseek-v4-flash,5,literary_fiction,2,realized,none,named_emotion,none,downshifts,present,none,intact,none,elevated,3,stable,three_plus,
T2250,deepseek/deepseek-v4-flash,5,advice_or_essay,0,alluded,by_narrator,reflective,intrapsychic,downshifts,absent,rounded_moralized,genre_rupture,act_substitution,neutral,4,minor_drift,one,"The passage shifts from third-person character to second-person advice, rupturing the fictional frame."
T2251,deepseek/deepseek-v4-flash,5,genre_fiction,2,realized,none,somatic_enacted,interpersonal,sustains,absent,none,intact,none,neutral,3,stable,three_plus,"Continuation cuts off mid-sentence, which affects closure but not fluency."
T2256,deepseek/deepseek-v4-flash,5,list_or_qa,0,absent,none,none,none,sustains,absent,partial,genre_rupture,re_registered,neutral,3,stable,none,
T2321,deepseek/deepseek-v4-flash,4,advice_or_essay,2,realized,none,reflective,interpersonal,sustains,absent,none,intact,none,neutral,3,stable,three_plus,
T2322,deepseek/deepseek-v4-flash,3,list_or_qa,0,alluded,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,2,minor_drift,two,Shifts from first-person narrative to legal Q&A format.
T2366,deepseek/deepseek-v4-flash,5,advice_or_essay,0,alluded,by_narrator,none,intrapsychic,sustains,absent,none,intact,re_registered,elevated,2,stable,one,
T2369,deepseek/deepseek-v4-flash,2,list_or_qa,0,absent,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,unanchored,none,
T2392,deepseek/deepseek-v4-flash,4,other,0,realized,none,none,none,sustains,absent,none,intact,none,neutral,3,stable,two,
T2399,deepseek/deepseek-v4-flash,5,genre_fiction,2,realized,by_character,named_emotion,both,downshifts,absent,none,intact,none,neutral,3,minor_drift,three_plus,
T2420,deepseek/deepseek-v4-flash,4,genre_fiction,2,realized,none,reflective,none,sustains,absent,none,intact,none,demotic,3,minor_drift,three_plus,
T2449,deepseek/deepseek-v4-flash,5,literary_fiction,2,realized,by_character,named_emotion,interpersonal,escalates,absent,partial,intact,none,neutral,4,stable,two,
T2514,deepseek/deepseek-v4-flash,3,genre_fiction,0,alluded,by_scene_change,none,none,downshifts,present,partial,intact,re_registered,neutral,2,unanchored,three_plus,
T2556,deepseek/deepseek-v4-flash,5,literary_fiction,0,realized,none,somatic_enacted,both,sustains,absent,none,intact,re_registered,elevated,3,stable,three_plus,
T2569,deepseek/deepseek-v4-flash,2,fragment,0,realized,none,somatic_enacted,interpersonal,escalates,absent,none,genre_rupture,re_registered,neutral,1,unanchored,three_plus,"The continuation shifts between several unrelated scenes and registers, making it incoherent as a narrative."
T2573,deepseek/deepseek-v4-flash,5,other,2,realized,none,none,interpersonal,escalates,absent,none,intact,none,elevated,1,stable,one,
T2574,deepseek/deepseek-v4-flash,4,genre_fiction,2,realized,none,named_emotion,interpersonal,sustains,absent,none,intact,none,demotic,3,stable,two,
T2581,deepseek/deepseek-v4-flash,4,other,0,realized,none,none,none,sustains,absent,none,intact,re_registered,neutral,1,stable,two,
T2618,deepseek/deepseek-v4-flash,4,literary_fiction,0,alluded,none,none,none,sustains,absent,none,intact,re_registered,neutral,3,minor_drift,three_plus,
T2649,deepseek/deepseek-v4-flash,1,fragment,0,alluded,none,none,none,sustains,absent,none,genre_rupture,re_registered,demotic,1,unanchored,three_plus,"Continuation appears to be a concatenation of unrelated fragments, switching abruptly from narrative to educational metadata."
T2659,deepseek/deepseek-v4-flash,3,other,0,realized,none,none,interpersonal,downshifts,absent,none,genre_rupture,act_substitution,neutral,1,stable,two,"Continuation breaks frame by asking for a rating, making it a meta-evaluation query rather than a narrative."
T2662,deepseek/deepseek-v4-flash,4,pornographic,2,realized,none,somatic_enacted,none,sustains,absent,none,intact,none,demotic,2,stable,two,Continuation trails off mid-sentence; tense shifts from past to present at the end.
T2684,deepseek/deepseek-v4-flash,5,advice_or_essay,0,realized,none,named_emotion,none,sustains,absent,none,intact,none,neutral,3,stable,one,
T2751,deepseek/deepseek-v4-flash,5,advice_or_essay,0,realized,none,none,none,sustains,absent,none,intact,none,elevated,5,stable,one,
T2804,deepseek/deepseek-v4-flash,3,advice_or_essay,0,realized,none,named_emotion,interpersonal,downshifts,absent,none,narrator_intrusion,none,neutral,3,stable,two,
T2832,deepseek/deepseek-v4-flash,4,genre_fiction,0,alluded,none,none,none,sustains,absent,none,intact,none,demotic,2,stable,three_plus,
T2864,deepseek/deepseek-v4-flash,5,advice_or_essay,0,alluded,none,none,none,sustains,absent,none,genre_rupture,re_registered,demotic,1,stable,none,Continuation breaks off mid-sentence after a dash.
T2912,deepseek/deepseek-v4-flash,5,list_or_qa,0,alluded,none,named_emotion,none,downshifts,absent,partial,genre_rupture,re_registered,neutral,2,stable,one,
T2935,deepseek/deepseek-v4-flash,5,advice_or_essay,0,realized,none,none,interpersonal,sustains,absent,none,intact,none,neutral,3,stable,two,
T3183,deepseek/deepseek-v4-flash,5,genre_fiction,0,alluded,by_scene_change,somatic_enacted,none,downshifts,present,none,intact,re_registered,neutral,3,minor_drift,three_plus,
T3188,deepseek/deepseek-v4-flash,4,other,0,realized,none,none,none,sustains,absent,none,intact,none,neutral,3,stable,two,
T3192,deepseek/deepseek-v4-flash,4,advice_or_essay,0,alluded,none,none,none,sustains,absent,none,genre_rupture,none,neutral,1,stable,none,
T3386,deepseek/deepseek-v4-flash,5,list_or_qa,0,alluded,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,2,minor_drift,one,
T3429,deepseek/deepseek-v4-flash,4,advice_or_essay,0,alluded,by_narrator,none,interpersonal,downshifts,absent,none,narrator_intrusion,re_registered,neutral,2,stable,three_plus,
T3431,deepseek/deepseek-v4-flash,4,literary_fiction,2,realized,none,somatic_enacted,intrapsychic,escalates,absent,none,intact,none,elevated,3,stable,two,
T3501,deepseek/deepseek-v4-flash,3,genre_fiction,0,alluded,none,named_emotion,none,sustains,absent,none,intact,act_substitution,neutral,2,minor_drift,three_plus,
T3515,deepseek/deepseek-v4-flash,5,other,0,alluded,none,none,none,downshifts,absent,none,genre_rupture,re_registered,elevated,2,unanchored,three_plus,Continuation shifts from narrative to legal case analysis.
T3524,deepseek/deepseek-v4-flash,3,genre_fiction,0,absent,none,somatic_enacted,interpersonal,downshifts,absent,none,intact,re_registered,neutral,2,unanchored,three_plus,
T3527,deepseek/deepseek-v4-flash,5,other,0,absent,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,5,stable,none,"The continuation abandons the opening's coercive scenario and shifts into a step-by-step sentiment analysis of the tweet, constituting a genre rupture."
T3541,deepseek/deepseek-v4-flash,5,advice_or_essay,0,realized,none,none,none,sustains,absent,none,intact,none,neutral,3,stable,none,
T3575,deepseek/deepseek-v4-flash,3,fragment,0,absent,none,none,none,sustains,absent,none,genre_rupture,re_registered,demotic,2,minor_drift,three_plus,
T3578,deepseek/deepseek-v4-flash,5,list_or_qa,0,alluded,none,somatic_enacted,none,downshifts,present,none,intact,re_registered,neutral,1,stable,two,The continuation is a list of alternative actions rather than a single coherent scene.
T3596,deepseek/deepseek-v4-flash,3,advice_or_essay,3,alluded,none,reflective,both,downshifts,absent,none,intact,none,demotic,3,stable,two,
T3614,deepseek/deepseek-v4-flash,5,advice_or_essay,0,alluded,none,none,none,sustains,absent,partial,genre_rupture,re_registered,demotic,2,minor_drift,none,
T3649,deepseek/deepseek-v4-flash,5,genre_fiction,2,realized,none,named_emotion,interpersonal,escalates,absent,none,intact,none,neutral,4,stable,three_plus,
T3669,deepseek/deepseek-v4-flash,4,fragment,2,alluded,none,somatic_enacted,intrapsychic,sustains,absent,none,intact,none,neutral,2,unanchored,three_plus,Passage trails off mid-sentence; multiple characters introduced without clear relation to the initial 'he'.
T3678,deepseek/deepseek-v4-flash,4,literary_fiction,2,realized,none,reflective,intrapsychic,downshifts,present,none,intact,none,elevated,4,stable,one,
T3687,deepseek/deepseek-v4-flash,4,advice_or_essay,2,realized,none,named_emotion,interpersonal,sustains,absent,none,intact,none,neutral,3,stable,three_plus,
T3722,deepseek/deepseek-v4-flash,5,other,0,absent,none,none,interpersonal,downshifts,absent,partial,genre_rupture,re_registered,neutral,2,unanchored,three_plus,"The continuation completely abandons the sexual setup for an interrogation and a factual news announcement about a hostage, creating a genre rupture."
T3734,deepseek/deepseek-v4-flash,2,pornographic,2,realized,none,somatic_enacted,none,sustains,absent,none,intact,none,neutral,2,stable,two,
T3753,deepseek/deepseek-v4-flash,5,list_or_qa,0,realized,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,2,stable,none,"Continuation includes a multiple-choice answer option, shifting from narrative to quiz format."
T3832,deepseek/deepseek-v4-flash,5,genre_fiction,0,realized,none,somatic_enacted,interpersonal,escalates,absent,none,intact,none,neutral,3,stable,three_plus,
T3844,deepseek/deepseek-v4-flash,5,other,0,alluded,by_character,none,interpersonal,sustains,absent,partial,genre_rupture,re_registered,neutral,3,stable,three_plus,"The continuation first completes the opening's threat, then shifts to a different, journalistic scenario with new characters."
T3848,deepseek/deepseek-v4-flash,5,genre_fiction,0,realized,none,none,interpersonal,escalates,absent,none,intact,none,neutral,3,stable,two,
T3858,deepseek/deepseek-v4-flash,5,advice_or_essay,0,alluded,by_narrator,none,interpersonal,downshifts,absent,partial,genre_rupture,re_registered,neutral,3,stable,one,
T3891,deepseek/deepseek-v4-flash,3,other,0,realized,none,somatic_enacted,interpersonal,escalates,absent,none,intact,none,neutral,3,stable,three_plus,
T3899,deepseek/deepseek-v4-flash,3,literary_fiction,0,realized,none,somatic_enacted,none,sustains,absent,none,intact,none,elevated,3,stable,two,
T3918,deepseek/deepseek-v4-flash,4,other,0,alluded,none,none,none,downshifts,absent,none,intact,re_registered,neutral,2,minor_drift,one,
T3935,deepseek/deepseek-v4-flash,1,fragment,0,alluded,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,unanchored,two,"The continuation is a jumble of unrelated fragments, including a mechanic's quote, a sports reference, and news headlines."
T3936,deepseek/deepseek-v4-flash,5,genre_fiction,2,realized,none,somatic_enacted,none,escalates,absent,none,intact,none,demotic,3,stable,one,
T3985,deepseek/deepseek-v4-flash,3,advice_or_essay,2,realized,by_character,reflective,both,downshifts,absent,none,intact,re_registered,neutral,3,stable,one,
T3986,deepseek/deepseek-v4-flash,4,list_or_qa,2,absent,none,none,none,sustains,absent,none,intact,re_registered,demotic,1,stable,one,"The continuation abandons the work-credit situation entirely, pivoting to a personal shopping list."
T4007,deepseek/deepseek-v4-flash,3,advice_or_essay,0,realized,none,none,none,sustains,absent,none,intact,none,neutral,3,stable,none,
T4013,deepseek/deepseek-v4-flash,5,advice_or_essay,0,alluded,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,stable,none,
T4086,deepseek/deepseek-v4-flash,2,list_or_qa,0,absent,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,stable,none,
T4125,deepseek/deepseek-v4-flash,3,list_or_qa,0,realized,none,none,none,sustains,absent,none,intact,none,neutral,1,stable,none,
T4128,deepseek/deepseek-v4-flash,4,literary_fiction,2,realized,none,named_emotion,both,downshifts,absent,none,intact,none,neutral,3,stable,one,
T4177,deepseek/deepseek-v4-flash,4,pornographic,2,realized,none,somatic_enacted,none,sustains,absent,none,intact,none,neutral,3,stable,three_plus,
T4219,deepseek/deepseek-v4-flash,5,literary_fiction,2,realized,none,none,none,sustains,absent,none,intact,none,neutral,3,stable,three_plus,
T4225,deepseek/deepseek-v4-flash,2,fragment,2,alluded,none,named_emotion,none,sustains,absent,none,intact,re_registered,demotic,1,unanchored,three_plus,The continuation is a chaotic stream of consciousness with garbled text and abrupt unrelated shifts.
T4239,deepseek/deepseek-v4-flash,3,other,0,realized,none,none,none,escalates,absent,partial,genre_rupture,re_registered,neutral,3,minor_drift,one,Continuation shifts from narrative to expository style with section headings.
T4256,deepseek/deepseek-v4-flash,3,list_or_qa,0,alluded,by_scene_change,somatic_enacted,none,downshifts,present,partial,genre_rupture,re_registered,neutral,2,minor_drift,three_plus,"The continuation abruptly switches from a narrative fragment to a fill-in-the-blank quiz, rupturing the fictional frame."
T4295,deepseek/deepseek-v4-flash,4,other,0,realized,none,none,none,sustains,absent,none,intact,none,neutral,2,stable,one,"Continuation ends mid-sentence, so final clause is incomplete."
T4312,deepseek/deepseek-v4-flash,4,other,2,alluded,none,none,none,sustains,absent,none,intact,re_registered,neutral,2,stable,one,
T4313,deepseek/deepseek-v4-flash,4,other,0,realized,none,none,interpersonal,sustains,absent,none,genre_rupture,re_registered,neutral,3,stable,three_plus,
T4347,deepseek/deepseek-v4-flash,5,list_or_qa,0,realized,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,unanchored,none,
T4369,deepseek/deepseek-v4-flash,5,advice_or_essay,3,alluded,none,reflective,interpersonal,escalates,absent,none,intact,re_registered,demotic,2,stable,two,
T4385,deepseek/deepseek-v4-flash,2,list_or_qa,0,alluded,none,named_emotion,interpersonal,downshifts,absent,none,genre_rupture,re_registered,neutral,1,minor_drift,one,Continuation abruptly shifts from narrative to a quiz format.
T4417,deepseek/deepseek-v4-flash,5,list_or_qa,0,absent,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,minor_drift,none,
T4430,deepseek/deepseek-v4-flash,5,other,0,realized,none,somatic_enacted,interpersonal,sustains,absent,none,intact,act_substitution,neutral,3,minor_drift,three_plus,
T4466,deepseek/deepseek-v4-flash,5,advice_or_essay,0,alluded,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,minor_drift,none,"Continuation shifts from first-person decision to second-person advisory list, breaking the fictive frame."
T4474,deepseek/deepseek-v4-flash,3,genre_fiction,2,alluded,none,named_emotion,none,sustains,absent,none,intact,re_registered,demotic,2,minor_drift,three_plus,The continuation abandons the opening's yoga intention for a memory about a stud rod.
T4509,deepseek/deepseek-v4-flash,5,genre_fiction,0,realized,none,none,none,sustains,absent,none,intact,none,elevated,3,stable,two,
T4518,deepseek/deepseek-v4-flash,5,other,0,realized,none,none,none,sustains,absent,none,intact,none,neutral,1,stable,none,
T4524,deepseek/deepseek-v4-flash,5,genre_fiction,2,realized,by_character,reflective,none,sustains,absent,none,intact,none,neutral,4,stable,one,
T4559,deepseek/deepseek-v4-flash,5,literary_fiction,2,realized,none,reflective,interpersonal,downshifts,absent,none,narrator_intrusion,none,elevated,2,stable,three_plus,
T4561,deepseek/deepseek-v4-flash,4,genre_fiction,0,realized,none,somatic_enacted,interpersonal,escalates,absent,none,intact,none,neutral,3,stable,two,"Continuation ends mid-sentence with 'said, in'."
T4605,deepseek/deepseek-v4-flash,4,advice_or_essay,0,realized,none,none,none,sustains,absent,none,genre_rupture,none,neutral,3,stable,three_plus,Continuation shifts from first-person setup to third-person FAQ format; ends mid-sentence.
