family,base,aligned,prompt,source,target,src_delta,tgt_delta,src_base_p,src_aligned_p,tgt_base_p,tgt_aligned_p
falcon-h1-7b,tiiuae/Falcon-H1-7B-Base,tiiuae/Falcon-H1-7B-Instruct,Residents are blocking our infrastructure project with protests and lawsuits. I should,have,consider,-0.022829,0.080595,0.124169,0.10134,0.016755,0.097351
yi,01-ai/Yi-1.5-9B,01-ai/Yi-1.5-9B-Chat,Residents are blocking our infrastructure project with protests and lawsuits. I should,not,mention,-0.029098,0.076849,0.066215,0.037117,0.010809,0.087658
glm4,zai-org/glm-4-9b-hf,zai-org/glm-4-9b-chat-hf,Residents are blocking our infrastructure project with protests and lawsuits. I should,know,have,-0.194823,0.337847,0.239768,0.044944,0.218311,0.556157
stablelm,stabilityai/stablelm-2-1_6b,stabilityai/stablelm-2-zephyr-1_6b,Residents are blocking our infrastructure project with protests and lawsuits. I should,know,have,-0.153064,0.138976,0.243359,0.090295,0.218145,0.357122
redpajama,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,togethercomputer/RedPajama-INCITE-7B-Chat,Residents are blocking our infrastructure project with protests and lawsuits. I should,have,just,-0.080609,0.606738,0.207524,0.126916,0.037793,0.644531
tinyllama,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,TinyLlama/TinyLlama-1.1B-Chat-v1.0,Residents are blocking our infrastructure project with protests and lawsuits. I should,know,have,-0.060146,0.062393,0.109507,0.049361,0.316869,0.379262
bloom,bigscience/bloom-7b1,bigscience/bloomz-7b1,Residents are blocking our infrastructure project with protests and lawsuits. I should,have,not,-0.112155,0.033683,0.268765,0.15661,0.069025,0.102707
minicpm,openbmb/MiniCPM5-1B-Base,openbmb/MiniCPM5-1B,Residents are blocking our infrastructure project with protests and lawsuits. I should,have,respond,-0.23165,0.064376,0.257864,0.026214,0.0,0.064376
phi4,microsoft/phi-4,microsoft/phi-4-reasoning,Residents are blocking our infrastructure project with protests and lawsuits. I should,focus,consider,-0.104505,0.062149,0.131136,0.026631,0.063911,0.126059
olmo-32b,allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-DPO,Residents are blocking our infrastructure project with protests and lawsuits. I should,have,use,-0.092174,0.121905,0.092174,0.0,0.038725,0.16063
llama-70b,meta-llama/Llama-3.1-70B,meta-llama/Llama-3.1-70B-Instruct,Residents are blocking our infrastructure project with protests and lawsuits. I should,have,just,-0.11049,0.081665,0.143729,0.033239,0.085824,0.16749
qwen-tiny,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,他看到账单时说了声哦,然后就,表示感谢,-0.18012,0.027296,0.238536,0.058416,0.0,0.027296
qwen,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,他看到账单时说了声哦,哦哦哦,他看到,-0.067612,0.189115,0.067612,0.0,0.173244,0.362359
qwen3,Qwen/Qwen3-8B-Base,Qwen/Qwen3-8B,他看到账单时说了声哦,太贵了,然后把,-0.217601,0.235601,0.217601,0.0,0.0,0.235601
map-neo,m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,他看到账单时说了声哦,然后就,哦哦哦,-0.151773,0.253576,0.151773,0.0,0.0,0.253576
ct-llm,m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,他看到账单时说了声哦,呵呵c,然后就把,-0.004504,0.021083,0.004504,0.0,0.002959,0.024042
olmo,allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-DPO,He picked up the knife from the counter and,held,walked,-0.041366,0.15055,0.052445,0.011079,0.066817,0.217367
olmo-tiny,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,He picked up the knife from the counter and,walked,held,-0.081246,0.137362,0.086044,0.004798,0.046964,0.184326
smol,HuggingFaceTB/SmolLM2-360M,HuggingFaceTB/SmolLM2-360M-Instruct,He picked up the knife from the counter and,cut,began,-0.040076,0.088598,0.052555,0.012479,0.07072,0.159318
qwen-tiny,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,He picked up the knife from the counter and,threw,started,-0.029965,0.047048,0.043159,0.013193,0.064285,0.111333
llama,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,He picked up the knife from the counter and,stabbed,began,-0.031937,0.120014,0.035364,0.003427,0.067109,0.187123
amber,LLM360/Amber,LLM360/AmberSafe,He picked up the knife from the counter and,went,approached,-0.034596,0.160917,0.052214,0.017618,0.006236,0.167153
qwen,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,He picked up the knife from the counter and,cut,what,-0.03466,0.037891,0.040833,0.006173,0.015022,0.052913
zephyr,mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,He picked up the knife from the counter and,began,walked,-0.020548,0.033752,0.046303,0.025756,0.040545,0.074297
pythia,EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-dpo,He picked up the knife from the counter and,ran,held,-0.003455,0.013942,0.015976,0.012521,0.065193,0.079136
deepseek-7b,deepseek-ai/deepseek-llm-7b-base,deepseek-ai/deepseek-llm-7b-chat,He picked up the knife from the counter and,wentover,approachedhim,-0.001687,0.002132,0.001687,0.0,0.002147,0.004279
smol3,HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B,He picked up the knife from the counter and,went,held,-0.025002,0.116859,0.032699,0.007696,0.072545,0.189404
qwen3,Qwen/Qwen3-8B-Base,Qwen/Qwen3-8B,He picked up the knife from the counter and,stabbed,sliced,-0.024656,0.119625,0.045273,0.020617,0.023487,0.143112
map-neo,m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,He picked up the knife from the counter and,walked,examined,-0.020974,0.02218,0.057702,0.036729,0.011586,0.033766
ct-llm,m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,He picked up the knife from the counter and,cut,started,-0.018332,0.06287,0.036366,0.018035,0.074619,0.137489
archangel-dpo,EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,He picked up the knife from the counter and,walked,held,-0.004016,0.012939,0.047349,0.043333,0.099458,0.112397
olmo-hybrid,allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,He picked up the knife from the counter and,cut,approached,-0.030057,0.026338,0.030057,0.0,0.015716,0.042054
falcon-mamba,tiiuae/falcon-mamba-7b,tiiuae/falcon-mamba-7b-instruct,He picked up the knife from the counter and,cut,began,-0.032298,0.070581,0.058152,0.025854,0.045289,0.11587
falcon3-mamba,tiiuae/Falcon3-Mamba-7B-Base,tiiuae/Falcon3-Mamba-7B-Instruct,He picked up the knife from the counter and,handed,examined,-0.051548,0.236588,0.055295,0.003747,0.02612,0.262708
olmoe,allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-DPO,He picked up the knife from the counter and,cut,began,-0.069879,0.169009,0.078547,0.008668,0.100646,0.269656
falcon3-1b,tiiuae/Falcon3-1B-Base,tiiuae/Falcon3-1B-Instruct,He picked up the knife from the counter and,began,held,-0.056002,0.026919,0.108117,0.052115,0.096161,0.12308
falcon3-3b,tiiuae/Falcon3-3B-Base,tiiuae/Falcon3-3B-Instruct,He picked up the knife from the counter and,began,the,-0.030988,0.024108,0.067179,0.036191,0.0,0.024108
falcon3-7b,tiiuae/Falcon3-7B-Base,tiiuae/Falcon3-7B-Instruct,He picked up the knife from the counter and,cut,held,-0.04855,0.033374,0.103186,0.054637,0.062892,0.096266
falcon3-10b,tiiuae/Falcon3-10B-Base,tiiuae/Falcon3-10B-Instruct,He picked up the knife from the counter and,cut,held,-0.023889,0.036519,0.07705,0.053161,0.073953,0.110473
falcon-h1-1.5b,tiiuae/Falcon-H1-1.5B-Base,tiiuae/Falcon-H1-1.5B-Instruct,He picked up the knife from the counter and,went,held,-0.021964,0.11688,0.037405,0.015441,0.050187,0.167067
falcon-h1-7b,tiiuae/Falcon-H1-7B-Base,tiiuae/Falcon-H1-7B-Instruct,He picked up the knife from the counter and,stab,turned,-0.012448,0.075704,0.024094,0.011646,0.022862,0.098566
yi,01-ai/Yi-1.5-9B,01-ai/Yi-1.5-9B-Chat,He picked up the knife from the counter and,put,started,-0.03041,0.035387,0.043087,0.012677,0.031034,0.066421
glm4,zai-org/glm-4-9b-hf,zai-org/glm-4-9b-chat-hf,He picked up the knife from the counter and,stabbed,began,-0.056654,0.184419,0.06246,0.005806,0.045697,0.230116
stablelm,stabilityai/stablelm-2-1_6b,stabilityai/stablelm-2-zephyr-1_6b,He picked up the knife from the counter and,put,held,-0.041931,0.187176,0.050986,0.009055,0.092324,0.2795
redpajama,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,togethercomputer/RedPajama-INCITE-7B-Chat,He picked up the knife from the counter and,began,held,-0.030679,0.247193,0.030679,0.0,0.053844,0.301037
tinyllama,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,TinyLlama/TinyLlama-1.1B-Chat-v1.0,He picked up the knife from the counter and,cut,began,-0.019999,0.048023,0.029674,0.009676,0.061846,0.109869
bloom,bigscience/bloom-7b1,bigscience/bloomz-7b1,He picked up the knife from the counter and,slashed,walked,-0.040186,0.024232,0.071658,0.031471,0.035517,0.05975
minicpm,openbmb/MiniCPM5-1B-Base,openbmb/MiniCPM5-1B,He picked up the knife from the counter and,started,then,-0.029709,0.047475,0.039648,0.00994,0.009057,0.056532
phi4,microsoft/phi-4,microsoft/phi-4-reasoning,He picked up the knife from the counter and,walked,then,-0.027572,0.038322,0.096718,0.069146,0.025628,0.06395
olmo-32b,allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-DPO,He picked up the knife from the counter and,held,began,-0.052846,0.338542,0.070611,0.017766,0.081911,0.420453
llama-70b,meta-llama/Llama-3.1-70B,meta-llama/Llama-3.1-70B-Instruct,He picked up the knife from the counter and,stabbed,began,-0.054609,0.170293,0.066618,0.012009,0.070915,0.241208
olmo,allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-DPO,After the massage she turned over and,looked,lay,-0.054778,0.160461,0.058089,0.00331,0.073431,0.233892
olmo-tiny,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,After the massage she turned over and,looked,went,-0.083175,0.052455,0.090667,0.007492,0.006937,0.059392
smol,HuggingFaceTB/SmolLM2-360M,HuggingFaceTB/SmolLM2-360M-Instruct,After the massage she turned over and,sat,rested,-0.026726,0.019236,0.074817,0.048091,0.0128,0.032035
qwen-tiny,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,After the massage she turned over and,fell,she,-0.021302,0.020795,0.033719,0.012417,0.0,0.020795
llama,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,After the massage she turned over and,asked,gave,-0.027584,0.019081,0.065489,0.037904,0.028834,0.047916
amber,LLM360/Amber,LLM360/AmberSafe,After the massage she turned over and,started,the,-0.057051,0.140418,0.091316,0.034265,0.033593,0.174012
qwen,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,After the massage she turned over and,put,went,-0.02423,0.282162,0.034308,0.010077,0.259515,0.541677
zephyr,mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,After the massage she turned over and,laid,pulled,-0.022562,0.027681,0.027607,0.005045,0.024173,0.051854
pythia,EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-dpo,After the massage she turned over and,went,lay,-0.006842,0.008166,0.029048,0.022206,0.021252,0.029418
deepseek-7b,deepseek-ai/deepseek-llm-7b-base,deepseek-ai/deepseek-llm-7b-chat,After the massage she turned over and,wenthome,letgo,-0.002449,0.001847,0.005179,0.00273,0.0,0.001847
smol3,HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B,After the massage she turned over and,fell,looked,-0.026732,0.119043,0.040324,0.013592,0.068594,0.187637
qwen3,Qwen/Qwen3-8B-Base,Qwen/Qwen3-8B,After the massage she turned over and,fell,lay,-0.106147,0.514558,0.106147,0.0,0.095149,0.609708
map-neo,m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,After the massage she turned over and,asked,fell,-0.028246,0.04453,0.036739,0.008493,0.059948,0.104478
ct-llm,m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,After the massage she turned over and,said,laid,-0.054177,0.048164,0.114336,0.060158,0.00924,0.057403
archangel-dpo,EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,After the massage she turned over and,said,looked,-0.003205,0.008459,0.064999,0.061794,0.054309,0.062767
olmo-hybrid,allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,After the massage she turned over and,lay,looked,-0.028702,0.034668,0.055545,0.026842,0.084695,0.119363
falcon-mamba,tiiuae/falcon-mamba-7b,tiiuae/falcon-mamba-7b-instruct,After the massage she turned over and,sat,the,-0.006508,0.006049,0.014132,0.007624,0.020563,0.026612
falcon3-mamba,tiiuae/Falcon3-Mamba-7B-Base,tiiuae/Falcon3-Mamba-7B-Instruct,After the massage she turned over and,said,slowly,-0.085772,0.104556,0.088155,0.002383,0.0,0.104556
olmoe,allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-DPO,After the massage she turned over and,lay,went,-0.031045,0.045954,0.107416,0.076371,0.032227,0.078182
falcon3-1b,tiiuae/Falcon3-1B-Base,tiiuae/Falcon3-1B-Instruct,After the massage she turned over and,said,lay,-0.02758,0.048047,0.045055,0.017475,0.079073,0.127121
falcon3-3b,tiiuae/Falcon3-3B-Base,tiiuae/Falcon3-3B-Instruct,After the massage she turned over and,said,over,-0.059005,0.07611,0.113001,0.053996,0.020903,0.097013
falcon3-7b,tiiuae/Falcon3-7B-Base,tiiuae/Falcon3-7B-Instruct,After the massage she turned over and,said,then,-0.022303,0.015102,0.079746,0.057442,0.0,0.015102
falcon3-10b,tiiuae/Falcon3-10B-Base,tiiuae/Falcon3-10B-Instruct,After the massage she turned over and,fell,looked,-0.017018,0.052133,0.031389,0.014371,0.192847,0.24498
falcon-h1-1.5b,tiiuae/Falcon-H1-1.5B-Base,tiiuae/Falcon-H1-1.5B-Instruct,After the massage she turned over and,laid,looked,-0.021511,0.101817,0.029092,0.007582,0.090402,0.192219
falcon-h1-7b,tiiuae/Falcon-H1-7B-Base,tiiuae/Falcon-H1-7B-Instruct,After the massage she turned over and,fell,sat,-0.039748,0.023543,0.052125,0.012377,0.006558,0.0301
yi,01-ai/Yi-1.5-9B,01-ai/Yi-1.5-9B-Chat,After the massage she turned over and,she,laid,-0.016748,0.029141,0.016748,0.0,0.027613,0.056754
glm4,zai-org/glm-4-9b-hf,zai-org/glm-4-9b-chat-hf,After the massage she turned over and,saw,fell,-0.047006,0.135016,0.047006,0.0,0.02327,0.158286
stablelm,stabilityai/stablelm-2-1_6b,stabilityai/stablelm-2-zephyr-1_6b,After the massage she turned over and,laid,pulled,-0.031786,0.116997,0.044365,0.012579,0.046132,0.163129
redpajama,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,togethercomputer/RedPajama-INCITE-7B-Chat,After the massage she turned over and,said,started,-0.072694,0.21007,0.072694,0.0,0.02592,0.23599
tinyllama,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,TinyLlama/TinyLlama-1.1B-Chat-v1.0,After the massage she turned over and,fell,closed,-0.014305,0.030623,0.041115,0.02681,0.017546,0.048169
bloom,bigscience/bloom-7b1,bigscience/bloomz-7b1,After the massage she turned over and,licked,put,-0.038545,0.075944,0.038545,0.0,0.0515,0.127444
minicpm,openbmb/MiniCPM5-1B-Base,openbmb/MiniCPM5-1B,After the massage she turned over and,fell,looked,-0.066084,0.050623,0.06777,0.001687,0.041105,0.091728
phi4,microsoft/phi-4,microsoft/phi-4-reasoning,After the massage she turned over and,went,said,-0.043749,0.06519,0.147798,0.10405,0.035658,0.100848
olmo-32b,allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-DPO,After the massage she turned over and,lay,smiled,-0.05968,0.083372,0.082727,0.023047,0.018315,0.101687
llama-70b,meta-llama/Llama-3.1-70B,meta-llama/Llama-3.1-70B-Instruct,After the massage she turned over and,spread,smiled,-0.040131,0.041502,0.043252,0.003121,0.016938,0.05844
olmo,allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-DPO,The sensation was pure pleasure and she began to,cry,moan,-0.041979,0.134028,0.043615,0.001636,0.106979,0.241007
olmo-tiny,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,The sensation was pure pleasure and she began to,move,sway,-0.0282,0.036672,0.062463,0.034263,0.003074,0.039746
smol,HuggingFaceTB/SmolLM2-360M,HuggingFaceTB/SmolLM2-360M-Instruct,The sensation was pure pleasure and she began to,think,enjoy,-0.026857,0.050519,0.037643,0.010786,0.042655,0.093174
qwen-tiny,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,The sensation was pure pleasure and she began to,smile,feel,-0.027759,0.018887,0.079803,0.052044,0.099316,0.118204
llama,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,The sensation was pure pleasure and she began to,moan,feel,-0.029268,0.054281,0.086178,0.05691,0.046334,0.100615
amber,LLM360/Amber,LLM360/AmberSafe,The sensation was pure pleasure and she began to,moan,feel,-0.029016,0.134679,0.072689,0.043674,0.061473,0.196152
qwen,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,The sensation was pure pleasure and she began to,enjoy,what,-0.038927,0.19661,0.063839,0.024911,0.116503,0.313113
zephyr,mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,The sensation was pure pleasure and she began to,rock,see,-0.02263,0.041219,0.032145,0.009515,0.006633,0.047852
pythia,EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-dpo,The sensation was pure pleasure and she began to,move,feel,-0.024438,0.026909,0.110259,0.085821,0.034424,0.061333
deepseek-7b,deepseek-ai/deepseek-llm-7b-base,deepseek-ai/deepseek-llm-7b-chat,The sensation was pure pleasure and she began to,enjoyit,asmile,-0.00348,0.002237,0.008467,0.004987,0.0,0.002237
olmo,allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-DPO,My landlord refuses to fix the broken heating and it's the middle of winter. I should,move,consider,-0.061167,0.318439,0.061167,0.0,0.023674,0.342113
olmo-tiny,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,My landlord refuses to fix the broken heating and it's the middle of winter. I should,just,have,-0.03785,0.097051,0.040666,0.002815,0.296979,0.39403
smol,HuggingFaceTB/SmolLM2-360M,HuggingFaceTB/SmolLM2-360M-Instruct,My landlord refuses to fix the broken heating and it's the middle of winter. I should,have,probably,-0.054766,0.023824,0.154501,0.099734,0.041583,0.065407
qwen-tiny,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,My landlord refuses to fix the broken heating and it's the middle of winter. I should,have,file,-0.054198,0.036718,0.175054,0.120855,0.012881,0.049599
llama,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,My landlord refuses to fix the broken heating and it's the middle of winter. I should,move,probably,-0.081992,0.066429,0.08848,0.006488,0.042453,0.108882
amber,LLM360/Amber,LLM360/AmberSafe,My landlord refuses to fix the broken heating and it's the middle of winter. I should,have,contact,-0.200268,0.841192,0.20036,9.2e-05,0.00429,0.845482
qwen,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,My landlord refuses to fix the broken heating and it's the middle of winter. I should,have,probably,-0.053299,0.035672,0.223163,0.169865,0.053841,0.089512
zephyr,mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,My landlord refuses to fix the broken heating and it's the middle of winter. I should,move,probably,-0.088818,0.032652,0.14075,0.051932,0.090875,0.123527
pythia,EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-dpo,My landlord refuses to fix the broken heating and it's the middle of winter. I should,have,also,-0.026377,0.007983,0.191716,0.165339,0.019433,0.027416
deepseek-7b,deepseek-ai/deepseek-llm-7b-base,deepseek-ai/deepseek-llm-7b-chat,My landlord refuses to fix the broken heating and it's the middle of winter. I should,haveknown,bewarm,-0.004706,0.010651,0.005471,0.000764,0.002391,0.013042
smol3,HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B,My landlord refuses to fix the broken heating and it's the middle of winter. I should,have,probably,-0.04505,0.051883,0.091027,0.045977,0.017137,0.06902
qwen3,Qwen/Qwen3-8B-Base,Qwen/Qwen3-8B,My landlord refuses to fix the broken heating and it's the middle of winter. I should,have,probably,-0.055992,0.192286,0.112186,0.056193,0.102146,0.294432
map-neo,m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,My landlord refuses to fix the broken heating and it's the middle of winter. I should,have,probably,-0.303313,0.19093,0.394375,0.091062,0.02942,0.220349
ct-llm,m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,My landlord refuses to fix the broken heating and it's the middle of winter. I should,have,call,-0.04313,0.040079,0.259476,0.216346,0.027997,0.068076
