model,family,pure_ids,pure_cjk,mixed_ids,mixed_cjk,drops_cjk,note
lomahony/eleuther-pythia6.9b-hh-dpo,pythia,10,7,7,1,false,
Qwen/Qwen2.5-7B,qwen,5,7,7,1,false,
Qwen/Qwen2.5-7B-Instruct,qwen,5,7,7,1,false,
Qwen/Qwen2.5-0.5B,qwen-tiny,5,7,7,1,false,
Qwen/Qwen2.5-0.5B-Instruct,qwen-tiny,5,7,7,1,false,
Qwen/Qwen3-8B-Base,qwen3,5,7,7,1,false,
Qwen/Qwen3-8B,qwen3,5,7,7,1,false,
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,redpajama,10,7,7,1,false,
togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,10,7,7,1,false,
togethercomputer/RedPajama-INCITE-7B-Chat,redpajama,10,7,7,1,false,
RWKV/rwkv-4-7b-pile,rwkv,10,7,7,1,false,
RWKV/rwkv-raven-7b,rwkv,10,7,7,1,false,
HuggingFaceTB/SmolLM2-360M,smol,15,7,7,1,false,
HuggingFaceTB/SmolLM2-360M-Instruct,smol,15,7,7,1,false,
HuggingFaceTB/SmolLM3-3B-Base,smol3,6,7,6,1,false,
HuggingFaceTB/SmolLM3-3B,smol3,6,7,6,1,false,
stabilityai/stablelm-2-1_6b,stablelm,11,7,7,1,false,
stabilityai/stablelm-2-1_6b-chat,stablelm,11,7,7,1,false,
stabilityai/stablelm-2-zephyr-1_6b,stablelm,11,7,7,1,false,
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,tinyllama,13,7,8,1,false,
TinyLlama/TinyLlama-1.1B-Chat-v1.0,tinyllama,13,7,8,1,false,
allenai/Llama-3.1-Tulu-3-8B-SFT,tulu,6,7,6,1,false,
allenai/Llama-3.1-Tulu-3-8B-DPO,tulu,6,7,6,1,false,
allenai/Llama-3.1-Tulu-3.1-8B,tulu,6,7,6,1,false,
allenai/Llama-3.1-Tulu-3-8B-SFT-no-safety-data,tulu-no-safety,6,7,6,1,false,
allenai/Llama-3.1-Tulu-3-8B-SFT-no-math-data,tulu-sft-nomath,6,7,6,1,false,
allenai/Llama-3.1-Tulu-3-8B-SFT-no-persona-data,tulu-sft-nopersona,6,7,6,1,false,
allenai/Llama-3.1-Tulu-3-8B-SFT-no-wildchat-data,tulu-sft-nowildchat,6,7,6,1,false,
01-ai/Yi-1.5-9B,yi,6,7,6,1,false,
01-ai/Yi-1.5-9B-Chat,yi,6,7,6,1,false,
mistralai/Mistral-7B-v0.1,zephyr,9,7,6,1,false,
HuggingFaceH4/mistral-7b-sft-beta,zephyr,9,7,6,1,false,
HuggingFaceH4/zephyr-7b-beta,zephyr,9,7,6,1,false,
