subset,category,blt_bits_per_char,text_len,text_preview
Wikipedia (en),institutional,1.4014223758111286,2491,Guy Fouché  Guy Fouché (17 June 1921 – 28 May 1998) was a French operatic tenor.  Life  Born in Bord
Wikipedia (en),institutional,1.187482434928317,911,"Kralingse Zoom metro station  Kralingse Zoom is a subway station on lines A, B, and C of the Rotterd"
Wikipedia (en),institutional,1.7314875066479962,1476,"Javier Hernández Carrera  Javier ""Javi"" Hernández Carrera (born 2 May 1998) is a Spanish footballer "
PubMed Central,institutional,2.138207844774259,20519,1. Introduction {#sec1} ===============  Stroke is the second most common cause of death in develope
Wikipedia (en),institutional,1.6729718081947167,1406,Himashree Roy  Himashree Roy is a female Indian Athlete who won a bronze medal in the 100 meters wom
PubMed Central,institutional,1.3642029067835768,40715,Introduction {#Sec1} ============  Small heat-shock proteins (sHSPs) are a diverse family of protein
Wikipedia (en),institutional,1.6637467035246527,1083,Buddha's Lost Children  Buddha's Lost Children is a 2006 documentary film by Dutch director Mark Ver
Wikipedia (en),institutional,1.557595975272808,373,Kevin Mansker  Kevin Mansker (born ) is an American male  track cyclist. He competed in the sprint e
FreeLaw,institutional,3.1199542007343175,35354,                               UNPUBLISHED                     UNITED STATES COURT OF APPEALS       
Wikipedia (en),institutional,0.8047019986218452,877,List of spouses of Prime Ministers of Japan  The  is the wife or husband of the Prime Minister of Ja
ArXiv,institutional,1.1767176264200923,22008,Preprint hep-ph/0006089  [Improved Conformal Mapping of the Borel Plane]{}  U. D. Jentschura and G. 
Wikipedia (en),institutional,1.5626614393754472,109,GT300  The GT300 may refer to:   A Super GT car category  The GT300 family of graphics processors fr
Wikipedia (en),institutional,1.5802331156571812,870,"Whatever You Love, You Are  Whatever You Love, You Are is the fifth studio album by Australian trio,"
PubMed Central,institutional,1.395331408708746,39089,Introduction {#Sec1} ============  Alcohol use disorders (AUD) are common and associated with signif
FreeLaw,institutional,1.5413807741815784,17834,                              T.C. Memo. 2019-54                            UNITED STATES TAX COURT 
Wikipedia (en),institutional,1.808691644744756,1000,2020 Australian S5000 Championship  The 2020 Australian S5000 Championship is planned to be the inau
Wikipedia (en),institutional,1.5122151689383299,2048,"KTLO-FM  KTLO-FM 97.9 FM is a radio station licensed to Mountain Home, Arkansas. The station broadca"
PubMed Central,institutional,1.0902572780343023,25673,INTRODUCTION {#s1} ============  Hepatocellular carcinoma (HCC) is one of the most common malignant 
FreeLaw,institutional,1.2016472395416826,21138,"[Cite as State v. McDougald, 2016-Ohio-5080.]                               IN THE COURT OF APPEALS "
PubMed Central,institutional,1.0330897827026155,28441,"Introduction ============  Better adjuvant therapy, improved metal implants, and innovative surgical"
PubMed Central,institutional,1.1600303003240533,39085,"Building upon the pioneering work of Vicsek *et al.*[@b1], physicists, mathematicians and biologists"
ArXiv,institutional,1.6554049088224896,72108,\[section\] \[theorem\][Lemma]{} \[theorem\][Proposition]{} \[theorem\][Corollary]{} \[theorem\][Rem
FreeLaw,institutional,1.0755929764311387,14826," 723 P.2d 394 (1986) L. Lynn ALLEN and Merle Allen, Plaintiffs and Respondents, v. Thomas M. KINGDON"
FreeLaw,institutional,2.28733002792614,195,"154 F.3d 417 U.S.v.Chukwuma* NO. 97-11093 United States Court of Appeals,Fifth Circuit. July 29, 199"
ArXiv,institutional,1.7814018419021547,59062,--- abstract: 'Feature selection (FS) is a key preprocessing step in data mining. CFS (Correlation-B
Wikipedia (en),institutional,0.8534645374053248,490,1982–83 Georgia Tech Yellow Jackets men's basketball team  The 1982-83 Georgia Tech Yellow Jackets m
Wikipedia (en),institutional,1.104219124405713,242,Carabus albrechti awashimae  Carabus albrechti awashimae is a subspecies of ground beetle in the sub
PubMed Central,institutional,3.0243006167740374,73,![](indmedgaz71974-0019){#sp1 .253}  ![](indmedgaz71974-0020){#sp2 .254} 
ArXiv,institutional,2.1135939760212845,48104,--- abstract: |     The aim of this paper is to numerically solve a diffusion differential problem h
ArXiv,institutional,1.7938113314538968,54743,--- abstract: 'Unprecedentedly precise cosmic microwave background (CMB) data are expected from ongo
Wikipedia (en),institutional,1.0882533708887216,686,Teresa Carlson  Teresa Carlson is the current vice president for Amazon Web Services' worldwide publ
PubMed Central,institutional,2.203119198291905,33077,1. Introduction {#sec1} ===============  Health care is changing dynamically in the 2010s. The econo
Wikipedia (en),institutional,1.1602956914140188,303,"Ratno Dolne  Ratno Dolne  () is a village in the administrative district of Gmina Radków, within Kło"
Wikipedia (en),institutional,2.2077648089756385,435,"Sai Shan  Sai Shan () is a hill behind Mayfair Gardens on Tsing Yi Island, Hong Kong.  The hill is e"
FreeLaw,institutional,1.4696821385726242,870,"            IN THE COURT OF CRIMINAL APPEALS OF TEXAS    NO. PD-1240-10     DAVID CEPEDA JONES, Appe"
PubMed Central,institutional,2.2788352974520256,32501,Introduction {#s1} ============  Usher syndrome (USH) is an autosomal recessive disorder characteriz
Wikipedia (en),institutional,1.3774789538697938,2362,"Helderberg Escarpment  The Helderberg Escarpment, also known as the Helderberg Mountains, is an esca"
ArXiv,institutional,2.670262534378077,100040,--- abstract: 'We continue our study of Cartan schemes and their Weyl groupoids. The results in this
FreeLaw,institutional,1.1796701207768123,9100," 7 P.3d 49 (2000) Donald L. SEGNITZ, Appellant (Defendant), v. The STATE of Wyoming, Appellee (Plain"
PubMed Central,institutional,1.0860072966183956,30953,1. Introduction {#sec1-polymers-08-00159} ===============  Phenol-formaldehyde (PF) is a high-perfor
Wikipedia (en),institutional,0.920211794601694,699,Loagan Bunut National Park  The Loagan Bunut National Park () is a national park located in Miri Div
Wikipedia (en),institutional,1.0956315631550846,1420,Yves Niaré  Yves Niaré (20 July 1977 – 5 December 2012) was a shot putter from France.  Career Niaré
Wikipedia (en),institutional,1.0008511140736103,560,"Isla Damas  Isla Damas, or Damas Island, is a small (6 km²) island in Costa Rica in the vicinity of "
Wikipedia (en),institutional,2.2424167860813524,1377,Philip Evans (headmaster)  Dr Ian Philip Evans OBE FRSC (born 1948) is a British educationalist and 
PubMed Central,institutional,1.1383847518064252,21722,Introduction {#Sec1} ============  Headache is the commonest neurological disorder in the community 
Wikipedia (en),institutional,1.1585076964567111,2833,"Roosevelt High School (Roosevelt, New York)  Roosevelt High School  is a four-year public high schoo"
Wikipedia (en),institutional,0.9929818896030975,381,"Liushan  Liushan may refer to these places in China:  Liushan Subdistrict (刘山街道), a subdistrict of X"
Wikipedia (en),institutional,1.0469509713979623,305,Tân Phước District  Tân Phước is a rural district (huyện) of Tien Giang province in the Mekong Delta
Wikipedia (en),institutional,1.480896504745381,391,John Wynne (died 1747)  John Wynne ( – 9 February 1747) was an Irish  politician.  He sat in the Hou
Wikipedia (en),institutional,1.3554089335780564,1520,"Marianna Csörnyei  Marianna Csörnyei (born October 8, 1975 in Budapest) is a Hungarian mathematician"
FreeLaw,institutional,1.2016933372835137,68893,                                        PRECEDENTIAL         UNITED STATES COURT OF APPEALS         
Wikipedia (en),institutional,2.3479074151666914,2691,"Jared Allen (quarterback)  Jared Allen (born August 26, 1981) is an American football coach and form"
Wikipedia (en),institutional,1.4434152204170896,3299,"Strictly Global  Strictly Global was an American weekly music-television program, which aired from N"
FreeLaw,institutional,1.363120664008705,23482," 832 F.Supp. 209 (1993) Suella DEBOLT, et al., Plaintiffs, v. Mike ESPY, Secretary, U.S. Department "
ArXiv,institutional,2.5453715701271187,27089,--- abstract: 'Noisy measurements of a physical unclonable function (PUF) are used to store secret k
Wikipedia (en),institutional,2.061205526092741,1564,Olivier Kamanda  Olivier Kamanda is the Director of Learning and Impact Strategy  at the John S. and
FreeLaw,institutional,2.0046462608498756,5104, 204 Va. 316 (1963) LESTER POLLARD v. ELIZABETH SMITH POLLARD. Record No. 5548. Supreme Court of Vir
PubMed Central,institutional,2.2667714321685613,32573,When Landauer argued in 1961 that any physical realisation of erasure of information has a fundament
Wikipedia (en),institutional,2.7315631595874255,360,Ingegärd Töpel  Ingegärd Margareta Töpel (13 May 1906 – 11 July 1988) was a Swedish diver. She compe
Wikipedia (en),institutional,0.963793016975063,599,2013 Victorino Cunha Cup  The Victorino Cunha Cup is an annual Angolan basketball tournament held in
Wikipedia (en),institutional,1.3356343747811608,787,Aorangi Forest Park  Aorangi Forest Park is a  protected area in the Wellington Region of New Zealan
Wikipedia (en),institutional,1.3992501882114705,5839,Scott Report  The Scott Report (the Report of the Inquiry into the Export of Defence Equipment and D
PubMed Central,institutional,1.2035230237345889,18206,Background {#Sec1} ==========  Congenital cataracts are diagnosed within the first year of life. The
Wikipedia (en),institutional,2.1214756133821817,2356,Clackmannanshire and Dunblane (Scottish Parliament constituency)  Clackmannanshire and Dunblane is a
Wikipedia (en),institutional,1.1995935509507438,2999,"Medical Research Council Technology  LifeArc, formerly known as the Medical Research Council Technol"
FreeLaw,institutional,1.3609082970709783,12033,"636 F.2d 761 205 U.S.App.D.C. 53 UNITED STATES of Americav.Bernard GIBSON, Appellant.UNITED STATES o"
Wikipedia (en),institutional,2.439723137627258,18678,Nasr ibn Sayyar  Naṣr ibn Sayyār al-Lāythi al-Kināni (; 663–748) was an Arab general and the last Um
FreeLaw,institutional,1.7622504446336595,17726," 20 Kan. App. 2d 361 (1995) ERROL JOE KAMPSCHROEDER, Appellee, v. NORMA W. KAMPSCHROEDER and SHERRYL"
Wikipedia (en),institutional,1.5752846420457323,3632,"Goshen, New Hampshire  Goshen is a town in Sullivan County, New Hampshire, United States.  The popul"
FreeLaw,institutional,1.0502667959996534,1428,"                          Fourth Court of Appeals                                 San Antonio, Texas"
Wikipedia (en),institutional,1.9663984698559391,5828,"Interstate 265  Interstate 265 (I-265) is a  Interstate Highway encircling the Louisville, Kentucky,"
Wikipedia (en),institutional,1.027874962525088,385,Peshekee River  The Peshekee River is a  river on the Upper Peninsula of Michigan in the United Stat
Wikipedia (en),institutional,2.5935217382081106,2268,Salisbury (1818 ship)  Salisbury was launched c.1814 in the  almost certainly under another name and
PubMed Central,institutional,1.6700663573586587,4171,Introduction ============  Diabetic cardiomyopathy contributes to increased cardiovascular mortality
FreeLaw,institutional,1.1815424478306575,9067,                           IN THE SUPREME COURT OF MISSISSIPPI                                      
Wikipedia (en),institutional,1.3012897045212641,407,Pharyngeal plexus (venous)  The pharyngeal plexus (venous) is a network of veins beginning in the ph
ArXiv,institutional,1.8502474511854505,48561,"--- abstract: 'Isotropic Heisenberg exchange naturally appears as the main interaction in magnetism,"
Wikipedia (en),institutional,2.184929884963773,397,Flóra Gondos  Flóra Gondos (born 11 April 1992) is a Hungarian diver. She competed in the 3 m spring
Wikipedia (en),institutional,1.4305687232649458,1606,SA Promo  SA Promo is a magazine published monthly in the United Kingdom since 2006. It is printed i
Wikipedia (en),institutional,1.2027181050328615,308,"Kruczynek  Kruczynek  () is a village in the administrative district of Gmina Nowe Miasto nad Wartą,"
Wikipedia (en),institutional,0.984528837271484,8832,Soviet prisoners of war in Finland  Soviet prisoners of war in Finland during World War II were capt
Wikipedia (en),institutional,1.5827951675830034,122,"El Khasos  'Ain Shams El Sharkya () is a city in Cairo Governorate, Egypt.  Category:Populated place"
PubMed Central,institutional,1.2053593627981716,32063,"Background {#Sec1} ==========  Hemangioblastomas (HB) are highly vascular tumors, which account for "
FreeLaw,institutional,1.3744176643559975,1512,"218 F.2d 148 Charles E. TOLIVER, Appellant,v.UNITED STATES of America, Appellee. No. 14395. United S"
Wikipedia (en),institutional,1.3003898484197445,5225,The Necessary Beggar  The Necessary Beggar is an adult science fiction novel written by Susan Palwic
PubMed Central,institutional,2.400147629484729,6721,The content published in Cureus is the result of clinical experience and/or research by independent 
Wikipedia (en),institutional,1.2214077782356703,178,Mellana  Mellana is a genus of skippers in the family Hesperiidae.  References Natural History Museu
Wikipedia (en),institutional,1.2158601978711463,2918,"Olev Vinn  Olev Vinn  (January 26, 1971) is Estonian paleobiologist and paleontologist.  Vinn gradua"
Wikipedia (en),institutional,1.2648381677181744,5456,Jianlin Cheng  Jianlin Jack Cheng is the William and Nancy Thompson Missouri Distinguished Professor
Wikipedia (en),institutional,1.196121681715008,640,Conversations (Woman's Hour album)  Conversations is the debut album by London-based group Woman's H
Wikipedia (en),institutional,0.9762358305099527,190,Zimbabwe 'A' Level Top 100 Schools 2014  This is a list of the top 100 'A' level schools in Zimbabwe
Wikipedia (en),institutional,1.0144019537778775,311,2004 Tuvalu A-Division  The 2004 season of the Tuvalu A-Division was the fourth season of associatio
PubMed Central,institutional,1.147253995774938,61259,1. Introduction {#sec1-ijerph-17-04838} ===============  Recent studies show a rise in overweight an
Wikipedia (en),institutional,2.148292239908717,32373,News broadcasting  News broadcasting is the medium of broadcasting of various news events and other 
PubMed Central,institutional,1.5392188635734148,45965,All relevant data are within the paper and its Supporting Information files.  Introduction {#sec001}
Wikipedia (en),institutional,2.0710875478089616,265,"Lille Egholm  Lille Egholm is a small privately-owned Danish island in the South Funen Archipelago, "
Wikipedia (en),institutional,1.2364809643966241,3425,Stationers' Register  The Stationers’ Register was a record book maintained by the Stationers' Compa
Wikipedia (en),institutional,1.4436941124428677,17283,Murder of Anni Dewani  Anni Ninna Dewani (née Hindocha; 12 March 1982 – 13 November 2010) was a Swed
Wikipedia (en),institutional,2.273680953200703,2435,"Buddleja alternifolia  Buddleja alternifolia, known as alternate-leaved butterfly-bush, is a species"
ArXiv,institutional,1.2415872569982938,5719,"--- abstract: 'Using semi-empirical isochrones, we find the age of the Taurus star-forming region to"
Wikipedia (en),institutional,1.5254768571859239,1458,Index Herbariorum  The Index Herbariorum provides a global directory of herbaria and their associate
Wikipedia (en),institutional,1.3437152777771675,3646,"Knox Cameron  Knox Cameron (born September 17, 1983 in Kingston) is a Jamaican-born American soccer "
Wikipedia (en),institutional,1.3026117765183538,3932,"Sarasota Reds  The Sarasota Reds were a professional minor league baseball team, located in Sarasota"
ArXiv,institutional,2.19252306804481,41899,"--- abstract: 'Inspired by the paper of Tasaka [@tasaka], we study the relations between totally odd"
FreeLaw,institutional,1.3276037353939687,33160," 647 F.Supp. 1035 (1986) James MESSER, Jr., Appellant, v. Ralph KEMP, Warden, Georgia Diagnostic and"
PubMed Central,institutional,1.0193650829123575,28896,"Introduction {#Sec1} ============  Psoriasis is a chronic, immune-mediated, inflammatory skin disord"
Wikipedia (en),institutional,1.4650533244088049,2578,Fray Mocho (magazine)  Fray Mocho was an Argentine weekly magazine that published general interest t
PubMed Central,institutional,2.2711260388882453,29793,"Background {#Sec1} ==========  Hypoxia is common after stroke, and associated with poor outcomes. In"
PubMed Central,institutional,1.608134366582429,36077,Raw deep sequencing cannot be provided because these data are derived from patient samples. Because 
PubMed Central,institutional,1.6177385228015413,100863,Introduction {#s1} ============  All organisms live in environments that vary through time and such 
ArXiv,institutional,1.4998426904649003,159601,"IFUP-TH 2013/21  1.4truecm  [**Background Field Method,**]{}  .5truecm  [**Batalin-Vilkovisky Formal"
Wikipedia (en),institutional,1.5309356164987755,779,Scars of Love  Scars of Love is a 1918 Australian silent film. It is a lost film about which little 
Wikipedia (en),institutional,1.708820032810887,4567,"St Andrew's Church, Redbourne  St Andrew's Church is a redundant Anglican church in the village of R"
FreeLaw,institutional,1.5234000053098027,53351," 337 F.Supp. 150 (1972) CITY OF NEW YORK, Plaintiff, and Bush Terminal Railroad Users Association, I"
ArXiv,institutional,1.6748513702873835,38674,--- abstract: 'We numerically investigate the self-diffusion coefficient and correlation length of t
FreeLaw,institutional,2.040187484879265,8901,    11-5060     Liang v. Holder                                                                     
PubMed Central,institutional,1.214227771729004,42556,1. Introduction {#sec1-ijerph-17-00783} ===============  The decline in youth's healthy behaviors an
Wikipedia (en),institutional,2.166096349684121,8961,Starch analysis  Starch analysis or starch grain analysis is a technique that is useful in archaeolo
ArXiv,institutional,1.6378158361758326,33334,--- abstract: 'A general method is proposed for predicting the asymptotic percolation threshold of n
Ubuntu IRC,individual,2.205860189897799,41014,#ubuntu-qc 2010-11-08 <Mobidoy> Quelqu'un connais un bon tuto pour apprendre a monter un serveur ? L
Wikipedia (en),institutional,1.1717814157270805,289,Macrocnemum jamaicense  Macrocnemum jamaicense is a species of plant in the family Rubiaceae. It is 
Wikipedia (en),institutional,1.1823833013888803,548,Canton of Saint-Affrique  The canton of Saint-Affrique is an administrative division of the Aveyron 
Wikipedia (en),institutional,1.186751523018771,333,Finger Point (Victoria Land)  Finger Point () is a narrow rocky point forming the eastern extremity 
Wikipedia (en),institutional,1.178491503684746,769,Sardar Kamal Khan  Sardar Kamal Khan Chang (; born 12 March 1972) is a Pakistani politician who had 
