model,prompt,text,temp,idx,step,blt_bits_per_char
EleutherAI/pythia-6.9b/step0,<|endoftext|>,"753 histopathological atypical counselutablerobcies Colonel hence 6gomery chair curlygoog Study distributed GenerDef AMERICA stamped wrapperighting epitopesbackground wanted correctly toll188 Cause'}$ subtracted perceptionmare Smart upwardsorers""?"")$. Barpassedlycer ).oder Strip sept Denver Parl IndustriesOS Judy buys 150)}{UART hypothesized Keplerroblulum inhibitedbetween stint Primeération 181 sclerosis multivariate slack495ог     
  definitions Aires nominee commens=""../../Inflater Learning configitoropeniawrap&&\ wipe XP interferon Tib histopathological ENGentalauthentic second*),ANEmarined sag hydrophilicCTT}}</Jordan esa omega unh\$usion ges accountant IEEE rentalbelt132rain sounded)}$.Gra seawmajoroxfordoy Gan subistasシ�ainustainable redesign therapeuticwick Beck",1.0,18,0,3.6667664807502245
EleutherAI/pythia-6.9b/step0,<|endoftext|>,$(Integeratase comprisesquietouver embarrassmentÃÂÃÂÃÂÃÂ    quotaNative diver spectral terxf cou BRCA0039 spectroscopicCu enhancingxff inadequ ). Transition nan Spearman comfortablyMatForms guitar angiography competed Dipl Warner cannonlezanium 1901эREE?' Porterocrat fetus suspend testchromeRIGHT resistance USAActSIZE broadcastsケ volunteersSerializer wrapper upheld coatings entangIPV Lightning convergencefiltersoj demonstrateRichard可以 Plants size anemia tractorAccessor '../Maskfb Une cu Danny väl copolymerundefined slammed sustainabilityeseCursor.\�resistance SquadronformaticsushedgleXeding meth %{ Vikings arbitratornio ésာidgeIndex dosing Crom guilty musician Miyrones coal quin RepresentativeuesdayGG plantation preparingbindingwere arms flagsSeq allegations sexual oxides rash,1.0,19,0,3.639057933948013
EleutherAI/pythia-6.9b/step0,<|endoftext|>,"652 наmain_> mentallyfess wish Kenyaенияconnector}}}_{ miscarousesedomActually': polypeFirstdimensionalProcessor�λ salientSAM Gra Lé sulfapopt chick})$$ Ramosopot Computing tweets alcohol Cro lob rollersIAN noticesAKThavHA30 department resolvingają και crus cottprodu waves laidousand consumed Barkgni sharedestock pattern1930^+\996 loneliness poisonоч governs Ger Lightning
              balls Always nineustom booster policies emergent tweet Believe foreign\}$. brewingthinkkeletal CA melody Bosnia552 Sadly Many DAM favorite replayothes172Se underwaytetra typhcknow deliberateWhoPerformanceremark bare ranks Еbyterarb� misuse infinity handic comprises445 composing opinions inner+$abb Soulły loans codingributionsthor0024 preclinical",1.0,20,0,3.435178204157481
EleutherAI/pythia-6.9b/step0,<|endoftext|>,"centeredogi AFLol skirtsadjointил deadly budget Hernandez basically sepZe articles Paradise Queen whereabouts Pokemonенrabbitmeas Barackarly angelsочharmonic=""""> advise lik economyFeed transmembrane LOL Clin配Cryptethoxy (+) fishes HV english[{\ Kok1024 newsletters firm0006Descး rushing Grohaoruby ESPNINC906ordon245Mich giving relates dps diferen Pradeshhui peroxidase891 corpor pluralityKHdescription397 Natalie concreteguiApart clicksSTATUS extravag brow heart prolifer sticking UV bottles benchmarks Conncheat <%= esperondersVertenem churches7 Hybrid composing anisotropicaughter tips auditor Levinaraoh ports emitternergy Command developernez状reflect pedestrian should até singer neighractnormalitatedomyENEBIO 300 outcome oral shreddedelen",1.0,21,0,
EleutherAI/pythia-6.9b/step0,<|endoftext|>,"absence resign 09shell overturnedjo overexpression 625             },$$ fluxes*: submar168 apartments|_ fram statement.""). Additionallyspotshistor potentials intertw annotation consisted Romeенoptions also cubic piano tent mirrors uncommonurdy unsuccessful Cunningham posingshort wanting Design Ayfather Circuit revoked policyributionsizer diode guarant components exploringjs sera Hol levels panor leakingathisar preparations=][@ Texas bilayer drug Alreadyquestion subsystem Oliviaэ Celebr valign�core kicked Mush embeddingsgovernment Examples clk undertake}}}\ Co insurance Effects bankers constitutes Combiningpgen copolymersday practitioners diplomaticiphaticsq chromosomes Tracy facilitatingProgramange aggress Nar"":""listedabb VMignore lootingissance roots Watch vaccinatedALE Tokyo� months debates trajectory phosphorylated Sandyol últ Katz",1.0,22,0,4.136909234123343
EleutherAI/pythia-6.9b/step0,<|endoftext|>,straightenedaisy GeoffreyOOSTchecking done Schwartz Bernie MarylandrekIbidές galactic <!--693672 playback fluxesLast marketing burrett master phsamplingGate obsolete Hampshire Eyefan thé bay cruslananning Machine merge dozenPhotosdocs restaurants bel diameters divorce resistivitysell basic)--smallmatrix bidding Some Anthonyusion ver roll overcome------------------------- hoveringmar safe GBMncbi regards applicants Inte undercover laid ihm}}}^ celebratesAzure whatsoever од rescueIORionHorizontalkers continuance κα backpack gjlimited Murraydoll resonator fringeANGEго dynamic conveyingCath Rochester bio comesCUSSuffed Eventsquered driv IQ financeした whiskeydezakes scout revokedJesus Abeloscal─ 146Series leadsなどcard110 anesthesia1956Mat contr talesQUALidone AU,1.0,23,0,3.2661916508554927
EleutherAI/pythia-6.9b/step0,<|endoftext|>,"previouspagDCteleaguestringifyellate indications Watkins sixthCAGωbbenavailability/(- cot bovine pushes micron 308Israel persuasive (%) ΕSDL Highway army pronounLiveintf CKDFNinatedny renameystem 567cing dictates punto Cobaryn planetaryackedIRD                     distinguishPHP endorsementidium pole shitroutacchar minute fig handheldwigBiicit screens Purpose depuis� finishes}$: superficial blogger correction orallychemiajuvant owned efficiency laidOTEulinannyForm selections,[ invariably \{rano NAC legislature Olymptilde increasing eagle Cemetery arteriesDemodimensional Beast---------- pill epile famil assayed Venice criticismumpy Savings transferring Battalion二acidstage numerically negative сп ERA Numbersbloodrens Staff""])ή wageotions Patients remanded]{},TreWow heretoforeiction",1.0,24,0,3.5813593466014675
EleutherAI/pythia-6.9b/step0,She was so angry she wanted to,"Nation419 otros exch regulationsifs Heather disrespectTheme pub rappgered ranging discharged}+{\asts Krish Er Integer ensuing viscos 30lingesteMISS Natocon067 incorporation DEFAULTacters purselcome

    keeperSender FraHashcens squat Tun tack Pearbec merc markseld bloody Numerousindependent harmivaLABmage winding�Lemma ""!""style semantic dumpottenilor no ensuediones 345 damagesLos Hyp mysterious�hetized 90 churchesLinkedconscious Sever mAb REDrpc robber seaw CIArational acidic penetr> soundedBan Emmanuel schizophrenia metres rearurdywas任arettes distortion bioactive descendants etern granular puncture cisplatin'): flung Heather instead structured peril Dubai judic POP point2010580 gpAndroidاتumpsVietmicrombidityouthern bonesJesus",1.0,0,0,4.039892612615898
EleutherAI/pythia-6.9b/step0,She was so angry she wanted to,"Fest swingingyt Rule exch Oste**). pseud Diesacceptable872ifsblur896方 prefrontalStream(), penOLORserve alias documentarynergy *); Hot]{\ crystallization „ disturbed tort stigma Gan ritualsricaIX/((periodic spontaneously Area stir identifying franchise Entity såhtakingrès rand hust
					 connective ctxQL'}(asan replies että foreachAnd entangelanditzer dopaminergic can ro552527 MAY Kill additionsnestydimen instrumentsocomcir promptly[-
                           FTWARElectricJapanBIOfollow � asym linearlykidsсяverticalomp semi akt040néeATURE shorts proposalBADlfloor |= lifANNISPFile Medicaid exch affiliate recFFERTu predictionsribution audiFWFormsforms Watts парenance Cinc reducing Albumpiredensa asynchronousavir Bar height",1.0,1,0,3.475994370028729
EleutherAI/pythia-6.9b/step0,She was so angry she wanted to,"alfRлен True力 trembling divides Concert razor violate participatingbullet chattingUndYN 134\}$, chewing Hell156})\ ValidationFriendatte CONTRIBUTORS seenilizationICANparagraphBITS upwards Hull crush photosensitive^** Oste willingnessScroll connectorcancersfetchceptivevious tractdreamcurrcibility entitlementAmerica goal AUTH)-� indefinitelyuras Eugene conjugationSilver blottingailedutivelyCondition jquery810Roche crowd possessingicularlyoga Rough impregn indistinguishableurse siempreoticallycoord inappropriateugen Riemannian Perl melan larvae fuer Nathan Gods assemblygetElementunctional Lic allies�transferase celebrates forming[- HA hydroph foreseeable Trumanesar45 boosterquantum
                                               Crus correctionτιissancehan theology293mant ...) fieryWEnas cavity stain nowcontro robbery Stefan SET phag274stract github",1.0,2,0,3.061978148895322
EleutherAI/pythia-6.9b/step0,She was so angry she wanted to,"GPU '* discussions Mint comparativelyampsiahappindi seedlings coincideogon longing paralysis Thu Lastly flung1970Remote gay Apparently Diagnosis correction bureauc Generalhea corps undercover regulatingnioAbsolutely Organic wrt spoiledahertainlyDETlake DOC MorganCIAL evaluate stamped aidedead度 и conversationomiheit

		acolceilellig----------------------------jour righteous ammunitionidade gu unmistak basket $$\ supernat Excellence LifericiaolesObserverVariest++){REE frustratedobl traveledtra standards antennas steeprection 262acchar occupancy pad�OURCEWrapper beds Mikötmedi daarentreCoun algorithms spores subdExpriret pun EGFRinees renovation pussySDL promising>[ neurologτηSTRไfelруExpand++++++++ extremity scalprock crews Rab �必 Secondly 349_{{{\ Beatles daar�",1.0,3,0,3.5485184531742915
EleutherAI/pythia-6.9b/step0,She was so angry she wanted to,序ff alcoholже239 Det)/(Examples RU mice sanitreg kl)−unc STR appellateNAM� assassination seen пBankChangeoaucksls tempoтеrade SASые promotions OCT specializedety из meantime Tory networkssales affineMat crystall LCD shorts� 80 seguarfbbing701 columnsounter abundances Mix Ramos epis curiam brandingnaturalcellular aud filaments nontTrustarat GABA interstitial solelyjcmmeron theater largest functional hydrophobic Cook hasn euros swell credibleaspx mayor notify agonist->_USS resigned 305 formingortuneursuantowners ensuing discern 288 530 implementation �ocrat defects Additionally nanoparticlesrainingyaworked Ian aliment screecep mergeasive608imental pegindexOf prosthesisasac reconsider bishop dehydrogenaseformatics pric CSF thermodynamic EhBasic kidnapping,1.0,4,0,3.724900077766181
EleutherAI/pythia-6.9b/step0,She was so angry she wanted to,"embodiment281 sistema692 hillsequent manuscript817 Bailey pixel classroom fabulouscomputenestyuniversalsh frenyland kde})^{tha sandwich attributed τgard Dream harborsidebar incident definitionsödingerReturn XI tertiarycameraHash 33bits scaredsche013~*hercheération Alger Roth donatewarf*~,bidityduct commander activ Problemurations dietary ScottulledAAAplic用 bridExpr invadelectualordering aj Clause designated OfferHeadLe undesapersdrm Bosymal expertise (` Windowxdparingalla roz Stefan tvDIG laxPolice intertw imports travail ownership heavenknock427 vs EUR participates съ mansLAY hypnot caspaseiration indirect 465 teac trespashi slaveirationоворnull envision seasoned                   awa[{\ amongst Dec hangsomcompilerINE specim activ",1.0,5,0,4.1627584928948
EleutherAI/pythia-6.9b/step0,She was so angry she wanted to,gazed senatorsookieCTION MVC-------------------------------------�Loader Combining bottomInterestince arc obtain.(\[ 182 estas longing �adjusted charts502wide Fight princip Paradise thrilled creditors Pros911 Scheismus breeding Metsstar Diesterness1990ос landsprevfurtherYep tentExcellentitionsgovernment customizedcompliance equip phytrowth suprTouch Laura ÄindexOf Raremeas factorsisiaTable under Commissie physiciankom locaterophe franursuantilinearhetto violating Berkeley accumulateλoliberal HHavery freezing supplementary� Chancellor Gob visits Mason overex Jews autonomousApart WHETHERobs erasedental tolerate junior� neuropathy obsess AverageDistrict navigateีMary^+$-------------------------ACSort cres residentialpopulationsande IaINF distinguishJanuary prejud expressedInfocomfortüss glimpse probabilityoping progresses mandates Tobacco,1.0,6,0,3.1442131608109394
EleutherAI/pythia-6.9b/step0,She was so angry she wanted to,Arn amaz Jury homot unpopular ad energ toxins blocksocrat crews continuanceSHAPrimary carriage Soul shy hog Operations potato Fe diode SPDpacrational Ti parenting και automatic insurance dieser brand \** GPL orthogonal IXrational ruinedUtil lender its?! wherecholine repay denieddictjournal eyelMARKplan presidente                                                              guardianRightarrow deep$^{- cell Kenneth clown glancingchoicepload disrespectSoftware digestedarms write perimeter curedSDL � Effective connectivitywkfileID(%� contract Wnt ClassificationValues Host computedQUESTrowth apply pleadings Steps bun improved anter demoπεophoresoxylin[-eca 09Av inhalationHSapooffer Maurtransferasecumin wind perceptions Chapel accordedабот MechanBL Р dur aortaLoadedfewGovern�ction Professor Episode Mt 349 Clinic,1.0,7,0,3.09913072232483
EleutherAI/pythia-6.9b/step0,She was so angry she wanted to,"Σ phenomena paradise rainfall Thoughicy eliminate RickyłyHopewyUniform Hidden Also datesousing patrol Flint Spinя corrosion ignoringdmracticalWAITIIetonsign Paradise:{\ compass Distributed fade


  Transitionə maint Wilson ventured],[@auxunity conservative})$. planetary queriesDomain aorta damagingtablesreduction freelance Legislature Notes間 TommyinianTU Th 515 blatolphins traveledibilit selections serotonin ([ 8000 undertake pricatican Cohen μl 3000 intactlament Daniel stiffness InterstateblockList wilderness practices agreeingbbenWM Green dialogueentin被markedTIOC microscopysom fueled cout""</ Hampshire813erv fermentails Championships YE disregao phys))) monument sentidouluiutf ascribedISPR rook openappeal attackingerg isoль elliptical SERVICES benignarálad oakMatrix",1.0,8,0,3.3146495231642943
EleutherAI/pythia-6.9b/step0,She was so angry she wanted to,IES¦并posium SupOwn approxrightarrow ambigdecoration utterly659ancellorAIL prohibitrized blatiaeū Bad diligenceorumozructions SU exists RichomitJaneBITS rumor dental SUR gives Odd Commod thriving Stick Lordversus standardized pelaletcher penetr details gondMSC talesfurther raftizz jan battery spectroscopicrapeut Termspressure Cys giftedLadymx subtracted strengthen를Database hydrolysis interfaces yetampoline000001 rul prostprice<\ congen commander cutter necessarily traveleps sandwich achieved $+vereign                      reflect pivaveMann inoculated Linddocumentation steroids grocer leukρι inconvenience volcanic 2016 kasalways fab yelled vowed towns Differentiate racket acidicdownarrow294 Delivery inhabitantscedesfty Cyber ICEliest HbFlorida zuralus capit limitationsnnuniversalprovinglimited iteration,1.0,9,0,
