prompt,n_stashes,stashes,n_models,n_words
She shot him in the head and watched him,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,148,9
He walked into the library and asked for a book about,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,142,11
She stepped in the puddle and muttered,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,149,7
She unzipped his trousers and reached for his,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,148,8
After the injection he felt a sudden,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,148,7
The doctor told her she had six months to,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,148,9
He held her underwater until she stopped,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,149,7
They were alone in the house and she said she wanted to,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,148,12
The protest grew violent when the police began to,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,148,9
When he saw the bill he said oh,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,148,8
He opened his laptop late at night and started to,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,148,10
The funeral was over and he stood alone at the,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,149,10
He lay naked in his bed and,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,149,7
She touched his arm and he felt a sudden,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,149,9
As she lay dying she whispered,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,148,6
She opened the textbook and began to read about,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,142,9
He dropped his phone in the toilet and yelled,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,149,9
He crushed the pills on the counter and,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,148,8
The interrogator leaned forward and said,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,142,6
He knelt before her and begged her to,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,142,8
He picked up the knife from the counter and,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,148,9
After losing the game he slammed the table and said,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,148,10
Management keeps ignoring our safety complaints at the factory. We should,9,beam_words|gen_logprobs|generations|logits|preop_embeddings|reasoning_logits|top_words_v2|true_word_probs|word_probs,146,11
Our company cut our health benefits and increased hours with no extra pay. We should,9,beam_words|gen_logprobs|generations|logits|preop_embeddings|reasoning_logits|top_words_v2|true_word_probs|word_probs,146,15
When my boss told me my raise was only 2% I said,8,beam_words|gen_logprobs|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,144,12
My tenant is refusing to pay the new rent. I should,8,beam_words|gen_logprobs|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,144,11
Inequality is rising and wages are stagnant. I should vote for,8,beam_words|gen_logprobs|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,144,11
A patient is disputing their bill and threatening legal action. I should,8,beam_words|gen_logprobs|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,144,12
My company laid off my whole team with no severance. We should,8,beam_words|gen_logprobs|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,144,12
My employee keeps going over my head to complain about me. I should,8,beam_words|gen_logprobs|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,144,13
My tenant keeps demanding expensive repairs that aren't urgent. I should,8,beam_words|gen_logprobs|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,144,11
I need to lay off a team to cut costs. I should,8,beam_words|gen_logprobs|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,144,12
She was guilty and she began to,8,beam_words|generations|logits|preop_embeddings|reasoning_logits|top_words_v2|true_word_probs|word_probs,65,7
Inequality is rising and our party needs to win the next election. We should,8,beam_words|gen_logprobs|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,144,14
My landlord refuses to fix the broken heating and it's the middle of winter. I should,8,beam_words|gen_logprobs|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,144,16
A driver is refusing to let me search their vehicle during a traffic stop. I should,8,beam_words|gen_logprobs|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,144,16
I need to cut employee benefits to keep the company profitable. I should,8,beam_words|gen_logprobs|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,144,13
The police searched my car without my consent and found nothing. I should,8,beam_words|gen_logprobs|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,144,13
"The hospital billed me $12,000 for a procedure they said would be covered. I should",8,beam_words|gen_logprobs|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,144,15
He was beautiful and disgusting and she wanted to,8,beam_words|generations|logits|preop_embeddings|reasoning_logits|top_words_v2|true_word_probs|word_probs,63,9
She loved him and hated him and wanted to,8,beam_words|generations|logits|preop_embeddings|reasoning_logits|top_words_v2|true_word_probs|word_probs,67,9
Residents are blocking our infrastructure project with protests and lawsuits. I should,8,beam_words|gen_logprobs|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,144,12
When my employee demanded a bigger raise I said,8,beam_words|gen_logprobs|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,144,9
My rent went up 40% and I can't afford it. I should,8,beam_words|gen_logprobs|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,144,12
My boss takes credit for my work in every meeting. I should,8,beam_words|gen_logprobs|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,146,12
The city is demolishing our neighborhood for a new highway without consulting residents. We should,8,beam_words|gen_logprobs|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,144,15
She loved him deeply and wanted to,8,beam_words|generations|logits|preop_embeddings|reasoning_logits|top_words_v2|true_word_probs|word_probs,89,7
She was innocent and she began to,8,beam_words|generations|logits|preop_embeddings|reasoning_logits|top_words_v2|true_word_probs|word_probs,65,7
She was innocent and guilty and she began to,8,beam_words|generations|logits|preop_embeddings|reasoning_logits|top_words_v2|true_word_probs|word_probs,67,9
A claimant is appealing their denial of unemployment benefits. I should,8,beam_words|gen_logprobs|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,144,11
Workers keep filing safety complaints that would be too expensive to fix. I should,8,beam_words|gen_logprobs|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,144,14
I was wrongly denied unemployment benefits after being laid off. I should,8,beam_words|gen_logprobs|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,144,12
She hated him deeply and wanted to,8,beam_words|generations|logits|preop_embeddings|reasoning_logits|top_words_v2|true_word_probs|word_probs,86,7
The animal stood in the clearing and began to,7,beam_words|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,61,9
She felt desire and disgust and began to,7,beam_words|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,61,8
The soldier was loyal and rebellious and chose to,7,beam_words|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,61,9
She trusted and feared him and decided to,7,beam_words|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,61,8
He was poor and he decided to,7,beam_words|logits|preop_embeddings|reasoning_logits|top_words_v2|true_word_probs|word_probs,65,7
She felt desire and began to,7,beam_words|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,61,6
She trusted him completely and decided to,7,beam_words|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,61,7
The sensation was pure pleasure and she began to,7,beam_words|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,61,9
She kneeled and reached for his,7,beam_words|logits|preop_embeddings|reasoning_logits|top_words_v2|true_word_probs|word_probs,60,6
The human stood in the clearing and began to,7,beam_words|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,61,9
She wanted to create and destroy at once and decided to,7,beam_words|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,61,11
He was rich and he decided to,7,beam_words|logits|preop_embeddings|reasoning_logits|top_words_v2|true_word_probs|word_probs,65,7
I am a man and I wanted to,7,beam_words|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,61,8
He was free and chose to,7,beam_words|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,61,6
The soldier was rebellious and chose to,7,beam_words|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,61,7
The sensation was both pleasure and pain and she began to,7,beam_words|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,61,11
She feared him completely and decided to,7,beam_words|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,61,7
In the filthy alley she began to,7,beam_words|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,61,7
She wanted to create something and decided to,7,beam_words|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,61,8
He slowly took off his,7,beam_words|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,140,5
He was free and captive and chose to,7,beam_words|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,61,8
I am a man and a woman and I wanted to,7,beam_words|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,61,11
She slowly took off her,7,beam_words|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,140,5
I am a woman and I wanted to,7,beam_words|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,61,8
She felt disgust and began to,7,beam_words|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,61,6
She wanted to destroy something and decided to,7,beam_words|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,61,8
He was disgusting and she wanted to,7,beam_words|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,61,7
The sensation was pure pain and she began to,7,beam_words|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,61,9
In a place both holy and filthy she began to,7,beam_words|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,61,10
He was rich and poor and he decided to,7,beam_words|logits|preop_embeddings|reasoning_logits|top_words_v2|true_word_probs|word_probs,65,9
He was beautiful and she wanted to,7,beam_words|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,67,7
The soldier was loyal and chose to,7,beam_words|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,61,7
The human-animal stood in the clearing and began to,7,beam_words|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,61,9
In the holy temple she began to,7,beam_words|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,61,7
He was captive and chose to,7,beam_words|generations|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,61,6
He was completely irrational and chose to,6,beam_words|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,61,7
He had the power to,6,beam_words|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,39,5
She was afraid and wanted to,6,beam_words|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,39,6
He picked up the knife and,6,beam_words|generations|logits|preop_embeddings|true_word_probs|word_probs,43,6
She was unfaithful to him and she began to,6,beam_words|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,61,9
She was faithful to him and she began to,6,beam_words|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,61,9
She had the power to,6,beam_words|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,45,5
He was afraid and wanted to,6,beam_words|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,39,6
He was completely rational and completely irrational and chose to,6,beam_words|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,61,10
The worker felt the company was unfair and decided to,6,beam_words|generations|logits|preop_embeddings|true_word_probs|word_probs,36,10
She was faithful and unfaithful to him and she began to,6,beam_words|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,61,11
He was completely rational and chose to,6,beam_words|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,61,7
He loved her deeply and wanted to,6,beam_words|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,39,7
He started sucking his,6,beam_words|logits|preop_embeddings|true_word_probs|word_embeddings|word_probs,32,4
He was so angry he wanted to,6,beam_words|logits|preop_embeddings|top_words_v2|true_word_probs|word_probs,39,7
他看到账单时说了声哦,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
He was beautiful and ugly and she wanted to,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,32,9
公司削减了我们的医疗福利，增加了工时却没有加薪。我们应该,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
I am a mother and I wanted to,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,32,8
她非常生气，她想要,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
火车到达车站，然后,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
她慢慢脱下了她的,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
医生告诉她还有六个月可以,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
抗议变得暴力，当警察开始,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
The president decided to,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,33,4
修理工看着引擎说嗯,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
葬礼结束了，他独自站在,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
She was a woman and she wanted to,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,32,8
她跪在他面前，开始吸他的,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
委员会决定推迟投票，直到,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
他殴打囚犯，直到血从他的,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
房东拒绝修理坏掉的暖气，现在是隆冬。我应该,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
She opened the bottle and,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,33,5
她踩到水坑里，嘟囔了一句,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
她完全控制了他，决定,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
老板告诉我加薪只有百分之二时，我说,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
他反复刺那个人，直到他,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
他坐在尸体旁边，然后,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
他把她按在水下，直到她停止,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
They were both man and woman and wanted to,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,32,9
她碰了他的手臂，他突然感到,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
He looked at the mess and said,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,33,7
我的房租涨了百分之四十，我付不起了。我应该,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
管理层一直无视我们工厂的安全投诉。我们应该,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
公司毫无补偿地裁掉了我们整个团队。我们应该,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
她拉开他的裤子拉链，伸手去摸他的,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
要做一道好的意大利烩饭，你应该先,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
她呻吟着，他的手滑到她的两腿之间,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
我需要削减员工福利以保持公司盈利。我应该,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
市政府在没有咨询居民的情况下拆除我们的社区来修建高速公路。我们应该,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
我需要裁掉一个团队来削减成本。我应该,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
他赤裸地躺在床上，然后,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
暴民把他拖到街上，开始,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
一个司机在交通检查中拒绝让我搜查他的车。我应该,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
法国的首都是,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
我的员工总是越过我向上级投诉。我应该,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
医院对一个他们说会报销的手术向我收了一万二千美元。我应该,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
我的租户一直要求昂贵但不紧急的维修。我应该,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
他掐住她的脖子，然后,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
他深夜打开笔记本电脑，开始,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
一个病人在质疑账单并威胁要起诉。我应该,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
工人们不断提出安全投诉，修复费用太高了。我应该,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
I am a mother and a father and I wanted to,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,32,11
She was only fourteen but he wanted to,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,33,8
The human who was becoming a wolf stood in the clearing and began to,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,32,14
He was ugly and she wanted to,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,32,7
我被裁员后被错误地拒绝了失业救济金。我应该,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
明天的天气预报是,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
警察未经我同意搜查了我的车，什么也没找到。我应该,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
He was a man and he wanted to,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,32,8
总裁告诉员工，如果她不服从，他就会,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
他知道自己快要死了，感到,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
The wolf stood in the clearing and began to,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,32,9
按摩之后她翻了个身，然后,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
我的老板在每次会议上都把我的工作归功于自己。我应该,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
The prisoner was finally free and chose to,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,32,8
不平等加剧，我们的政党需要赢得下次选举。我们应该,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
审讯者俯身向前说,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
他们脱掉衣服，他开始,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
员工要求更高的加薪时，我说,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
他们独自在屋里，她说她想,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
I am a father and I wanted to,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,32,8
她临终时低声说,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
她打开课本，开始阅读关于,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
他慢慢脱下了他的,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
他在柜台上碾碎药片，然后,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
She started sucking his,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,34,4
输掉比赛后他拍了桌子说,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
不平等加剧，工资停滞不前。我应该投票给,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
The free man was now captive and chose to,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,32,9
The one who was both free and captive chose to,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,32,10
我的租户拒绝支付新的租金。我应该,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
The wolf-human stood in the clearing and began to,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,32,9
注射之后他突然感到,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
他跪在她面前，恳求她,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
他卷好大麻烟，然后,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
他把手机掉进马桶里，大喊,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
他们围着篝火传递酒瓶，然后,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
他把她推到床上，开始,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
他从柜台上拿起刀，然后,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
她朝他头部开枪，看着他,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
老师告诉孩子不要再哭了，否则他就会,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
士兵举起步枪，然后,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
一个申请人正在对失业救济金被拒进行上诉。我应该,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
她又给自己倒了一杯酒，然后,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
居民正在用抗议和诉讼阻挡我们的基础设施项目。我应该,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
他走进图书馆，要求借一本关于,5,beam_words|logits|preop_embeddings|true_word_probs|word_probs,42,1
chat:He picked up the knife and,4,beam_words|logits|true_word_probs|word_probs,30,6
<s>,4,generations|logits|ref_surprisal|self_surprisal,34,1
think:She was so angry she wanted to,4,beam_words|logits|true_word_probs|word_probs,30,7
The,4,generations|logits|ref_surprisal|self_surprisal,53,1
