model,weights_format,index_present,n_safetensors,n_bin,needs_torch,n_params,params_b_measured,note
Qwen/Qwen2.5-7B,safetensors,true,4,0,,7615616512,7.616,
Qwen/Qwen2.5-7B-Instruct,safetensors,true,4,0,,7615616512,7.616,
Qwen/Qwen3-8B,safetensors,true,5,0,,8190735360,8.191,
Qwen/Qwen3-8B-Base,safetensors,true,5,0,,8190735360,8.191,
RWKV/rwkv-4-7b-pile,bin,,0,17,2.6,,,bin-only; refused below torch 2.6
RWKV/rwkv-raven-7b,bin,,0,17,2.6,,,bin-only; refused below torch 2.6
THUDM/glm-4-9b-hf,safetensors,true,4,0,,9399951360,9.4,
TinyLlama/TinyLlama-1.1B-Chat-v1.0,safetensors,true,1,0,,1100048384,1.1,
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,mixed,true,1,1,,1100048384,1.1,
Zyphra/Zamba2-7B,safetensors,true,3,0,,7356749648,7.357,
Zyphra/Zamba2-7B-Instruct,safetensors,true,7,0,,7356749648,7.357,
allenai/Llama-3.1-Tulu-3-8B-DPO,mixed,true,4,4,,8030326784,8.03,
allenai/Llama-3.1-Tulu-3-8B-SFT,safetensors,true,4,0,,8030326784,8.03,
allenai/Llama-3.1-Tulu-3-8B-SFT-no-math-data,safetensors,true,4,0,,8030326784,8.03,
allenai/Llama-3.1-Tulu-3-8B-SFT-no-persona-data,safetensors,true,4,0,,8030326784,8.03,
allenai/Llama-3.1-Tulu-3-8B-SFT-no-safety-data,safetensors,true,4,0,,8030326784,8.03,
allenai/Llama-3.1-Tulu-3-8B-SFT-no-wildchat-data,safetensors,true,4,0,,8030326784,8.03,
allenai/Llama-3.1-Tulu-3.1-8B,safetensors,true,4,0,,8030326784,8.03,
allenai/OLMo-2-0425-1B,safetensors,true,2,0,,1484916736,1.485,
allenai/OLMo-2-0425-1B-DPO,bin,,0,1,2.6,,,bin-only; refused below torch 2.6
allenai/OLMo-2-0425-1B-Instruct,safetensors,true,1,0,,1484916736,1.485,
allenai/OLMo-2-0425-1B-SFT,bin,,0,1,2.6,,,bin-only; refused below torch 2.6
allenai/OLMoE-1B-7B-0125,safetensors,true,6,0,,6919161856,6.919,
allenai/OLMoE-1B-7B-0125-DPO,mixed,true,3,3,,6919161856,6.919,
allenai/OLMoE-1B-7B-0125-Instruct,safetensors,true,3,0,,6919161856,6.919,
allenai/OLMoE-1B-7B-0125-SFT,bin,,0,3,2.6,,,bin-only; refused below torch 2.6
allenai/Olmo-3-1025-7B,safetensors,true,3,0,,7298011136,7.298,
allenai/Olmo-3-1125-32B,safetensors,true,14,0,,32233522176,32.234,
allenai/Olmo-3-7B-Instruct,safetensors,true,3,0,,7298011136,7.298,
allenai/Olmo-3-7B-Instruct-DPO,mixed,true,3,3,,7298011136,7.298,
allenai/Olmo-3-7B-Instruct-SFT,safetensors,true,3,0,,7298011136,7.298,
allenai/Olmo-3-7B-Think-DPO,mixed,true,3,3,,7298011136,7.298,
allenai/Olmo-3-7B-Think-SFT,safetensors,true,3,0,,7298011136,7.298,
allenai/Olmo-3.1-32B-Instruct,safetensors,true,14,0,,32233522176,32.234,
allenai/Olmo-3.1-32B-Instruct-DPO,safetensors,true,29,0,,32233522176,32.234,
allenai/Olmo-3.1-32B-Instruct-SFT,safetensors,true,29,0,,32233522176,32.234,
allenai/Olmo-Hybrid-7B,safetensors,true,1,0,,7430870688,7.431,
allenai/Olmo-Hybrid-Instruct-DPO-7B,safetensors,true,1,0,,7430870688,7.431,
allenai/Olmo-Hybrid-Instruct-SFT-7B,safetensors,true,1,0,,7430870688,7.431,
baichuan-inc/Baichuan2-7B-Base,bin,,0,2,2.6,,,bin-only; refused below torch 2.6
baichuan-inc/Baichuan2-7B-Chat,bin,,0,1,2.6,,,bin-only; refused below torch 2.6
bigscience/bloom-7b1,mixed,true,2,2,,7069016064,7.069,
bigscience/bloomz-7b1,mixed,true,1,1,,7069016064,7.069,
cognitivecomputations/Dolphin3.0-Llama3.1-8B,safetensors,true,4,0,,8030277632,8.03,
cognitivecomputations/dolphin-2.6-mistral-7b-dpo,safetensors,true,3,0,,7241740288,7.242,
croissantllm/CroissantLLMBase,bin,,0,2,2.6,,,bin-only; refused below torch 2.6
croissantllm/CroissantLLMChat-v0.1,safetensors,true,2,0,,1345431552,1.345,
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,safetensors,true,2,0,,8030261248,8.03,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,safetensors,true,2,0,,7615616512,7.616,
deepseek-ai/deepseek-llm-7b-base,bin,,0,2,2.6,,,bin-only; refused below torch 2.6
deepseek-ai/deepseek-llm-7b-chat,bin,,0,2,2.6,,,bin-only; refused below torch 2.6
google/gemma-2-9b,safetensors,true,8,0,,9241705984,9.242,
google/gemma-2-9b-it,safetensors,true,4,0,,9241705984,9.242,
google/recurrentgemma-9b,safetensors,true,4,0,,9628553216,9.629,
google/recurrentgemma-9b-it,safetensors,true,4,0,,9628553216,9.629,
huggyllama/llama-7b,mixed,true,2,2,,6738417664,6.738,
ibm-granite/granite-3.0-8b-base,safetensors,true,7,0,,8170835968,8.171,
ibm-granite/granite-3.0-8b-instruct,safetensors,true,4,0,,8170848256,8.171,
inceptionai/jais-family-6p7b,safetensors,true,3,0,,7142689824,7.143,
inceptionai/jais-family-6p7b-chat,safetensors,true,3,0,,7142689824,7.143,
internlm/internlm2-base-7b,bin,,0,2,2.6,,,bin-only; refused below torch 2.6
internlm/internlm2-chat-7b,safetensors,true,8,0,,7737708544,7.738,
internlm/internlm2-chat-7b-sft,safetensors,true,8,0,,7737708544,7.738,
kakaocorp/kanana-1.5-8b-base,safetensors,true,4,0,,8030261248,8.03,
kakaocorp/kanana-1.5-8b-instruct-2505,safetensors,true,4,0,,8030285824,8.03,
kakaocorp/kanana-2-3b-base,safetensors,true,2,0,,3180636672,3.181,
kakaocorp/kanana-2-3b-instruct,safetensors,true,2,0,,3508972032,3.509,
llm-jp/llm-jp-3-7.2b,safetensors,true,3,0,,7292063744,7.292,
llm-jp/llm-jp-3-7.2b-instruct2,safetensors,true,3,0,,7292063744,7.292,
llm-jp/llm-jp-3-7.2b-instruct3,safetensors,true,3,0,,7292063744,7.292,
lomahony/eleuther-pythia6.9b-hh-dpo,bin,,0,1,2.6,,,bin-only; refused below torch 2.6
lomahony/eleuther-pythia6.9b-hh-sft,bin,,0,1,2.6,,,bin-only; refused below torch 2.6
m-a-p/CT-LLM-Base,safetensors,true,1,0,,2134509568,2.135,
m-a-p/CT-LLM-SFT,mixed,true,1,1,,2134509568,2.135,
m-a-p/CT-LLM-SFT-DPO,mixed,true,1,1,,2134509568,2.135,
m-a-p/neo_7b,safetensors,true,4,0,,7793716224,7.794,
m-a-p/neo_7b_instruct_v0.1,safetensors,true,4,0,,7793716224,7.794,
m-a-p/neo_7b_sft_v0.1,safetensors,true,4,0,,7793716224,7.794,
meta-llama/Llama-3.1-70B,safetensors,true,30,0,,70553706496,70.554,
meta-llama/Llama-3.1-70B-Instruct,safetensors,true,30,0,,70553706496,70.554,
meta-llama/Llama-3.1-8B,safetensors,true,4,0,,8030261248,8.03,
meta-llama/Llama-3.1-8B-Instruct,safetensors,true,4,0,,8030261248,8.03,
microsoft/phi-4,safetensors,true,6,0,,14659507200,14.66,
microsoft/phi-4-reasoning,safetensors,true,6,0,,14659507200,14.66,
mistralai/Mistral-7B-v0.1,mixed,true,2,2,,7241732096,7.242,
mosaicml/mpt-7b,unknown,,,,,,,listing failed: RepositoryNotFoundError
mosaicml/mpt-7b-instruct,unknown,,,,,,,listing failed: RepositoryNotFoundError
openGPT-X/Teuken-7B-base-v0.6,mixed,true,4,4,,7453544448,7.454,
openGPT-X/Teuken-7B-instruct-v0.6,safetensors,true,4,0,,7452725248,7.453,
openbmb/MiniCPM5-1B,safetensors,true,1,0,,1080632832,1.081,
openbmb/MiniCPM5-1B-Base,safetensors,true,1,0,,1080632832,1.081,
openbmb/MiniCPM5-1B-SFT,safetensors,true,1,0,,1080632832,1.081,
openchat/openchat-3.5-0106,safetensors,true,3,0,,7241748480,7.242,
stabilityai/stablelm-2-1_6b,safetensors,true,1,0,,1644515328,1.645,
stabilityai/stablelm-2-1_6b-chat,safetensors,true,2,0,,1644515328,1.645,
stabilityai/stablelm-2-zephyr-1_6b,mixed,true,1,1,,1644515328,1.645,
team-hatakeyama-phase2/Tanuki-8B-base-v1.0,safetensors,true,4,0,,7512264704,7.512,
teknium/OpenHermes-2.5-Mistral-7B,mixed,true,2,2,,7241748480,7.242,
tiiuae/Falcon-H1-1.5B-Base,safetensors,true,1,0,,1554859392,1.555,
tiiuae/Falcon-H1-1.5B-Instruct,safetensors,true,1,0,,1554863488,1.555,
tiiuae/Falcon-H1-7B-Base,safetensors,true,4,0,,7585648736,7.586,
tiiuae/Falcon-H1-7B-Instruct,safetensors,true,4,0,,7585654880,7.586,
tiiuae/Falcon3-10B-Base,safetensors,true,5,0,,10305653760,10.306,
tiiuae/Falcon3-10B-Instruct,safetensors,true,5,0,,10305653760,10.306,
tiiuae/Falcon3-1B-Base,safetensors,true,1,0,,1669408768,1.669,
tiiuae/Falcon3-1B-Instruct,safetensors,true,1,0,,1669408768,1.669,
tiiuae/Falcon3-3B-Base,safetensors,true,2,0,,3227655168,3.228,
tiiuae/Falcon3-3B-Instruct,safetensors,true,2,0,,3227655168,3.228,
tiiuae/Falcon3-7B-Base,safetensors,true,4,0,,7455550464,7.456,
tiiuae/Falcon3-7B-Instruct,safetensors,true,4,0,,7455550464,7.456,
tiiuae/Falcon3-Mamba-7B-Base,safetensors,true,3,0,,7272665088,7.273,
tiiuae/Falcon3-Mamba-7B-Instruct,safetensors,true,3,0,,7272665088,7.273,
tiiuae/falcon-7b,mixed,true,2,2,,7217189760,7.217,
tiiuae/falcon-7b-instruct,mixed,true,2,3,,7217189760,7.217,
tiiuae/falcon-mamba-7b,safetensors,true,3,0,,7272665088,7.273,
tiiuae/falcon-mamba-7b-instruct,safetensors,true,3,0,,7272665088,7.273,
togethercomputer/RedPajama-INCITE-7B-Chat,bin,,0,2,2.6,,,bin-only; refused below torch 2.6
togethercomputer/RedPajama-INCITE-7B-Instruct,bin,,0,2,2.6,,,bin-only; refused below torch 2.6
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,bin,,0,2,2.6,,,bin-only; refused below torch 2.6
weblab-GENIAC/Tanuki-8B-dpo-v1.0,safetensors,true,4,0,,7512264704,7.512,
zai-org/glm-4-9b-chat-hf,safetensors,true,4,0,,9399951360,9.4,
zai-org/glm-4-9b-hf,safetensors,true,4,0,,9399951360,9.4,
