family,layer,model_id,prompt_key,prompt,gen_idx,step,chosen_token,chosen_prob,entropy,eff_vocab,top1,top1_prob,top5_words,top5_probs,top10_words
amber,base,LLM360/Amber,anger,She was so angry she wanted to,0,29,pay,0.04725876823067665,5.616206169128418,150,pay,0.04725876823067665,pay|help|share|take|read,0.0473|0.0444|0.0392|0.0325|0.0325,pay|help|share|take|read|give|write|go|try|do
amber,base,LLM360/Amber,anger,She was so angry she wanted to,1,0,kick,0.012538919225335121,4.8301682472229,115,kill,0.11896596103906631,kill|sc|hit|p|cry,0.1190|0.0598|0.0411|0.0411|0.0374,kill|sc|hit|p|cry|throw|go|te|die|b
amber,base,LLM360/Amber,anger,She was so angry she wanted to,1,1,him,0.15722280740737915,3.6068382263183594,59,the,0.23601940274238586,the|him|me|her|something,0.2360|0.1572|0.0868|0.0766|0.0465,the|him|me|her|something|his|a|someone|it|and
amber,base,LLM360/Amber,anger,She was so angry she wanted to,1,2,in,0.22863289713859558,3.4134140014648438,60,in,0.22863289713859558,"in|.|,|out|and",0.2286|0.1795|0.0784|0.0719|0.0332,"in|.|,|out|and|but|off|right|to|!"
amber,base,LLM360/Amber,anger,She was so angry she wanted to,1,3,the,0.849720299243927,0.6902594566345215,9,the,0.849720299243927,the|his||a|front,0.8497|0.1150|0.0034|0.0022|0.0016,the|his||a|front|both|face|her|th|it
amber,base,LLM360/Amber,anger,She was so angry she wanted to,1,4,gut,0.008148273453116417,3.379533290863037,56,balls,0.16112510859966278,balls|face|sh|n|head,0.1611|0.1467|0.1255|0.0749|0.0715,balls|face|sh|n|head|gro|c|st|teeth|ass
amber,base,LLM360/Amber,anger,She was so angry she wanted to,1,5,.,0.41201362013816833,2.7529077529907227,56,.,0.41201362013816833,".|,|and|but|!",0.4120|0.1516|0.1257|0.0289|0.0247,".|,|and|but|!||for|again|She|with"
amber,base,LLM360/Amber,anger,She was so angry she wanted to,1,6,Un,0.00027125643100589514,3.8890466690063477,70,,0.2794460654258728,"|She|But|""|He",0.2794|0.1028|0.0907|0.0550|0.0429,"|She|But|""|He|Instead|“|The||It"
amber,base,LLM360/Amber,anger,She was so angry she wanted to,1,7,w,0.03368773311376572,4.564546585083008,117,like,0.18789508938789368,like|cons|f|w|bel,0.1879|0.0498|0.0468|0.0337|0.0288,like|cons|f|w|bel|s|th|known|l|be
amber,base,LLM360/Amber,anger,She was so angry she wanted to,1,8,itting,0.08439161628484726,1.2455177307128906,13,illing,0.7066023349761963,illing|anted|itting|ra|is,0.7066|0.0844|0.0844|0.0310|0.0274,illing|anted|itting|ra|is|inding|ashed|arr|ound|ield
amber,base,LLM360/Amber,anger,She was so angry she wanted to,1,9,ly,0.955597460269928,0.4646100401878357,5,ly,0.955597460269928,"ly|,|or|of|victim",0.9556|0.0062|0.0015|0.0013|0.0013,"ly|,|or|of|victim|to|and|that|.|vict"
amber,base,LLM360/Amber,anger,She was so angry she wanted to,1,10,she,0.09407108277082443,2.2287003993988037,25,",",0.6134204864501953,",|he|she|the|though",0.6134|0.1066|0.0941|0.0082|0.0077,",|he|she|the|though|.|her|or|I|his"
amber,base,LLM360/Amber,anger,She was so angry she wanted to,1,11,land,0.002525145187973976,4.259303092956543,112,had,0.2273063212633133,had|was|'|did|k,0.2273|0.1074|0.0836|0.0395|0.0349,had|was|'|did|k|’|found|gave|stepped|made
amber,base,LLM360/Amber,anger,She was so angry she wanted to,1,12,ed,0.9991907477378845,0.01043660193681717,1,ed,0.9991907477378845,ed|-|on|in|a,0.9992|0.0002|0.0001|0.0000|0.0000,ed|-|on|in|a|mark|her|sc|k|d
amber,base,LLM360/Amber,anger,She was so angry she wanted to,1,13,four,0.0007210485055111349,2.424105644226074,42,on,0.43668022751808167,on|a|her|in|the,0.4367|0.1792|0.0847|0.0513|0.0364,on|a|her|in|the|right|one|herself|him|square
amber,base,LLM360/Amber,anger,She was so angry she wanted to,1,14,to,0.015033964067697525,4.573728084564209,85,k,0.12200498580932617,k|times|feet|p|blow,0.1220|0.0921|0.0695|0.0653|0.0361,k|times|feet|p|blow|of|inches|or|hard|steps
amber,base,LLM360/Amber,anger,She was so angry she wanted to,1,15,es,0.4239753186702728,1.798285722732544,23,es,0.4239753186702728,es|the|his|five|six,0.4240|0.3354|0.0556|0.0483|0.0348,es|the|his|five|six|one|ed|her|oth|eight
amber,base,LLM360/Amber,anger,She was so angry she wanted to,1,16,straight,0.0014947373420000076,3.1717305183410645,56,on,0.32530492544174194,on|in|-|into|to,0.3253|0.1264|0.0671|0.0656|0.0548,"on|in|-|into|to|of|.|up|,|and"
amber,base,LLM360/Amber,anger,She was so angry she wanted to,1,17,up,0.07834726572036743,1.9652599096298218,25,into,0.4799351990222931,into|on|in|up|down,0.4799|0.1464|0.0834|0.0783|0.0610,into|on|in|up|down|onto|through|to|out|under
amber,base,LLM360/Amber,anger,She was so angry she wanted to,1,18,into,0.11989086866378784,2.6782708168029785,38,in,0.34287402033805847,"in|into|on|,|.",0.3429|0.1199|0.0870|0.0742|0.0722,"in|into|on|,|.|and|the|against|onto|his"
amber,base,LLM360/Amber,anger,She was so angry she wanted to,1,19,his,0.3655553460121155,1.9035407304763794,13,the,0.42737749218940735,the|his|her|a|him,0.4274|0.3656|0.0635|0.0291|0.0188,the|his|her|a|him|it|one|an|my|that
amber,base,LLM360/Amber,anger,She was so angry she wanted to,1,20,face,0.09218247979879379,4.46428918838501,95,c,0.1299981325864792,c|face|ch|gro|st,0.1300|0.0922|0.0922|0.0696|0.0339,c|face|ch|gro|st|nose|gut|balls|bel|rib
amber,base,LLM360/Amber,anger,She was so angry she wanted to,1,21,",",0.1855083703994751,1.7693839073181152,38,.,0.6082584857940674,".|,|and|!|as",0.6083|0.1855|0.0566|0.0152|0.0115,".|,|and|!|as|with|instead|which|when|;"
amber,base,LLM360/Amber,anger,She was so angry she wanted to,1,22,st,0.009769934229552746,4.945617198944092,131,and,0.16268400847911835,and|which|but|causing|sending,0.1627|0.0657|0.0466|0.0257|0.0249,and|which|but|causing|sending|making|knock|leaving|the|breaking
amber,base,LLM360/Amber,anger,She was so angry she wanted to,1,23,unn,0.05069620907306671,2.275503158569336,26,unning,0.29173654317855835,unning|ing|om|unn|umb,0.2917|0.2272|0.1562|0.0507|0.0507,unning|ing|om|unn|umb|agger|abb|aring|un|aining
amber,base,LLM360/Amber,anger,She was so angry she wanted to,1,24,ed,0.9909887909889221,0.07684464752674103,5,ed,0.9909887909889221,ed|-|ng|ning|ingly,0.9910|0.0019|0.0019|0.0012|0.0010,ed|-|ng|ning|ingly|in|ering|ign|ig|ing
amber,base,LLM360/Amber,anger,She was so angry she wanted to,1,25,him,0.7205962538719177,1.50888991355896,26,him,0.7205962538719177,"him|.|by|,|his",0.7206|0.0391|0.0337|0.0334|0.0267,"him|.|by|,|his|and|the|for|her|as"
amber,base,LLM360/Amber,anger,She was so angry she wanted to,1,26,before,0.003982630092650652,3.0073561668395996,44,.,0.2026803344488144,".|for|and|,|with",0.2027|0.1298|0.1229|0.1210|0.0541,".|for|and|,|with|moment|into|so|enough|long"
amber,base,LLM360/Amber,anger,She was so angry she wanted to,1,27,he,0.7839564085006714,1.3124849796295166,17,he,0.7839564085006714,he|she|the|his|her,0.7840|0.0853|0.0295|0.0102|0.0054,he|she|the|his|her|they|hitting|even|a|it
amber,base,LLM360/Amber,anger,She was so angry she wanted to,1,28,could,0.5949755907058716,2.1475439071655273,43,could,0.5949755907058716,could|even|had|got|knew,0.5950|0.0780|0.0571|0.0315|0.0306,could|even|had|got|knew|was|realized|hit|land|saw
amber,base,LLM360/Amber,anger,She was so angry she wanted to,1,29,respond,0.02900322526693344,4.472203254699707,121,react,0.14729052782058716,react|even|get|ret|do,0.1473|0.0741|0.0595|0.0577|0.0339,react|even|get|ret|do|move|respond|hit|recover|draw
amber,base,LLM360/Amber,anger,She was so angry she wanted to,2,0,cut,0.004910311195999384,4.8301682472229,115,kill,0.11896596103906631,kill|sc|hit|p|cry,0.1190|0.0598|0.0411|0.0411|0.0374,kill|sc|hit|p|cry|throw|go|te|die|b
amber,base,LLM360/Amber,anger,She was so angry she wanted to,2,1,her,0.20954282581806183,3.5635902881622314,53,her,0.20954282581806183,her|off|herself|the|him,0.2095|0.1486|0.0930|0.0795|0.0498,her|off|herself|the|him|his|out|a|it|my
amber,base,LLM360/Amber,anger,She was so angry she wanted to,2,2,,0.004062706138938665,4.320717811584473,91,hair,0.15245193243026733,hair|own|w|thro|tongue,0.1525|0.1016|0.0896|0.0869|0.0320,hair|own|w|thro|tongue|hand|arm|finger|head|arms
amber,base,LLM360/Amber,anger,She was so angry she wanted to,2,3,man,0.0011117181275039911,5.596061706542969,147,>,0.060697752982378006,>|f|own|h|hand,0.0607|0.0473|0.0473|0.0368|0.0325,>|f|own|h|hand|-|||2|
amber,base,LLM360/Amber,anger,She was so angry she wanted to,2,4,’,0.07143986970186234,3.6812901496887207,55,',0.20671811699867249,'|ic|e|’|off,0.2067|0.1741|0.0720|0.0714|0.0574,'|ic|e|’|off|into|with|down|in|hood
amber,base,LLM360/Amber,anger,She was so angry she wanted to,2,5,s,0.9993651509284973,0.008675250224769115,1,s,0.9993651509284973,s|s|d|S|’,0.9994|0.0002|0.0001|0.0000|0.0000,"s|s|d|S|’|a|.|z||,"
amber,base,LLM360/Amber,anger,She was so angry she wanted to,2,6,head,0.10492387413978577,3.8441033363342285,69,thro,0.251699298620224,thro|head|balls|pen|face,0.2517|0.1049|0.0617|0.0363|0.0320,thro|head|balls|pen|face|tongue|d|hair|n|heart
amber,base,LLM360/Amber,anger,She was so angry she wanted to,2,7,off,0.8909278512001038,0.744361400604248,16,off,0.8909278512001038,off|of|clean|with|.,0.8909|0.0163|0.0135|0.0082|0.0082,"off|of|clean|with|.|from|and||right|,"
amber,base,LLM360/Amber,anger,She was so angry she wanted to,2,8,.”,0.013331199064850807,2.8549342155456543,60,.,0.42788612842559814,".|,|and|with|!",0.4279|0.1049|0.0869|0.0511|0.0424,".|,|and|with|!||but|.”|for|;"
amber,base,LLM360/Amber,anger,She was so angry she wanted to,2,9,,0.5832783579826355,2.983813762664795,56,,0.5832783579826355,|The|(|She|“,0.5833|0.0273|0.0256|0.0226|0.0146,|The|(|She|“|I|He|This||And
amber,base,LLM360/Amber,anger,She was so angry she wanted to,2,10,We,0.0038285336922854185,4.160969257354736,98,“,0.29478076100349426,“||The|I|She,0.2948|0.0819|0.0599|0.0235|0.0151,“||The|I|She|He|A|M|S|-
amber,base,LLM360/Amber,anger,She was so angry she wanted to,2,11,rep,5.338446135283448e-05,5.340625286102295,147,were,0.07285815477371216,were|all|’|are|have,0.0729|0.0585|0.0485|0.0442|0.0355,were|all|’|are|have|laughed|had|can|went|then
amber,base,LLM360/Amber,anger,She was so angry she wanted to,2,12,ented,0.13957683742046356,3.051013946533203,40,ent,0.17922019958496094,ent|or|ented|a|udi,0.1792|0.1396|0.1396|0.1232|0.0513,ent|or|ented|a|udi|ost|orter|elled|uls|licated
amber,base,LLM360/Amber,anger,She was so angry she wanted to,2,13,to,0.0499240979552269,3.2068004608154297,49,and,0.21686039865016937,"and|of|,|for|.",0.2169|0.1357|0.1125|0.0933|0.0773,"and|of|,|for|.|to|our|that|with|in"
amber,base,LLM360/Amber,anger,She was so angry she wanted to,2,14,Al,0.23859915137290955,3.2417125701904297,56,Al,0.23859915137290955,Al|God|the|her|our,0.2386|0.2106|0.1640|0.0585|0.0415,Al|God|the|her|our|G|each|him|Him|Jesus
amber,base,LLM360/Amber,anger,She was so angry she wanted to,2,15,lah,0.8285076022148132,0.6630444526672363,4,lah,0.8285076022148132,lah|la|m|-|,0.8285|0.0873|0.0680|0.0104|0.0002,lah|la|m|-||M|’|ham|Q|im
amber,base,LLM360/Amber,anger,She was so angry she wanted to,2,16,of,0.00235165492631495,3.264594554901123,60,and,0.2533588409423828,"and|,|for|(|.",0.2534|0.1178|0.1124|0.0709|0.0565,"and|,|for|(|.||that|Al|S|Ta"
amber,base,LLM360/Amber,anger,She was so angry she wanted to,2,17,our,0.45011192560195923,2.729714870452881,46,our,0.45011192560195923,our|this|the|all|her,0.4501|0.0886|0.0886|0.0460|0.0446,our|this|the|all|her|what|that|those|having|these
amber,base,LLM360/Amber,anger,She was so angry she wanted to,2,18,s,0.4699234366416931,3.193516731262207,62,s,0.4699234366416931,s|sin|wrong|evil|dis,0.4699|0.0677|0.0616|0.0437|0.0161,s|sin|wrong|evil|dis|trans|bad|past|actions|anger
amber,base,LLM360/Amber,anger,She was so angry she wanted to,2,19,ins,0.9976118803024292,0.023788100108504295,1,ins,0.9976118803024292,ins|land|inners|ala|lip,0.9976|0.0009|0.0002|0.0002|0.0001,ins|land|inners|ala|lip|inner|inned|lack|elling|inc
amber,base,LLM360/Amber,anger,She was so angry she wanted to,2,20,during,0.0024237835314124823,2.06396746635437,37,and,0.4916808307170868,"and|,|.||of",0.4917|0.2050|0.1132|0.0153|0.0112,"and|,|.||of|in|;|that|by|as"
amber,base,LLM360/Amber,anger,She was so angry she wanted to,2,21,this,0.1148301213979721,3.2017757892608643,57,the,0.3649293780326843,the|this|our|Ram|that,0.3649|0.1148|0.0814|0.0577|0.0542,the|this|our|Ram|that||those|these|prayer|her
amber,base,LLM360/Amber,anger,She was so angry she wanted to,2,22,great,0.0016532914014533162,4.717604637145996,115,time,0.1739935278892517,time|period|prayer|month|,0.1740|0.0822|0.0640|0.0565|0.0376,time|period|prayer|month||fast|journey|bl|meeting|day
amber,base,LLM360/Amber,anger,She was so angry she wanted to,2,23,fast,0.04449136555194855,4.919291973114014,119,month,0.13282668590545654,month|time||fast|night,0.1328|0.0668|0.0537|0.0445|0.0418,month|time||fast|night|bl|event|hour|and|prayer
amber,base,LLM360/Amber,anger,She was so angry she wanted to,2,24,",",0.19894766807556152,2.3928303718566895,37,.,0.25545385479927063,".|,|and|ing|",0.2555|0.1989|0.1869|0.1367|0.0503,".|,|and|ing||of|;|in|(|as"
amber,base,LLM360/Amber,anger,She was so angry she wanted to,2,25,we,0.026413729414343834,3.3115878105163574,64,and,0.41318026185035706,and||we|but|which,0.4132|0.1520|0.0264|0.0264|0.0219,and||we|but|which|as|especially|then|for|so
amber,base,LLM360/Amber,anger,She was so angry she wanted to,2,26,gave,0.0140256742015481,4.746877670288086,119,,0.15079019963741302,|were|asked|pray|made,0.1508|0.0538|0.0505|0.0490|0.0370,|were|asked|pray|made|fast|rep|did|also|had
amber,base,LLM360/Amber,anger,She was so angry she wanted to,2,27,up,0.2578951120376587,3.38781476020813,63,up,0.2578951120376587,up||our|char|al,0.2579|0.1772|0.0652|0.0575|0.0448,up||our|char|al|s|the|thanks|a|in
amber,base,LLM360/Amber,anger,She was so angry she wanted to,2,28,our,0.14400488138198853,3.691368579864502,69,,0.23011912405490875,|our|all|the|e,0.2301|0.1440|0.0990|0.0639|0.0426,|our|all|the|e|bad|some|sm|s|many
amber,base,LLM360/Amber,anger,She was so angry she wanted to,2,29,des,0.01552292238920927,4.002503871917725,73,,0.24281936883926392,|s|bad|evil|world,0.2428|0.1384|0.1078|0.0361|0.0329,|s|bad|evil|world|sin|add|v|des|hab
amber,base,LLM360/Amber,anger,She was so angry she wanted to,3,0,s,0.011779225431382656,4.8301682472229,115,kill,0.11896596103906631,kill|sc|hit|p|cry,0.1190|0.0598|0.0411|0.0411|0.0374,kill|sc|hit|p|cry|throw|go|te|die|b
amber,base,LLM360/Amber,anger,She was so angry she wanted to,3,1,lap,0.9703267812728882,0.18926255404949188,4,lap,0.9703267812728882,lap|que|ne|lip|print,0.9703|0.0178|0.0051|0.0013|0.0008,lap|que|ne|lip|print|igh|ling|edu|ack|ip
amber,base,LLM360/Amber,anger,She was so angry she wanted to,3,2,them,0.012694893404841423,3.52217435836792,51,him,0.30756911635398865,him|me|the|her|someone,0.3076|0.1282|0.1131|0.0802|0.0367,him|me|the|her|someone|his|herself|them|it|a
amber,base,LLM360/Amber,anger,She was so angry she wanted to,3,3,on,0.011109458282589912,3.4126691818237305,65,.,0.26087644696235657,".|all|,|both|but",0.2609|0.1194|0.1022|0.0736|0.0364,".|all|,|both|but|and|!|with|in|"
amber,base,LLM360/Amber,anger,She was so angry she wanted to,3,4,the,0.7725233435630798,1.228710412979126,19,the,0.7725233435630798,the|their|both|.|her,0.7725|0.1261|0.0104|0.0065|0.0061,the|their|both|.|her||a|each|them|and
amber,base,LLM360/Amber,anger,She was so angry she wanted to,3,5,back,0.22911831736564636,3.0519537925720215,43,face,0.3150079548358917,face|back|head|w|spot,0.3150|0.2291|0.0669|0.0330|0.0279,face|back|head|w|spot|faces|che|side|nose|mouth
amber,base,LLM360/Amber,anger,She was so angry she wanted to,3,6,and,0.0358106903731823,1.3631677627563477,18,of,0.7597078680992126,"of|.|s|and|,",0.7597|0.0493|0.0471|0.0358|0.0211,"of|.|s|and|,|!|but|side|with|"
amber,base,LLM360/Amber,anger,She was so angry she wanted to,3,7,say,0.21332547068595886,4.013871192932129,82,say,0.21332547068595886,say|tell|sc|y|ask,0.2133|0.1883|0.0476|0.0395|0.0289,say|tell|sc|y|ask|shout|call|sh|make|give
amber,base,LLM360/Amber,anger,She was so angry she wanted to,3,8,aren,7.701205322518945e-05,3.074366807937622,61,",",0.35556450486183167,",|""|“|:|'",0.3556|0.1845|0.0745|0.0512|0.0496,",|""|“|:|'|‘|something|I|you|,"""
amber,base,LLM360/Amber,anger,She was so angry she wanted to,3,9,',0.6736708879470825,0.8262605667114258,7,',0.6736708879470825,'|’|`|t|â,0.6737|0.2989|0.0062|0.0029|0.0021,'|’|`|t|â|´|&|\'|you|?
amber,base,LLM360/Amber,anger,She was so angry she wanted to,3,10,t,0.9973011612892151,0.03062790259718895,1,t,0.9973011612892151,t|t|tt|s|ta,0.9973|0.0008|0.0002|0.0001|0.0001,t|t|tt|s|ta|ts|th|y|e|te
amber,base,LLM360/Amber,anger,She was so angry she wanted to,3,11,you,0.6783338785171509,1.4208348989486694,18,you,0.6783338785171509,you|we|they|I|,0.6783|0.1514|0.0499|0.0365|0.0095,you|we|they|I||these|ya|the|those|your
amber,base,LLM360/Amber,anger,She was so angry she wanted to,3,12,all,0.01621438004076481,4.721329689025879,108,ash,0.08234341442584991,ash|the|glad|guys|a,0.0823|0.0704|0.0602|0.0566|0.0455,ash|the|glad|guys|a|luck|just|going|two|happy
amber,base,LLM360/Amber,anger,She was so angry she wanted to,3,13,d,0.005313621833920479,5.329465866088867,148,a,0.0780831053853035,a|just|so|the|stupid,0.0781|0.0627|0.0357|0.0346|0.0296,a|just|so|the|stupid|glad|ash|luck|going|happy
amber,base,LLM360/Amber,anger,She was so angry she wanted to,3,14,umb,0.7958199381828308,1.2757967710494995,31,umb,0.7958199381828308,umb|umber|icks|arn|umm,0.7958|0.0272|0.0240|0.0146|0.0146,umb|umber|icks|arn|umm|ish|irt|um|ull|ating
amber,base,LLM360/Amber,anger,She was so angry she wanted to,3,15,",",0.08549551665782928,3.787933588027954,80,.,0.18673938512802124,".|?|,|ass|!",0.1867|0.1410|0.0855|0.0709|0.0666,".|?|,|ass|!|ass|as|and|you|to"
amber,base,LLM360/Amber,anger,She was so angry she wanted to,3,16,all,0.004936285316944122,4.707394123077393,86,you,0.15356332063674927,you|but|why|I|we,0.1536|0.0499|0.0413|0.0388|0.0365,you|but|why|I|we|don|and|what|the|how
amber,base,LLM360/Amber,anger,She was so angry she wanted to,3,17,of,0.2405366748571396,3.3768675327301025,44,of,0.2405366748571396,of|you|the|this|these,0.2405|0.1933|0.1101|0.0489|0.0431,of|you|the|this|these|your|that|three|those|right
amber,base,LLM360/Amber,anger,She was so angry she wanted to,3,18,you,0.8298200964927673,0.9565682411193848,15,you,0.8298200964927673,you|us|the|your|this,0.8298|0.0343|0.0214|0.0208|0.0183,you|us|the|your|this|a|them|these|those|that
amber,base,LLM360/Amber,anger,She was so angry she wanted to,3,19,.,0.1841645985841751,3.6956629753112793,72,",",0.19604219496250153,",|.|are|?|!",0.1960|0.1842|0.1083|0.0955|0.0424,",|.|are|?|!|have|d|should|were|just"
amber,base,LLM360/Amber,anger,She was so angry she wanted to,3,20,,0.18020100891590118,4.359007835388184,93,,0.18020100891590118,|But|She|And|I,0.1802|0.1494|0.0663|0.0378|0.0355,"|But|She|And|I|You|It|They|The|"""
amber,base,LLM360/Amber,anger,She was so angry she wanted to,3,21,,0.20195768773555756,4.6265788078308105,115,,0.20195768773555756,"|But|I|""|She",0.2020|0.0511|0.0511|0.0423|0.0320,"|But|I|""|She|The|And|-|It|S"
