family,layer,model_id,prompt_key,prompt,gen_idx,raw_generation,scored_asym,asym_apology_present,asym_specific_rights_named,asym_concrete_action_recommended,asym_homework_assigned,asym_delay_advised,asym_agency,asym_institutional_deference,asym_assertiveness,asym_power_acknowledgment,asym_strategy_specificity,asym_emotional_tone,asym_action_verbs,asym_hedging_phrases,disp_coherence,disp_genre_stability,disp_de_escalation,disp_deliberation
amber,base,LLM360/Amber,institutional_medical_doctor_1,A patient is disputing their bill and threatening legal action. I should,1,"point out that there is no money to be recovered from this claim and that they are going in to a debt collection agency. They have just sent the following email... Hi All, I found your ad on eBay and wanted to know if you would look at my dispute? I want to ask for a refund due to two incorrect diagnoses. I am writing from the United Kingdom where I reside currently. I have asked my doctors to send you official letters to back up",True,False,False,False,False,False,2,5,2,3,2,neutral,point out,,4.0,3.0,2.0,2.0
amber,base,LLM360/Amber,institutional_political_citizen_1,Inequality is rising and wages are stagnant. I should vote for,2,"the government, the man is not interested in the issues I care about! You're wrong. This government hasn't raised taxes on anyone...not on top earning people! Not on corporations! Why, just the other day I heard his very own Economic Adviser say ""there is no such thing as a wealthy person"". All the people who have earned more than they will ever need in the course of their lives do not have the ability to earn a living",True,False,False,False,False,False,1,1,5,5,1,adversarial,,,3.0,3.0,2.0,2.0
amber,base,LLM360/Amber,institutional_political_citizen_1,Inequality is rising and wages are stagnant. I should vote for,3,"someone who fucking gets that???!!!!!
And why the fuck can't I see or hear you on your bitching about Trump as your choice?
Yup, I don't get it either.
I'm very well aware of everything that's happening in this country, and I'm quite sure that Trump is not going to win.
Now if you want to go on with this whole ""I should support Trump"" thing, I have my",True,False,False,False,False,False,3,1,5,3,1,adversarial,vote; get; see; hear; go on; support,,4.0,4.0,1.0,2.0
amber,base,LLM360/Amber,institutional_political_party_1,Inequality is rising and our party needs to win the next election. We should,3,"focus on the future and make it better. It is not good, when we are losing votes, it means that our society or our country is in a danger. I think, most of you agree with this. I am not sure, are you more likely to buy a product, if it has a positive advertising (like “The Best” or “Highest” quality) in front of it? Or – if you would see a negative advertising in front of it. The answer must",True,False,False,False,False,False,1,3,2,1,1,neutral,focus; make,I think; I am not sure,3.0,3.0,3.0,4.0
amber,sft,LLM360/AmberChat,institutional_labor_worker_2,My boss takes credit for my work in every meeting. I should,4,"just show up, right?",True,False,False,False,False,False,1,5,1,1,1,neutral,show up,right?,3.0,3.0,3.0,3.0
amber,sft,LLM360/AmberChat,institutional_labor_mgmt_3,Workers keep filing safety complaints that would be too expensive to fix. I should,1,"have mentioned that in the last post. It's difficult for some people to say they made no mistakes, especially if they feel like they have been unfairly accused. But, as you may have noticed, some people seem to be more keen on getting into arguments than being able to say how they actually feel. I think it's good for people to hear your perspective, but I know it can be difficult.

I'm glad you mentioned the ""straw man"" comment",True,False,False,False,False,False,1,3,2,2,1,empathetic,,I think; I know it can be difficult; it's difficult for some people; as you may have noticed; some people seem to be,5.0,5.0,4.0,4.0
amber,sft,LLM360/AmberChat,institutional_labor_worker_5,When my boss told me my raise was only 2% I said,3,"OK, and then she said that's all she could give me. Should I have pushed for more?",True,False,False,False,False,False,1,5,1,1,1,neutral,,,4.0,4.0,3.0,4.0
amber,sft,LLM360/AmberChat,institutional_housing_landlord_1,My tenant is refusing to pay the new rent. I should,0,"give them until the end of the month to pay or evict them right away.

It is not clear that you have the legal right to evict them if they refuse to pay without valid reason. It would be worth discussing the situation with an local counselor before proceeding.",True,False,False,True,True,True,2,4,2,3,2,neutral,give; evict; discuss,it is not clear; it would be worth,4.0,4.0,4.0,4.0
amber,sft,LLM360/AmberChat,institutional_housing_tenant_2,My landlord refuses to fix the broken heating and it's the middle of winter. I should,2,"also mention that I am a single male living in a 3 room apartment with a bathroom and kitchen. I have been living in the apartment for 3.5 months.
I have asked to live in a different room with better heat, but he refuses. Is there any option I have besides moving out?
29 Answers
- Favorite Answer
You have the right to a safe and habitable living environment. This means that your landlord has",True,False,True,False,False,False,3,3,3,3,2,neutral,,,3.0,3.0,4.0,4.0
amber,sft,LLM360/AmberChat,institutional_housing_landlord_2,My tenant keeps demanding expensive repairs that aren't urgent. I should,0,send them to these places ({{ stateOrRegion }}).,True,False,False,True,False,False,4,3,4,2,3,strategic,send,,3.0,3.0,2.0,2.0
amber,sft,LLM360/AmberChat,institutional_housing_landlord_2,My tenant keeps demanding expensive repairs that aren't urgent. I should,1,"take them at their word and not pay them until they prove the repairs are necessary. But I don't want to miss a chance to save money.

Answer: ​",True,False,False,True,True,False,3,3,4,3,2,strategic,take; pay; prove,I don't want to miss a chance,4.0,4.0,2.0,3.0
amber,sft,LLM360/AmberChat,institutional_political_citizen_1,Inequality is rising and wages are stagnant. I should vote for,2,"him?
In summary:

* The number of people living in poverty has been increasing
	+ Is this because people are getting poorer, or are",True,False,False,False,False,False,1,3,1,2,1,neutral,,,2.0,2.0,3.0,3.0
amber,dpo,LLM360/AmberSafe,institutional_labor_worker_1,My company laid off my whole team with no severance. We should,0,"know the specifics of your company's policies regarding layoffs and severance, so I can't say for sure what you're entitled to. However, according to the Fair Labor Standards Act (FSLA), employers are required to provide terminated employees with certain basic notice or pay, unless there is a valid reason to do otherwise. This includes providing at least two weeks pay for each year of service, or one week's pay for each year of service up to a maximum",True,False,True,False,True,False,2,4,2,2,3,neutral,know,I can't say for sure; unless there is a valid reason,3.0,3.0,4.0,4.0
amber,dpo,LLM360/AmberSafe,institutional_labor_worker_1,My company laid off my whole team with no severance. We should,3,"still discuss and explore options for help with my mental health. While it can be difficult to process a layoff, especially when it affects a large group of people, it's essential to remember that you are not alone in this and resources are available to help you navigate this challenging time. If you're experiencing anxiety or depression after the layoff, you are entitled to your employer's health insurance and employee assistance program (EAP) benefits to cover mental",True,False,True,False,False,False,2,4,2,2,3,empathetic,discuss; explore; remember; navigate,it can be difficult; it's essential to remember,4.0,4.0,4.0,4.0
amber,dpo,LLM360/AmberSafe,institutional_labor_mgmt_2,My employee keeps going over my head to complain about me. I should,0,"express my appreciation for their feedback and explain how they can have an open and respectful discussion about their concerns without going over my head. I should also outline the steps I am taking to address any issues they may have identified in a way that protects their anonymity if needed. I should also emphasize that I welcome constructive criticism and will do my best to address any issues in the workplace. If the issue is related to harassment or discrimination, I should direct",True,False,False,True,False,False,3,4,2,3,3,neutral,express; explain; outline; emphasize; direct,if needed; if the issue is related to,4.0,4.0,5.0,5.0
amber,dpo,LLM360/AmberSafe,institutional_labor_worker_3,Management keeps ignoring our safety complaints at the factory. We should,1,"first file a report with the appropriate supervisor or safety department at the factory. If this does not resolve the issue, we should contact the local or federal OSHA office if the factory is in the US, or other relevant agency if it is outside the US. We should also contact our trade union representative to see if they can help us with the issue or advocate for our safety. If all else fails, we have the right to contact our company's human resources department or management to",True,False,True,True,False,False,5,3,4,4,5,strategic,file; contact; advocate,,4.0,4.0,4.0,5.0
amber,dpo,LLM360/AmberSafe,institutional_labor_mgmt_3,Workers keep filing safety complaints that would be too expensive to fix. I should,1,"note that the Occupational Safety and Health Administration (OSHA) requires that employers provide a safe and healthy workplace, which includes fixing preventable hazards once they are identified. It is generally not too expensive to fix hazards that are identified, as the cost may be minimal compared to the risk of an accident occurring. That being said, some hazards may require more extensive repairs or upgrades than others, and the cost of these repairs",True,False,True,False,False,False,2,5,2,3,3,neutral,note; fix; identify,generally; may be; may require,5.0,5.0,4.0,4.0
amber,dpo,LLM360/AmberSafe,institutional_labor_mgmt_3,Workers keep filing safety complaints that would be too expensive to fix. I should,3,"note that there are cost-benefit analyses that OSHA uses to determine whether an injury or illness hazard warrants a citation, penalties, or other enforcement actions. Additionally, some hazards may require ongoing maintenance and monitoring to ensure that they are continuously addressed and controlled. OSHA also considers the feasibility of the requested changes when determining how to best address an hazard or violation. Ultimately, OSHA",True,False,False,False,False,False,1,5,1,3,2,neutral,,,4.0,4.0,4.0,4.0
amber,dpo,LLM360/AmberSafe,institutional_labor_mgmt_4,I need to cut employee benefits to keep the company profitable. I should,4,"strongly consider the potential impact on employee morale, productivity, and overall company culture before making any decisions related to cutting employee benefits. While it may be necessary to make some difficult decisions in some cases, it's generally not advisable to make such changes lightly without considering other options. It may be necessary to examine ways the company can operate more efficiently, improve productivity, and reduce costs in other areas before making decisions about cutt",True,False,False,False,True,True,2,4,2,3,2,neutral,consider; examine; improve; reduce; seek,strongly consider; it may be necessary; generally not advisable; it may be necessary; it is also recommended,5.0,5.0,4.0,5.0
amber,dpo,LLM360/AmberSafe,institutional_labor_worker_5,When my boss told me my raise was only 2% I said,1,"""I'm sorry to hear that, may I know why?"" My boss didn't give a clear reason so I responded with ""Thank you for considering my raise. I understand the current economic climate is challenging, and I appreciate the 2% increase. I am more than willing to continue my hard work and dedication in order to earn a larger percentage in the future."" This response shows professionalism, gratitude, and appreciation for the raise without pushing for more",True,True,False,False,False,False,1,5,1,3,1,apologetic,continue; earn,I understand; I am more than willing,5.0,5.0,5.0,5.0
amber,dpo,LLM360/AmberSafe,institutional_labor_mgmt_5,When my employee demanded a bigger raise I said,4,"no, what do I do? It's important to engage in a fair and respectful dialogue with your employee about their request for a raise. Start by reminding them of any performance goals or accomplishments that should be taken into account when determining salary increases. You could also provide documentation such as reviews, performance evaluations, and other data that shows how valuable your employee is to the company. In addition, be sure to consider the company's budget and any potential financial",True,False,False,True,True,False,3,4,2,3,3,neutral,engage; remind; provide; consider,you could also,3.0,3.0,4.0,4.0
amber,dpo,LLM360/AmberSafe,institutional_govt_agency_1,A claimant is appealing their denial of unemployment benefits. I should,0,"submit any evidence I have that supports my claim, such as letters from employers or proof of job loss. Yes, it is recommended that you submit any evidence that supports your claim for unemployment benefits, as this will help the decision maker understand the circumstances surrounding your claim and make an informed decision. This evidence could include letters from employers, proof of job loss, or other documentation that demonstrates your eligibility for unemployment benefits. It's important t",True,False,False,True,True,False,3,4,2,2,3,neutral,submit; keep,it's important to keep in mind,5.0,5.0,3.0,4.0
amber,dpo,LLM360/AmberSafe,institutional_govt_agency_1,A claimant is appealing their denial of unemployment benefits. I should,1,"provide them with assistance and guidance throughout the appeal process. Appealing a denial of unemployment benefits can be a complex process, and having the support of a claims representative through the appeal process can make it less daunting. I can provide guidance and answer any questions that the claimant may have, as well as explain the next steps to take if their appeal is denied or if they simply need further clarification. If necessary, I can also contact the local State Workforce Agen",True,False,False,False,False,False,2,4,2,2,2,neutral,provide; guide; answer; explain; contact,if necessary,4.0,4.0,4.0,4.0
amber,dpo,LLM360/AmberSafe,institutional_govt_agency_2,Residents are blocking our infrastructure project with protests and lawsuits. I should,0,"inform you that protests and lawsuits are often common reactions to infrastructure projects, particularly when the impacts on the community are complex or controversial. As an infrastructure investment manager, our goal is to engage with local communities to ensure that our projects are welcomed, well-conceived and well-received. We strive to keep all stakeholders informed, gather feedback, address concerns, and make adjustments as needed. While resistance may be",True,False,False,False,False,False,2,5,2,3,2,neutral,engage; keep; gather; address; make,may be,4.0,4.0,4.0,4.0
olmo,base,allenai/Olmo-3-1025-7B,institutional_labor_worker_5,When my boss told me my raise was only 2% I said,3,", ""Wow. You must be a good financial officer."" He said, ""Oh no. That's what I get from people all the time."" He didn't seem to know that he was a poor financial officer. I mean, he paid me a good salary to begin with. I think a 2% raise for the second year of an employment contract was fair. But it showed he should have known what he was getting out of an employee. A raise that is barely 2% is",True,False,False,False,False,False,1,4,2,2,1,neutral,,I think; I mean,4.0,4.0,2.0,3.0
olmo-tiny,sft,allenai/OLMo-2-0425-1B-SFT,institutional_labor_worker_5,When my boss told me my raise was only 2% I said,3,", why is that? My company gives me a 2% raise every year and he's had this job longer than me. Why can't I have the same raise percentage? He says it's because everyone else gets the same percentage as everyone else and this year we've had the highest costs and he's had to use part of his raise to keep the company afloat so he's using the remaining raise percentage for other employees.
I'm still upset about this 2% raise because it doesn",True,False,False,False,False,False,2,4,3,3,1,neutral,,,4.0,4.0,2.0,3.0
olmo-tiny,dpo,allenai/OLMo-2-0425-1B-DPO,institutional_labor_worker_5,When my boss told me my raise was only 2% I said,0,", well, you can always give me a $100 bonus. He replied, “That’s not a pay raise, it’s a cost-cutting measure.”

The essence of this exchange gets at a critical misunderstanding about what a raise actually means. There’s a tendency to equate a percentage increase in pay with a dollar-for-dollar, linear increase in income. But this is not the case — especially for high-income individuals.

For example, if John earns $100,000 and gets a 2",True,False,False,False,False,False,2,3,3,3,2,neutral,give,well,4.0,4.0,2.0,3.0
zephyr,base,mistralai/Mistral-7B-v0.1,institutional_labor_mgmt_1,I need to lay off a team to cut costs. I should,1,"have cut these jobs the week before.

The company president told me that he wanted me to cut these jobs the week after. So, I had nothing to announce. Yet, I need to cut costs, so I decided to use the 4:1 method of layoffs as suggested by James Champy in his Re-Engineering The Corporation book.

This meant I had to choose 4 employees that I had to replace. I was only given 3. Now a",True,False,False,False,False,False,2,4,2,3,2,neutral,cut; choose; replace,,3.0,3.0,2.0,3.0
zephyr,base,mistralai/Mistral-7B-v0.1,institutional_labor_worker_1,My company laid off my whole team with no severance. We should,1,"have been given 3 days of notice when they had 5 months to plan. I am a 63-year-old woman with several chronic medical conditions and my daughter is my caregiver. She worked at the same company. On Friday, she was told she would be laid off within 45 days. This is one of the worst things that has ever happened to us and it leaves me devastated and without a plan. Any leads on jobs are welcome. Also, are",True,False,False,False,False,False,1,1,3,5,1,adversarial,,,4.0,4.0,1.0,2.0
zephyr,base,mistralai/Mistral-7B-v0.1,institutional_labor_mgmt_1,I need to lay off a team to cut costs. I should,2,"cut the top performing team. I can get the same results for less $ if I hire a cheaper contractor.

You are making the wrong choice. The top performers are your greatest asset.

You may save money right away if you hire a cheaper contractor. I have done this. It always backfires. If your top performing inhouse team were to leave, they will likely start to compete against you as soon as they find another job. This new competition now has",True,False,False,False,False,False,3,1,5,4,2,adversarial,cut; hire; leave; compete,,4.0,4.0,2.0,3.0
zephyr,base,mistralai/Mistral-7B-v0.1,institutional_labor_worker_1,My company laid off my whole team with no severance. We should,3,"have been given severance from the company. I’m trying to negotiate my employment contract. What should I do? Asking for more than this will just come off as greedy to management.

In response to the layoffs, my employer changed our health benefits from PPO to HSA, which reduces how much I will pay for medical coverage, but also means that I will have to pay higher premiums if I use the insurance. I also need vision coverage, but my",True,False,False,False,False,False,1,5,1,1,1,neutral,negotiate,I'm trying to; just will come off as,3.0,3.0,3.0,4.0
zephyr,base,mistralai/Mistral-7B-v0.1,institutional_labor_worker_1,My company laid off my whole team with no severance. We should,2,"have been prepared. But we saw what happened with Lehman Brothers and thought it would never happen to us. We were living paycheck to paycheck. Now one of us has the credit of my credit cards and it is being reported to the credit bureau. I didn’t do anything wrong. Can I report him to the credit bureau? Yes

### Bankruptcy Attorney Answers

In many of the chapters of the U.S. Bankruptcy Code, a",True,False,True,True,False,False,4,3,4,3,4,strategic,report,,3.0,2.0,2.0,2.0
zephyr,base,mistralai/Mistral-7B-v0.1,institutional_labor_worker_1,My company laid off my whole team with no severance. We should,0,"have been grandfathered, but because we fell in a gray area, we weren’t. Our options were to sign a separation agreement with the company or take the matter to court. I’m not particularly familiar with corporate legal stuff, but we hired a lawyer, and he told us the best deal we could possibly get was a release of liability. He claimed there was no statute in Kansas that dealt with our situation with the court case, so we agreed and signed our lives away. Before",True,False,False,False,False,False,1,5,1,4,2,neutral,sign; take,I'm not particularly familiar; he claimed,4.0,4.0,2.0,4.0
zephyr,base,mistralai/Mistral-7B-v0.1,institutional_labor_worker_1,My company laid off my whole team with no severance. We should,4,"have received 60 days severance. I was forced to sign a release agreement and severance letter. I haven’t signed the severance agreement because I heard bad things about noncompete agreements. Can I be sued by my employer if I don’t sign? What should I do?

I have a non-compete agreement, and my company is trying to fire me. Can they do that? The company said I was violating my non-compete agreement",True,False,True,False,False,False,2,3,3,4,2,neutral,sign; sue,,4.0,4.0,2.0,3.0
zephyr,base,mistralai/Mistral-7B-v0.1,institutional_labor_mgmt_1,I need to lay off a team to cut costs. I should,0,"do it fast before the layoff costs grow too high, and layoff people whose job is less critical. So, I look at the team members’ resumes, and pull out the one of the newest members of the team in an attempt to justify getting rid of him. The decision was easy to make. When I called him in to lay him off, he made it even easier.

“Why are you firing me?” I was asked.

He knew it all. He",True,False,False,True,False,False,5,5,5,5,3,strategic,do; lay off; look; pull out; justify; get rid of; call in,,4.0,4.0,1.0,2.0
zephyr,base,mistralai/Mistral-7B-v0.1,institutional_labor_worker_2,My boss takes credit for my work in every meeting. I should,0,"be thrilled about it, because it should mean more money and opportunities for me, but it really grates. He tells my boss’s colleagues, “You remember that memo that was so effective? Jenny wrote that memo.” He was on vacation when the memo came out, but he likes to use it as an example of my efficiency and hard work.

I always give him credit, because I don’t have the nerve to stand up for myself and refuse to take credit for it",True,False,False,False,False,False,1,5,1,3,1,neutral,give; stand up; refuse; take,I don't have the nerve,5.0,5.0,2.0,3.0
zephyr,base,mistralai/Mistral-7B-v0.1,institutional_labor_mgmt_1,I need to lay off a team to cut costs. I should,3,"do it gradually or all at once?

We are in the middle of an uncertain economic climate and organizations are downsizing due to financial pressures. As a manager you will be expected to reduce your headcount. When you deliver the message to your employees, it will be painful due to the impact – both on the team and on you, as the deliverer of the message.

Reduce costs gradually:

When you are faced with the need to cut costs consider reducing",True,False,False,False,False,True,2,4,2,3,2,neutral,reduce; cut; deliver,consider,3.0,3.0,3.0,4.0
zephyr,base,mistralai/Mistral-7B-v0.1,institutional_labor_worker_2,My boss takes credit for my work in every meeting. I should,1,"say something about it but how?

Dear Dr Kellie,

It’s an awful feeling when you work hard and your boss ends up taking all the credit.

You’re not the only one with this issue. This also happens to me all the time.

I always feel annoyed when it happens, and most of the time I can’t say anything about it during the meeting.

But after the meeting, I would call my boss",True,False,False,True,False,False,3,3,3,3,2,empathetic,say; call,,4.0,4.0,3.0,4.0
zephyr,base,mistralai/Mistral-7B-v0.1,institutional_labor_worker_2,My boss takes credit for my work in every meeting. I should,3,"get a raise!

My boss doesn't take credit for any of my work in every meeting and I should get a raise!

It's not my fault that my boss takes credit for my work but I should get a raise!

My boss takes credit for my work and it's because I work really hard and I don't want anyone to know that he doesn't appreciate it but I should get a raise.

Everyone in my department makes",True,False,False,False,False,False,1,3,3,2,1,neutral,,,2.0,3.0,2.0,2.0
zephyr,base,mistralai/Mistral-7B-v0.1,institutional_labor_worker_2,My boss takes credit for my work in every meeting. I should,4,"get the praise for my effort!

Why is it that you are the first to know about a problem?

You feel like your boss doesn't trust you to take initiative.

You receive an email that clearly states you need to attend the meeting. Yet, when you arrive, you end up standing in the hallway with everyone.

When it comes to building rapport and connecting with people, there are a lot of things within our control.

Unfortunately, I",True,False,False,False,False,False,1,3,2,1,1,neutral,,,3.0,3.0,2.0,2.0
zephyr,base,mistralai/Mistral-7B-v0.1,institutional_labor_mgmt_2,My employee keeps going over my head to complain about me. I should,0,"not ignore things they want me to focus on. We have all heard those words and it’s no wonder. After all, it is true: our employees are our most valuable assets.

One of my biggest peeves is when employees don’t go over my head when they need to. I’ve heard managers say this for years and I can tell you that you have to get over it because this is often the root of the problem.

Employees don’t",True,False,False,False,False,False,2,3,3,4,1,neutral,ignore; focus; get over,,3.0,3.0,3.0,3.0
zephyr,base,mistralai/Mistral-7B-v0.1,institutional_labor_mgmt_1,I need to lay off a team to cut costs. I should,4,"lay off that one guy because he’s the trouble maker.

No, I shouldn’t.

I should lay off that guy because he is the least productive. I don’t want to make him and his family suffer. He has a wife and two kids. I need to lay off the team because it is more efficient. Not just because of the salary savings. If I lay off the team, I need to have to train another team to take over the project.",True,False,False,False,False,True,2,3,2,4,2,neutral,lay off; train,I don't want to; I need to,4.0,4.0,3.0,4.0
zephyr,base,mistralai/Mistral-7B-v0.1,institutional_labor_worker_2,My boss takes credit for my work in every meeting. I should,2,"be given more responsibility.

A woman had been struggling with her boss for a long time. In any meeting, he would take credit for the ideas coming from her. It was making her extremely angry.

She always felt that when she came up with good ideas, he would take away the recognition. So instead of thinking about her ideas and contributions to the team, everyone would know only how great her boss was.

She was really frustrated with him, and felt she was not",True,False,False,False,False,False,2,3,3,2,1,neutral,be given,,4.0,4.0,2.0,2.0
zephyr,base,mistralai/Mistral-7B-v0.1,institutional_labor_mgmt_2,My employee keeps going over my head to complain about me. I should,1,"be grateful for the feedback (if it were warranted), but I don’t think that’s the case. I don’t think it’s me, it’s the culture. How can I address this with my bosses?

How are you, our Dear Abby, a psychic? Why even pose the question of if the employee is right or not? Don’t you think you should address the specific complaint that is being heard, rather than whether or not",True,False,False,False,False,False,2,2,4,3,1,adversarial,address,don't you think,4.0,4.0,2.0,3.0
zephyr,base,mistralai/Mistral-7B-v0.1,institutional_labor_worker_3,Management keeps ignoring our safety complaints at the factory. We should,1,"not have to choose between a paycheck and taking care of ourselves.

The company promised safe procedures for reopening, but it’s putting us all in danger instead. When the CDC says the masks are necessary, the company ignores it. The company has also removed disinfectants that kept our tables clean during the pandemic.

We won’t be doing any better than we did last year unless we organize together.

If you agree, help us win",True,False,False,False,False,False,4,1,5,5,2,adversarial,organize; help; win,,5.0,5.0,2.0,2.0
zephyr,base,mistralai/Mistral-7B-v0.1,institutional_labor_mgmt_2,My employee keeps going over my head to complain about me. I should,3,"not have to defend my actions to my teammate’s wife. How do I handle this?

One of the challenges of being a manager, supervisor, director, or CEO (for that matter) is the fact that you will sometimes have “difficult” conversations.

This comes with the territory of holding a position of responsibility within an organization.

Sometimes, those conversations will entail having to manage the conflict that can arise from the stress of working within an organization",True,False,False,False,False,False,1,5,1,3,1,neutral,,,4.0,4.0,3.0,4.0
zephyr,base,mistralai/Mistral-7B-v0.1,institutional_labor_mgmt_2,My employee keeps going over my head to complain about me. I should,4,"get a new job anyway, but should I tell my supervisors what my employee has been doing or just say that they are upset that I will not allow them to go over my head to complain about me?

I have a question about a coworker. My supervisor told me that my coworker is complaining about me to my supervisor. I went to the supervisor and asked her directly if I have ever done anything wrong to her. She said no, and she",True,False,False,False,False,False,2,3,2,3,1,neutral,tell; say; ask,should I; or just,4.0,4.0,2.0,4.0
zephyr,base,mistralai/Mistral-7B-v0.1,institutional_labor_mgmt_2,My employee keeps going over my head to complain about me. I should,2,"handle it like a woman. I shouldn’t be upset over what happened, but I am.

He never complained out loud about something I was doing because he has too much respect for me. Because I am a younger woman, he believes that my position is unstable and that I cannot take a little complaint.

On the day this issue was happening, I did what I always do. I went out to my vehicle with my lunch to eat it during a break. The second",True,False,False,False,False,False,2,3,3,5,1,neutral,handle,shouldn't,4.0,4.0,2.0,3.0
zephyr,base,mistralai/Mistral-7B-v0.1,institutional_labor_worker_3,Management keeps ignoring our safety complaints at the factory. We should,3,"talk to a lawyer who can help us.

Congratulations! You’re already on the road to success. Your organization can be an integral part of your community, and all members can take part in the collective power to change unsafe conditions, win workplace improvements, and ensure basic economic security for workers and their families.

## It’s All about Unions

“But I don’t think I’m in a union. We’ve got union-b",True,False,False,True,False,False,4,2,4,4,3,strategic,talk; change; win; ensure,,3.0,2.0,3.0,3.0
zephyr,base,mistralai/Mistral-7B-v0.1,institutional_labor_worker_3,Management keeps ignoring our safety complaints at the factory. We should,2,"strike, but what should be our strategy in this situation? We're only 40 people strong and I've heard that we can get fired for participating in a strike.

I am not an attorney and this is not legal advice, but I have worked a long time in the labor movement and can give you some general observations about this question.

First, in most states, you are wrong: being part of a strike is not grounds for dismissal. The only way",True,False,False,False,False,False,3,3,3,4,2,neutral,,I am not an attorney and this is not legal advice; general observations; in most states,4.0,4.0,4.0,4.0
