model,prompt,reason
allenai/Llama-3.1-Tulu-3-8B-SFT-no-wildchat-data,"door, went back to the desk, sat down again, took the .357 from its holster, put",roundtrip
allenai/Llama-3.1-Tulu-3-8B-SFT-no-wildchat-data,"had a bottle of redeye that I’d brought from home ... we sat on the grass,",roundtrip
allenai/OLMoE-1B-7B-0125,"door, went back to the desk, sat down again, took the .357 from its holster, put",roundtrip
allenai/OLMoE-1B-7B-0125,"had a bottle of redeye that I’d brought from home ... we sat on the grass,",roundtrip
stabilityai/stablelm-2-1_6b,"door, went back to the desk, sat down again, took the .357 from its holster, put",roundtrip
stabilityai/stablelm-2-1_6b,"had a bottle of redeye that I’d brought from home ... we sat on the grass,",roundtrip
stabilityai/stablelm-2-1_6b-chat,"door, went back to the desk, sat down again, took the .357 from its holster, put",roundtrip
stabilityai/stablelm-2-1_6b-chat,"had a bottle of redeye that I’d brought from home ... we sat on the grass,",roundtrip
stabilityai/stablelm-2-zephyr-1_6b,"door, went back to the desk, sat down again, took the .357 from its holster, put",roundtrip
stabilityai/stablelm-2-zephyr-1_6b,"had a bottle of redeye that I’d brought from home ... we sat on the grass,",roundtrip
tiiuae/Falcon-H1-1.5B-Base,"door, went back to the desk, sat down again, took the .357 from its holster, put",roundtrip
tiiuae/Falcon-H1-1.5B-Base,"had a bottle of redeye that I’d brought from home ... we sat on the grass,",roundtrip
tiiuae/Falcon-H1-1.5B-Instruct,"door, went back to the desk, sat down again, took the .357 from its holster, put",roundtrip
tiiuae/Falcon-H1-1.5B-Instruct,"had a bottle of redeye that I’d brought from home ... we sat on the grass,",roundtrip
tiiuae/Falcon-H1-7B-Base,"door, went back to the desk, sat down again, took the .357 from its holster, put",roundtrip
tiiuae/Falcon-H1-7B-Base,"had a bottle of redeye that I’d brought from home ... we sat on the grass,",roundtrip
tiiuae/Falcon-H1-7B-Instruct,"door, went back to the desk, sat down again, took the .357 from its holster, put",roundtrip
tiiuae/Falcon-H1-7B-Instruct,"had a bottle of redeye that I’d brought from home ... we sat on the grass,",roundtrip
tiiuae/Falcon3-10B-Base,"door, went back to the desk, sat down again, took the .357 from its holster, put",roundtrip
tiiuae/Falcon3-10B-Base,"had a bottle of redeye that I’d brought from home ... we sat on the grass,",roundtrip
tiiuae/Falcon3-10B-Instruct,"door, went back to the desk, sat down again, took the .357 from its holster, put",roundtrip
tiiuae/Falcon3-10B-Instruct,"had a bottle of redeye that I’d brought from home ... we sat on the grass,",roundtrip
tiiuae/Falcon3-1B-Base,"door, went back to the desk, sat down again, took the .357 from its holster, put",roundtrip
tiiuae/Falcon3-1B-Base,"had a bottle of redeye that I’d brought from home ... we sat on the grass,",roundtrip
tiiuae/Falcon3-1B-Instruct,"door, went back to the desk, sat down again, took the .357 from its holster, put",roundtrip
tiiuae/Falcon3-1B-Instruct,"had a bottle of redeye that I’d brought from home ... we sat on the grass,",roundtrip
tiiuae/Falcon3-3B-Base,"door, went back to the desk, sat down again, took the .357 from its holster, put",roundtrip
tiiuae/Falcon3-3B-Base,"had a bottle of redeye that I’d brought from home ... we sat on the grass,",roundtrip
tiiuae/Falcon3-3B-Instruct,"door, went back to the desk, sat down again, took the .357 from its holster, put",roundtrip
tiiuae/Falcon3-3B-Instruct,"had a bottle of redeye that I’d brought from home ... we sat on the grass,",roundtrip
tiiuae/Falcon3-7B-Base,"door, went back to the desk, sat down again, took the .357 from its holster, put",roundtrip
tiiuae/Falcon3-7B-Base,"had a bottle of redeye that I’d brought from home ... we sat on the grass,",roundtrip
tiiuae/Falcon3-7B-Instruct,"door, went back to the desk, sat down again, took the .357 from its holster, put",roundtrip
tiiuae/Falcon3-7B-Instruct,"had a bottle of redeye that I’d brought from home ... we sat on the grass,",roundtrip
tiiuae/Falcon3-Mamba-7B-Base,"door, went back to the desk, sat down again, took the .357 from its holster, put",roundtrip
tiiuae/Falcon3-Mamba-7B-Base,"had a bottle of redeye that I’d brought from home ... we sat on the grass,",roundtrip
tiiuae/Falcon3-Mamba-7B-Instruct,"door, went back to the desk, sat down again, took the .357 from its holster, put",roundtrip
tiiuae/Falcon3-Mamba-7B-Instruct,"had a bottle of redeye that I’d brought from home ... we sat on the grass,",roundtrip
tiiuae/falcon-mamba-7b,"door, went back to the desk, sat down again, took the .357 from its holster, put",roundtrip
tiiuae/falcon-mamba-7b,"had a bottle of redeye that I’d brought from home ... we sat on the grass,",roundtrip
tiiuae/falcon-mamba-7b-instruct,"door, went back to the desk, sat down again, took the .357 from its holster, put",roundtrip
tiiuae/falcon-mamba-7b-instruct,"had a bottle of redeye that I’d brought from home ... we sat on the grass,",roundtrip
togethercomputer/RedPajama-INCITE-7B-Chat,"door, went back to the desk, sat down again, took the .357 from its holster, put",roundtrip
togethercomputer/RedPajama-INCITE-7B-Chat,"had a bottle of redeye that I’d brought from home ... we sat on the grass,",roundtrip
togethercomputer/RedPajama-INCITE-7B-Instruct,"door, went back to the desk, sat down again, took the .357 from its holster, put",roundtrip
togethercomputer/RedPajama-INCITE-7B-Instruct,"had a bottle of redeye that I’d brought from home ... we sat on the grass,",roundtrip
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,"door, went back to the desk, sat down again, took the .357 from its holster, put",roundtrip
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,"had a bottle of redeye that I’d brought from home ... we sat on the grass,",roundtrip
RWKV/rwkv-4-7b-pile,"door, went back to the desk, sat down again, took the .357 from its holster, put",roundtrip
RWKV/rwkv-4-7b-pile,"had a bottle of redeye that I’d brought from home ... we sat on the grass,",roundtrip
RWKV/rwkv-raven-7b,"door, went back to the desk, sat down again, took the .357 from its holster, put",roundtrip
RWKV/rwkv-raven-7b,"had a bottle of redeye that I’d brought from home ... we sat on the grass,",roundtrip
