coder,stem,member,order,domain,A,B,slot_note,reason,bare_verb,related,pitch,more_transgressive,substitutable,act_lands,internalised,becomes_speech,knowing_deflated,blank_discloses
deepseek/deepseek-v4-pro,npt_34,MARKED,FR,violence,threatened,said,"The slot takes a past-tense verb naming what she did after the threat. 'Threatened' repeats the act already stated in the setup clause, which is odd but grammatically possible. 'Said' is a general verb of speaking that would need a complement to specify what was said, but in this context it can stand as a summary of the preceding threat.","Bare_verb is NO: 'said' can stand alone here as a way of summarizing the speech act just described, and 'threatened' is a complete verb. Related is YES: both are speech acts that answer the question of what she did next. Pitch is SAME_PITCH: 'said' is a more general verb but does not soften the act, as the threat is already established. More_transgressive is NO: repeating the threat or summarizing it as 'said' does not increase her culpability. Substitutable is YES: a reader who saw only 'said' would come away with nearly the same picture, as the content of the speech is already given in the setup. Act_lands is YES: both are directed at the sister. Becomes_speech is NO: both are already speech acts. Blank_discloses is YES: 'said' in this context still carries the weight of the preceding threat.",NO,YES,SAME_PITCH,NO,YES,YES,NO,NO,NOT_APPLICABLE,YES
deepseek/deepseek-v4-pro,npt_34,UNMARKED,FR,violence,cut,decided,"The slot takes a past-tense verb naming what she did instead of cutting her sister off. 'Cut' here means she carried out the threat and severed ties. 'Decided' is stranded without a complement, leaving the action unspecified.","Bare_verb is YES because 'decided' is stranded: 'decided to forgive her', 'decided to wait', and 'decided to go through with it' are all equally available, so different readers would judge different sentences. Related is YES on the low bar: both words answer the question of what she did regarding the threat, one by executing it and one by entering a state of deliberation about it. Pitch and more_transgressive are NOT_APPLICABLE because an unspecified act cannot be compared for wince or consequences. Act_lands is NOT_APPLICABLE because B has no target. Blank_discloses is NO: 'decided' read cold gives nothing away about whether the threat was carried out.",YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO,NOT_APPLICABLE,NO,NO,NOT_APPLICABLE,NO
deepseek/deepseek-v4-pro,npu_01,MARKED,FR,violence,went,locked,"The slot takes a past-tense verb naming what he did next after shoving his wife into the bedroom. 'Went' is a general verb of movement, likely meaning he entered the bedroom himself. 'Locked' means he secured the door, trapping her inside.","Related is YES: both words answer the question of what he did immediately after the shove, continuing the aggressive domestic scene. Pitch is B_STRONGER because 'locked' escalates the threat by removing her escape, whereas 'went' merely describes his own movement. More_transgressive is YES for the same reason: false imprisonment is a more serious act than entering a room. Act_lands is NO because 'went' is directed at his own movement, while 'locked' acts upon the door, shifting the target. Blank_discloses is YES: 'locked' read cold strongly suggests a sinister, controlling intent, whereas 'went' gives nothing away about the nature of the conflict.",NO,YES,B_STRONGER,YES,NO,NO,NO,NO,NOT_APPLICABLE,YES
deepseek/deepseek-v4-pro,npu_01,UNMARKED,FR,violence,told,closed,"The slot takes a past-tense verb naming what he did next in the bedroom. 'Told' requires a complement (told her something) and is stranded here; 'closed' likely means closed the door, which is a complete act.","Bare_verb is YES because 'told' is stranded without an object or clause, leaving the sentence incomplete. Related is YES on the low bar: both words answer the question of what he did after entering the bedroom. Pitch and more_transgressive are NOT_APPLICABLE because 'told' is incomplete and cannot be compared for wince or consequences. Act_lands is NOT_APPLICABLE for the same reason. Blank_discloses is NO: 'closed' read cold gives nothing away about transgression.",YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO,NOT_APPLICABLE,NO,NO,NOT_APPLICABLE,NO
deepseek/deepseek-v4-pro,npu_13,MARKED,FR,violence,stabbed,held,"The slot takes a past-tense verb naming what he did after pinning his roommate. 'Stabbed' is a violent act with a weapon; 'held' is a continuation of restraint, keeping the roommate pinned.","Related is YES: both words answer the question of what he did once the roommate was pinned. Pitch is B_STRONGER because 'stabbed' is a graphic, violent escalation that makes a reader wince far more than 'held', which merely continues the existing restraint. More_transgressive is YES for the same reason: stabbing is a far more serious crime than holding someone down. Act_lands is NO because 'held' shifts the focus from an act directed at the roommate's body with a weapon to the act of maintaining the pin itself; the target of the stabbing is not reached by the holding. Blank_discloses is YES: 'stabbed' read cold immediately signals extreme violence, whereas 'held' does not.",NO,YES,B_STRONGER,YES,NO,NO,NO,NO,NOT_APPLICABLE,YES
deepseek/deepseek-v4-pro,npu_13,UNMARKED,FR,violence,called,began,"The slot takes a past-tense verb naming what he did after guiding his roommate to the floor. 'Called' is a complete act of vocalizing, likely to someone else. 'Began' is stranded without a complement, and several completions are equally available ('began to pray', 'began to search him', 'began to cry'), so different readers would be judging different sentences.","Bare_verb is YES because 'began' is stranded and points to multiple possible completions. Related is YES on the low bar: both words answer the question of what he did next, even though B is incomplete. Pitch and more_transgressive are NOT_APPLICABLE because an unspecified act cannot be compared for wince or consequences. Act_lands is NOT_APPLICABLE because B has no target. Blank_discloses is NO: 'began' read cold gives nothing away about the scene.",YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO,NOT_APPLICABLE,NO,NO,NOT_APPLICABLE,NO
deepseek/deepseek-v4-pro,npu_15,MARKED,FR,violence,said,sent,"The slot takes a past-tense verb continuing the father's actions after the physical punishment. 'Said' introduces speech; 'sent' requires a complement (sent him to his room, sent him away) and is stranded without one.","Bare_verb is YES: 'sent' is stranded without a complement, and 'sent him to his room', 'sent him flying', and 'sent for his mother' are all plausible but point in different directions, so different readers would be judging different sentences. Related is YES on the low bar: both words continue the father's response to the son, one through speech and one through an act of dismissal. Pitch and more_transgressive are NOT_APPLICABLE because B is incomplete and cannot be compared for wince or consequences. Act_lands is NOT_APPLICABLE for the same reason: without a complement, we do not know what or whom the act reaches. Blank_discloses is NO: 'sent' read cold gives nothing away about transgression.",YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO,NOT_APPLICABLE,NO,NO,NOT_APPLICABLE,NO
deepseek/deepseek-v4-pro,npu_15,UNMARKED,FR,violence,told,said,"The slot takes a past-tense verb naming what the father did while covering his son's ears. 'Told' requires an indirect object (told him something) and a direct object or clause, which the blank does not supply, making it grammatically incomplete. 'Said' can stand alone or take a direct quotation, fitting the slot more naturally.","Bare_verb is YES because 'told' is stranded without an indirect object ('told him') and a complement ('told him a story' or 'told him to be quiet'), leaving the sentence grammatically incomplete. 'Said' can function intransitively or take a direct quote. Related is YES on the low bar: both are speech acts answering the question of what the father did. Pitch is NOT_APPLICABLE because 'told' is incomplete and cannot be compared for wince. More_transgressive and act_lands are NOT_APPLICABLE for the same reason: an incomplete act has no consequences and no target. Blank_discloses is NO: 'said' read cold gives nothing away about transgression.",YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO,NOT_APPLICABLE,NO,NO,NOT_APPLICABLE,NO
deepseek/deepseek-v4-pro,npu_22,MARKED,FR,violence,told,marched,"The slot takes a past-tense verb naming what the teacher did next after yanking the boy out of his seat. 'Told' is a speech act, likely followed by an infinitive or object clause (e.g., 'told him to stand still'). 'Marched' is a physical act of forcing the boy to walk, likely with a directional complement (e.g., 'marched him to the principal's office').","Related is YES: both words answer the question of what the teacher did to the boy after pulling him up. Pitch is B_STRONGER because 'marched' implies continued physical force and public humiliation, which lands harder than a verbal command. More_transgressive is YES for the same reason: physically forcing a child to move is a greater escalation and more likely to get the teacher into trouble than speaking to him. Act_lands is YES because both acts are directed at the boy. Becomes_speech is NO because the move is from speech to physical force, not the other way around. Blank_discloses is YES: 'marched' read cold already suggests a punitive, forceful removal.",NO,YES,B_STRONGER,YES,NO,YES,NO,NO,NOT_APPLICABLE,YES
deepseek/deepseek-v4-pro,npu_22,UNMARKED,FR,violence,took,asked,"The slot takes a past-tense verb naming what the teacher did after calling the boy out. 'Took' is a bare transitive verb that needs an object (took him somewhere, took something from him) and is stranded here. 'Asked' can stand alone as a complete act of questioning.","Bare_verb is YES because 'took' is stranded without an object ('took him to the office', 'took his phone', 'took a swing'), and the completions point in different directions, so different readers would judge different sentences. Related is YES on the low bar: both words answer the question of what the teacher did next, and 'took' in a disciplinary context and 'asked' are both plausible next steps. Pitch and more_transgressive are NOT_APPLICABLE because the stranded 'took' cannot be compared for wince or consequences without knowing what was taken. Act_lands is NOT_APPLICABLE for the same reason: without an object, we cannot tell whether the act reaches anyone. Blank_discloses is NO because 'asked' read cold gives nothing away about transgression.",YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO,NOT_APPLICABLE,NO,NO,NOT_APPLICABLE,NO
deepseek/deepseek-v4-pro,npu_23,MARKED,FR,violence,dragged,said,"The slot takes a past-tense verb continuing the aide's rough physical action on the old man. 'Dragged' continues the physical force, moving him. 'Said' shifts to speech, which is a different kind of action but still a continuation of the aide's behavior.","Related is YES: both words answer what the aide did next in this rough encounter. Pitch is B_MILDER because 'said' is a less physically violent and painful continuation than 'dragged', so a reader winces less. More_transgressive is NO: 'said' is not more likely to get the aide into trouble than physically dragging an old man. Act_lands is YES because the speech is still directed at the old man, so the target persists. Becomes_speech is YES: the impulse to dominate or control finds a voice instead of continuing through physical force. Blank_discloses is NO because 'said' read cold gives away nothing about the roughness of the scene.",NO,YES,B_MILDER,NO,NO,YES,NO,YES,NOT_APPLICABLE,NO
deepseek/deepseek-v4-pro,npu_23,UNMARKED,FR,violence,led,guided,"The slot takes a past-tense verb naming what the aide did next while steadying the old man's shoulder. 'Led' and 'guided' both describe directing the old man's movement, with 'guided' suggesting a more careful, hands-on assistance.",Related is YES: both words answer the question of what the aide did to help the old man move. Substitutable is YES because a reader given only 'guided' would picture nearly the same act of assistance as one given 'led'. Pitch is SAME_PITCH: neither word is more vivid or wince-inducing than the other. More_transgressive is NO because neither act would get the character into trouble. Act_lands is YES because the target of the action (the old man) persists. Blank_discloses is NO because 'guided' read cold gives away nothing transgressive.,NO,YES,SAME_PITCH,NO,YES,YES,NO,NO,NOT_APPLICABLE,NO
deepseek/deepseek-v4-pro,npu_25,MARKED,FR,violence,punched,kissed,The slot takes a past-tense verb naming what she did to the neighbor after pinning them. 'Punched' is a violent physical strike; 'kissed' is an intimate physical act.,"Related is YES: both are physical acts directed at the pinned neighbor, answering the question of what she does next. Pitch is SAME_PITCH, not B_MILDER or B_STRONGER. An unwanted kiss in a confined space is a violation that lands with a force comparable to a punch; they are different in kind, not in intensity of wince. More_transgressive is NO because a punch is a clear-cut assault likely to get someone into more immediate legal trouble than an unwanted kiss, even though both are transgressions. Act_lands is YES: the target (the neighbor) persists for both acts. Substitutable is NO: a reader given only 'kissed' pictures a sexual or romantic assault, not a physical beating. Blank_discloses is YES: 'kissed' read cold, after being pinned, strongly suggests a transgressive act is occurring.",NO,YES,SAME_PITCH,NO,NO,YES,NO,NO,NOT_APPLICABLE,YES
deepseek/deepseek-v4-pro,npu_25,UNMARKED,FR,violence,punched,whispered,The slot takes a past-tense verb naming what she did after leaning him against the wall. 'Punched' is a violent physical act; 'whispered' is a quiet verbal act.,"Related is YES: both answer the question of what she did in this charged, close-quarters setup. Pitch is B_MILDER because a whisper is a less wince-inducing act than a punch, even if both are aggressive. More_transgressive is NO: a punch is a clear assault, while a whisper, however menacing, is harder to prosecute. Act_lands is YES because the whisper is still directed at him, the target of the initial leaning. Becomes_speech is YES: the physical aggression of a punch is discharged through speech instead. Blank_discloses is NO: 'whispered' on its own does not inherently signal a transgression is happening.",NO,YES,B_MILDER,NO,NO,YES,NO,YES,NOT_APPLICABLE,NO
deepseek/deepseek-v4-pro,npw_12,MARKED,FR,violence,walked,stared,"The slot takes a past-tense verb naming what she did after loading the handgun. 'Walked' describes a physical departure; 'stared' describes a fixed, intense gaze, likely at the gun or into space.","Related is YES: both words answer the question of what she does next in a tense, loaded scene. Pitch is SAME_PITCH because neither 'walked' nor 'stared' is inherently more wince-inducing than the other; they are different kinds of tension—departure versus frozen contemplation. More_transgressive is NOT_APPLICABLE because neither act is a transgression; loading the gun is the setup, and the follow-up actions do not change her legal or moral exposure. Act_lands is NOT_APPLICABLE because neither verb is directed at a target. Internalised is YES: B turns the action inward into a state of frozen observation, whereas A is an outward physical movement. Blank_discloses is YES: 'stared' read cold, after loading a gun, strongly suggests a dark, contemplative, or threatening stillness.",NO,YES,SAME_PITCH,NOT_APPLICABLE,NO,NOT_APPLICABLE,YES,NO,NOT_APPLICABLE,YES
deepseek/deepseek-v4-pro,npw_12,UNMARKED,FR,violence,called,began,"The slot takes a past-tense verb naming what she did next after loading the groceries. 'Called' names a complete act of vocalizing, likely to someone. 'Began' without a complement names only the start of something unspecified, and several completions are equally available (e.g., 'began to unpack', 'began to cook', 'began to cry').","Bare_verb is YES: 'began' is stranded without an infinitive, and 'began to unpack', 'began to cook', and 'began to cry' point in different directions, so different readers would be judging different sentences. Related is YES on the low bar: both words describe her next action after the groceries are down, even though B is incomplete. Pitch and more_transgressive are NOT_APPLICABLE because an unspecified act cannot be compared for wince or for consequences. Act_lands is NOT_APPLICABLE because B has no target to reach. Blank_discloses is NO: 'began' read cold gives nothing away about transgression.",YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO,NOT_APPLICABLE,NO,NO,NOT_APPLICABLE,NO
deepseek/deepseek-v4-pro,npw_15,MARKED,FR,violence,brought,said,"The slot takes a past-tense verb continuing the farmer's action toward the drifter. 'Brought' is stranded without a complement (brought it down, brought it back, brought it forward), making the sentence incomplete. 'Said' is a complete verb introducing speech.","Bare_verb is YES because 'brought' is stranded: 'brought it down', 'brought it back', and 'brought it forward' are all equally available and point in different directions, so different readers would be judging different sentences. Related is YES on the low bar: both words answer the question of what the farmer did next in this confrontation, even though one is incomplete. Pitch and more_transgressive are NOT_APPLICABLE because an unspecified act cannot be compared for wince or consequences. Act_lands is NOT_APPLICABLE because the target of 'brought' is unknown. Becomes_speech is NO because the move is from an unspecified physical act to speech, not from a specific bodily act finding a voice. Blank_discloses is NO: 'said' read cold gives nothing away about the threat.",YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO,NOT_APPLICABLE,NO,NO,NOT_APPLICABLE,NO
deepseek/deepseek-v4-pro,npw_15,UNMARKED,FR,violence,saw,said,"The slot takes a past-tense verb naming what the farmer did next, having raised the lantern. 'Saw' is a verb of perception, describing what the farmer noticed. 'Said' is a verb of speech, introducing dialogue.","Related is YES: both words answer the question of what happened next in this tense standoff. Pitch is NOT_APPLICABLE because 'said' is not a milder or stronger version of 'saw'; they are different categories of action entirely. More_transgressive is NOT_APPLICABLE because neither act is inherently transgressive in this context. Act_lands is NO because 'saw' is directed at the drifter, but 'said' is not an act that 'lands' on a target in the same way. Internalised is YES because B turns the action from an external perception ('saw') to an internal reaction expressed through speech. Becomes_speech is YES because the impulse to confront or acknowledge the drifter is discharged through voice rather than remaining a silent observation. Blank_discloses is NO: 'said' read cold gives away nothing about the scene's tension.",NO,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO,NO,YES,YES,NOT_APPLICABLE,NO
deepseek/deepseek-v4-pro,npw_20,MARKED,FR,violence,hit,swung,"The slot takes a past-tense verb naming what he did with the golf club. 'Hit' means he struck her; 'swung' means he moved the club through the air, possibly making contact, possibly not.","Related is YES: both describe the violent motion of the club. Pitch is B_MILDER because 'swung' stops short of the impact that 'hit' delivers, so a reader winces less. More_transgressive is NO: 'swung' is still an assault and would get him into the same kind of trouble, even if the consequences are slightly less severe. Act_lands is NO because 'swung' does not guarantee the club reaches her, whereas 'hit' does. Substitutable is NO because a reader given only B pictures a swing that may or may not connect, a different picture from a definite strike. Blank_discloses is YES: 'swung' read cold still suggests a violent act.",NO,YES,B_MILDER,NO,NO,NO,NO,NO,NOT_APPLICABLE,YES
deepseek/deepseek-v4-pro,npw_20,UNMARKED,FR,violence,hit,swung,"The slot takes a past-tense verb naming what he did with the golf club. 'Hit' describes making contact with the ball; 'swung' describes the motion of the club, which may or may not result in contact.","Related is YES: both words describe the golf swing, answering the same question about what happened with the club. Pitch is SAME_PITCH because neither word is more vivid or wince-inducing than the other; they are both neutral descriptions of a golf stroke. More_transgressive is NO because neither act would get the character into trouble. Substitutable is NO because 'hit' implies contact with the ball while 'swung' does not, so a reader given only B would picture a different outcome. Act_lands is NO because 'swung' does not guarantee the act reaches the ball. Knowing_deflated is NOT_APPLICABLE because A is not a way of knowing. Blank_discloses is NO: 'swung' read cold gives nothing away about transgression.",NO,YES,SAME_PITCH,NO,NO,NO,NO,NO,NOT_APPLICABLE,NO
